head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,40,-0.06758666038513184,0.775,0.275,-0.748828125,3,0.26899396665394304,0.2729822658468038,0.02698158323764801,19.6205288282002,1.998779296875,203,53,1.0
L11.H1,40,-0.036138916015625,0.725,0.175,-0.3673828125,1,0.20969361029565334,0.06006363236811012,0.004885342717170715,1.8927418582331974,0.702392578125,203,138,1.0
L16.H15,40,-0.027266693115234376,0.55,0.05,-0.171484375,1,0.1385739419609308,0.039534875366007326,0.0039575636386871334,2.252483279629092,0.49716796875,203,168,0.825
L13.H13,40,-0.018816375732421876,0.725,0.125,-0.1798828125,1,0.09695275463163852,0.03289723882917315,0.0023308008909225463,1.0361467693629645,0.556591796875,203,156,0.925
L21.H10,40,-0.018325042724609376,0.7,0.1,-0.1685546875,1,0.10904557593166828,0.020460923929931596,0.003844858705997467,1.5106984841583029,0.640283203125,203,139,0.95
L15.H7,40,-0.014870452880859374,0.65,0.125,-0.1529296875,1,0.08161857910454273,0.0329983951698523,0.0007216304540634156,0.6241970122719407,0.299365234375,203,181,0.875
L23.H13,40,-0.011968994140625,0.7,0.125,-0.11328125,1,0.07752496972680092,0.00868249742561602,0.001246105134487152,0.3458263363833793,0.191162109375,203,185,0.75
L12.H8,40,-0.010962677001953126,0.625,0.05,-0.1015625,1,0.0648334264755249,0.011242883380327839,0.0015604332089424132,0.4787203030358267,0.29501953125,203,169,0.975
L16.H6,40,-0.01058502197265625,0.65,0.125,-0.0828125,1,0.06068373173475265,0.05246794078266248,0.006453858315944671,2.0842386358419516,0.963232421875,203,97,1.0
L18.H8,40,-0.01057891845703125,0.625,0.075,-0.080078125,1,0.03824092224240303,0.007146103957074957,0.0009206891059875488,0.33012256212756,0.177099609375,203,169,0.825
L18.H10,40,-0.009918212890625,0.6,0.175,-0.0580078125,1,0.014030760899186135,0.013523006344621535,-0.00017952769994735717,-0.04856945584070569,-0.079296875,203,219,0.375
L18.H2,40,-0.0095428466796875,0.75,0.1,-0.0703125,1,0.01792900487780571,0.013930616740253754,0.0016336813569068909,0.5295515839844143,0.368798828125,203,158,0.9
L20.H9,40,-0.007736968994140625,0.675,0.15,-0.041796875,1,0.019894899800419807,0.011634408041572897,8.955299854278565e-05,0.0198658236430923,-0.015283203125,203,207,0.35
L14.H8,40,-0.007635498046875,0.65,0.075,-0.0701171875,1,0.032090728357434276,0.00573009714280488,0.0005680203437805175,0.23778932016118257,0.15263671875,203,187,0.75
L16.H12,40,-0.007227325439453125,0.675,0.1,-0.024609375,1,0.007959400489926338,0.0048525491460168265,-0.00017164498567581176,-0.07770924675810943,-0.081640625,203,219,0.15
L19.H15,40,-0.006524658203125,0.65,0.1,-0.0375,1,0.027191228047013283,0.005121579988917801,0.0003053426742553711,0.012134461933126148,-0.01796875,203,204,0.425
L21.H3,40,-0.0056182861328125,0.65,0.05,-0.023828125,1,0.013251305744051933,0.003672948165331036,-7.358193397521973e-06,-0.019987710029306986,-0.02578125,203,201,0.35
L16.H1,40,-0.0055908203125,0.6,0.05,-0.0392578125,1,0.027413005754351617,0.017180790868042094,0.000629463791847229,0.42495953999968483,0.286669921875,203,151,0.825
L19.H0,40,-0.005489349365234375,0.675,0.125,-0.036328125,1,0.022618047147989272,0.004181673008315556,-5.270242691040039e-05,0.03264704551388188,0.013818359375,203,197,0.4
L17.H0,40,-0.00491180419921875,0.55,0.1,-0.0279296875,1,0.011610255017876625,0.005511207568633836,9.699463844299316e-05,0.055095026732364515,0.03583984375,203,202,0.55
L21.H12,40,-0.004427337646484375,0.5,0.025,-0.0310546875,1,0.02397351935505867,0.007509568975365255,0.00020343661308288574,0.05131979708168555,0.014892578125,203,210,0.45
L15.H14,40,-0.00413665771484375,0.525,0.05,-0.0271484375,1,0.01420770026743412,0.003983954099385301,0.0002156004309654236,0.12029009491611824,0.090478515625,203,196,0.625
L19.H4,40,-0.004056549072265625,0.575,0.1,-0.021484375,1,0.013207919895648956,0.01637700624705758,-9.813755750656127e-05,-0.07726123906537594,-0.119921875,203,221,0.275
L21.H11,40,-0.003800201416015625,0.575,0.05,-0.0443359375,1,0.029556841775774955,0.007383064270834438,9.9945068359375e-05,0.01125160360266857,-0.047412109375,203,221,0.325
L9.H11,40,-0.00378875732421875,0.625,0.025,-0.023046875,1,0.01662115417420864,0.0018830362478183815,0.00018615871667861938,0.06593584712950348,0.05068359375,203,198,0.55
L22.H3,40,-0.003607177734375,0.65,0.05,-0.043359375,1,0.04583402760326862,0.007073779254278633,0.0009405180811882019,0.2078883299997722,0.146142578125,203,182,0.8
L13.H11,40,-0.003537750244140625,0.65,0.025,-0.0095703125,1,0.010920610278844833,0.0022438884509028865,-0.00021983683109283447,-0.05583776630033643,-0.060791015625,203,207,0.175
L20.H1,40,-0.00342864990234375,0.625,0.1,-0.0060546875,1,-0.015596050769090652,0.007475397904636338,-0.0002112358808517456,-0.07053322233457174,-0.062451171875,203,214,0.275
L14.H7,40,-0.00318145751953125,0.575,0.05,-0.040234375,1,0.03594532422721386,0.01071869061106554,0.0010255619883537293,0.5109585028419892,0.319140625,203,173,0.875
L16.H11,40,-0.00307769775390625,0.65,0.075,-0.0173828125,1,0.014243753626942635,0.0031299266673158856,-0.00019479840993881227,-0.0831402679487679,-0.09833984375,203,220,0.25
L22.H7,40,-0.002764892578125,0.525,0.075,0.005078125,1,-0.0123361736536026,0.0023412181355524806,-0.00030141621828079225,-0.07798095301161545,-0.06708984375,203,211,0.125
L12.H9,40,-0.00275421142578125,0.6,0.025,-0.0263671875,1,0.01191396377980709,0.001182234708176111,-1.965463161468506e-06,0.060544960292975736,0.04599609375,203,195,0.675
L8.H2,40,-0.002388763427734375,0.675,0.025,-0.0173828125,1,0.008068880066275597,0.0006245261851290706,8.150488138198852e-05,0.027583248226746043,0.01396484375,203,202,0.425
L12.H7,40,-0.00228271484375,0.575,0.0,0.0056640625,1,-0.0008207570761442184,0.0016862900389241985,-6.14553689956665e-05,-0.0367019050616865,-0.0240234375,203,209,0.15
L8.H7,40,-0.002281951904296875,0.45,0.05,-0.019140625,1,0.008970552310347556,0.003574419765936909,-4.262924194335938e-05,0.095237061459062,0.069482421875,203,195,0.6
L15.H6,40,-0.00212554931640625,0.525,0.0,-0.01484375,1,0.005984219908714295,0.0011583259654798894,0.00019383281469345092,0.04839950541548928,0.039404296875,203,194,0.425
L13.H0,40,-0.002109527587890625,0.6,0.05,-0.0162109375,1,0.009303827956318855,0.001176767619108432,0.00018153339624404907,0.07203571434156988,0.052392578125,203,198,0.625
L23.H0,40,-0.002075958251953125,0.525,0.0,-0.014453125,1,0.01422516256570816,0.0014209095405021798,0.00010222941637039185,0.03507841923103031,0.02177734375,203,201,0.375
L9.H7,40,-0.001840972900390625,0.55,0.05,-0.00859375,1,0.0074414536356925964,0.0009341229077108437,9.541064500808715e-05,0.036271325668479244,0.027490234375,203,202,0.55
L23.H10,40,-0.00175628662109375,0.625,0.125,-0.082421875,1,0.025095245614647866,0.004280437657871517,0.00043478161096572877,0.22640626105681205,0.130615234375,203,182,0.8
L21.H14,40,-0.00173797607421875,0.6,0.05,-0.0326171875,1,0.015329965576529502,0.004762428468529834,0.00047805756330490114,0.19485762297762715,0.1498046875,203,188,0.725
L18.H13,40,-0.001720428466796875,0.675,0.05,-0.0126953125,1,-0.0006784562021493912,0.0015437126879987773,-0.00018830299377441405,-0.02553792175009343,-0.031494140625,203,205,0.225
L16.H7,40,-0.0017181396484375,0.55,0.05,-0.0078125,1,0.006329590454697609,0.00032873197874323524,-9.629130363464355e-05,-0.005417930680213828,-0.010009765625,203,206,0.275
L22.H10,40,-0.001702880859375,0.55,0.075,0.0103515625,1,-0.009431016817688941,0.0029001226466789376,-0.00038268864154815673,-0.07775223619200147,-0.0677734375,203,212,0.15
L11.H11,40,-0.00164031982421875,0.65,0.025,-0.0125,1,0.006077349931001663,0.0009523284734314075,0.00011366754770278931,0.05756674003109293,0.048388671875,203,199,0.6
L10.H13,40,-0.00157928466796875,0.55,0.05,-0.0111328125,1,0.006300969794392586,0.0005421750231107581,2.96175479888916e-05,0.014535617370160037,0.00986328125,203,201,0.425
L22.H9,40,-0.001486968994140625,0.575,0.05,-0.0107421875,1,0.005436838045716286,0.0005600448885161313,0.00010439455509185791,0.026189478776146958,0.021826171875,203,202,0.4
L18.H1,40,-0.001348876953125,0.6,0.05,-0.0150390625,1,0.004822671785950661,0.0016082110241768532,0.00011045336723327636,0.023757824072677552,0.012109375,203,203,0.45
L9.H4,40,-0.001319122314453125,0.6,0.05,-0.011328125,1,0.002382039651274681,0.0007832063186469895,0.00016612708568572999,0.0022932669050298683,-0.008056640625,203,205,0.225
L20.H5,40,-0.0013031005859375,0.5,0.05,-0.006640625,1,0.005223451182246208,0.0016882385489225271,1.351088285446167e-05,0.0003701267244770683,-0.00322265625,203,200,0.225
L23.H11,40,-0.001177215576171875,0.575,0.05,-0.0103515625,1,0.005698924511671066,0.0003251828068187024,-1.1229515075683594e-05,0.018327737526798556,0.0087890625,203,203,0.325
L9.H3,40,-0.001132965087890625,0.425,0.025,-0.005078125,1,0.0017292752861976623,0.00075841363031941,-6.341934204101563e-06,0.037729296133727976,0.035400390625,203,200,0.6
L8.H4,40,-0.001129913330078125,0.6,0.05,-0.005078125,1,0.0032008137553930283,0.00020407663523656084,6.573647260665894e-05,0.0111437322637497,0.007958984375,203,202,0.375
L12.H1,40,-0.00110626220703125,0.575,0.0,-0.0119140625,1,0.0033467132598161697,0.0016575256158830598,-8.372813463211059e-05,0.03281552928583506,0.022802734375,203,200,0.475
L13.H6,40,-0.001104736328125,0.45,0.0,-0.016796875,1,0.007847084477543832,0.0012229209021825227,8.025169372558594e-05,0.050977224525042795,0.030712890625,203,199,0.575
L18.H0,40,-0.00102996826171875,0.525,0.05,-0.0013671875,1,0.00517108254134655,0.0004333394230343401,1.7420947551727294e-05,0.0038005762894082404,0.0044921875,203,204,0.325
L9.H6,40,-0.000994110107421875,0.575,0.05,-0.0056640625,1,0.003788551315665245,0.00023795951101419633,-1.0901689529418946e-05,0.007033980620425875,0.004248046875,203,204,0.25
L14.H4,40,-0.000958251953125,0.6,0.05,-0.023046875,1,0.010616083443164826,0.009421421751903835,0.0013385489583015442,0.4036459304646763,0.245068359375,203,175,0.725
L9.H5,40,-0.000948333740234375,0.575,0.025,-0.0048828125,1,0.0013228923082351685,0.00010592034768706072,1.2099742889404297e-05,0.0034523131694183195,0.001611328125,203,203,0.25
L12.H3,40,-0.000926971435546875,0.55,0.05,0.003515625,1,0.003402509167790413,0.0007790641686369782,-3.186017274856567e-05,0.0040945219516420215,0.00751953125,203,204,0.45
L7.H2,40,-0.000921630859375,0.625,0.025,-0.005078125,1,0.0029583919793367388,5.882326022401685e-05,8.262693881988525e-06,0.0035668389456882297,0.000830078125,203,203,0.175
L17.H7,40,-0.000894927978515625,0.6,0.025,-0.009765625,1,0.006259053200483322,0.00013813734376526553,4.507899284362793e-05,0.017335995763469513,0.0095703125,203,202,0.35
L7.H8,40,-0.00089263916015625,0.675,0.025,-0.003515625,1,0.002870050445199013,9.175129380309955e-05,-3.3706426620483397e-06,0.0012462053192538439,-0.0013671875,203,203,0.2
L13.H12,40,-0.0008697509765625,0.575,0.025,-0.008203125,1,0.0026009466499090196,0.0005226354428941704,5.1136314868927e-05,0.006350555119318301,0.00107421875,203,204,0.35
L14.H0,40,-0.000856781005859375,0.5,0.05,-0.00390625,1,0.001172569766640663,0.0005363519805541728,3.579109907150269e-05,0.014964833791681814,0.010791015625,203,203,0.4
L10.H2,40,-0.00078277587890625,0.5,0.025,-0.00234375,1,0.0023824732750654222,0.000275543894895236,0.00010224133729934693,0.01026392981686034,0.0087890625,203,203,0.4
L15.H15,40,-0.0007659912109375,0.55,0.025,-0.012109375,1,0.006110842898488044,0.00045372157096608136,4.2423605918884276e-06,0.01001650298226478,0.004345703125,203,200,0.325
L9.H2,40,-0.000745391845703125,0.575,0.025,-0.010546875,1,-0.0017734907567501068,0.0013190325276809744,-5.4755806922912596e-05,0.01210403743551244,0.005810546875,203,201,0.5
L3.H8,40,-0.0007415771484375,0.525,0.05,-0.0021484375,1,0.0017478745430707932,8.138574894474004e-05,1.3262033462524414e-05,0.001325695482906887,0.001025390625,203,204,0.15
