head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,40,-0.04668731689453125,0.825,0.35,-0.378125,2,0.2033488929271698,0.16222954201512038,0.027251632511615755,6.779709454775064,1.622265625,87,29,0.975
L16.H15,40,-0.045484161376953124,0.825,0.4,-0.3658203125,2,0.17390785813331605,0.14969946341589094,0.034748247265815733,8.151858687004031,1.8212890625,87,19,0.975
L14.H7,40,-0.01739349365234375,0.725,0.225,-0.10390625,1,0.05898724794387818,0.04545652871020138,0.011554323136806488,2.314481111855108,1.0341796875,87,24,0.975
L21.H10,40,-0.014959716796875,0.875,0.025,-0.1423828125,1,0.11313711404800415,0.005460617945936974,0.003120109438896179,0.5796335704603683,0.36728515625,87,56,0.925
L17.H6,40,-0.01192626953125,0.725,0.15,-0.0923828125,1,0.06287067532539367,0.02215185659879353,0.004389092326164246,0.5808667732699945,0.333203125,87,47,0.8
L23.H9,40,-0.00886993408203125,0.9,0.025,-0.0849609375,1,0.0735040009021759,0.002426329971058294,0.0012811601161956787,0.15682908307912194,0.10087890625,87,77,0.775
L23.H10,40,-0.00747833251953125,0.9,0.0,-0.0681640625,1,0.05975129008293152,0.0011257897524046712,0.0010660603642463685,0.11652141436756998,0.0767578125,87,81,0.775
L20.H10,40,-0.005523681640625,0.85,0.05,-0.04609375,1,0.0344545304775238,0.0013243109686300158,0.0014319300651550293,0.1856845818777245,0.132421875,87,62,0.825
L15.H7,40,-0.00449676513671875,0.525,0.15,-0.0283203125,1,0.018787628412246703,0.009564406948629766,0.003162887692451477,0.4924310740002463,0.31103515625,87,48,0.85
L8.H2,40,-0.0037261962890625,0.725,0.075,-0.028125,1,0.015215694904327393,0.0021609907431411556,0.00035406947135925294,0.050203795388861015,0.03818359375,87,87,0.5
L19.H13,40,-0.00337066650390625,0.575,0.0,-0.0259765625,1,0.015476059913635255,0.0011598947872698772,0.0001579567790031433,0.004530662886702603,-0.00869140625,87,86,0.325
L12.H9,40,-0.00327301025390625,0.675,0.125,-0.028515625,1,0.015647250413894653,0.00517737048867275,0.0008769944310188293,0.17275626491169938,0.1423828125,87,74,0.775
L16.H6,40,-0.00275421142578125,0.675,0.025,-0.0041015625,1,0.002626568078994751,0.004887109078117647,0.0029400378465652467,0.3970467488563323,0.334765625,87,62,0.95
L17.H11,40,-0.00272064208984375,0.675,0.05,-0.0201171875,1,0.01270260214805603,0.0010444332554470747,-0.00017202049493789673,-0.019442501650253706,-0.029541015625,87,89,0.225
L4.H15,40,-0.00262908935546875,0.7,0.025,-0.021875,1,0.013249874114990234,0.001523659550002776,0.0003517270088195801,0.03729694234838817,0.0244140625,87,86,0.45
L20.H0,40,-0.0023712158203125,0.4,0.05,-0.009765625,1,0.010000944137573242,0.00111451134980598,0.00017174482345581055,0.0005184454662972487,-0.00390625,87,88,0.175
L11.H3,40,-0.00226898193359375,0.55,0.025,-0.0224609375,1,0.019277924299240114,0.0013268968919874168,-4.695504903793335e-05,0.02643463128297573,0.01171875,87,85,0.475
L22.H3,40,-0.0021087646484375,0.6,0.05,-0.01484375,1,0.011983317136764527,0.0003428339408856118,0.0001599639654159546,0.025764280650600362,0.01884765625,87,86,0.45
L23.H13,40,-0.0021026611328125,0.75,0.025,-0.019921875,1,0.01639036536216736,0.00032279360093525613,0.00011480152606964111,0.029148566966271123,0.01904296875,87,85,0.525
