head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L16.H2,56,-0.10862622942243304,0.8928571428571429,0.21428571428571427,-0.4818638392857143,1,0.24202659034303256,0.1915078910034416,0.06814849589552198,24.62233750276896,2.5386439732142856,80,20,0.9821428571428571
L16.H15,56,-0.04868861607142857,0.6428571428571429,0.10714285714285714,-0.18484933035714285,1,0.12581550223486765,0.0789374755362847,0.02579776304108756,17.85963789024717,1.8448660714285714,80,35,0.9285714285714286
L14.H5,56,-0.047115870884486606,0.75,0.07142857142857142,-0.20758928571428573,1,0.13991636942539895,0.06484371043708441,0.018539427646568844,7.966790743072637,1.7440011160714286,80,31,0.9642857142857143
L14.H7,56,-0.0426483154296875,0.6607142857142857,0.08928571428571429,-0.1552734375,1,0.12237844137208802,0.07447970550648668,0.017142972775868008,6.9137764965279755,1.8242885044642858,80,29,0.9642857142857143
L15.H7,56,-0.027064732142857144,0.625,0.05357142857142857,-0.14132254464285715,1,0.07544188254645892,0.02285725293768337,0.0031071826815605164,1.1296642591934023,0.6086077008928571,80,50,0.875
L21.H10,56,-0.022458757672991072,0.8035714285714286,0.0,-0.16978236607142858,1,0.09682555390255791,0.0070049380893968715,0.003553155277456556,1.12239980926218,0.5827985491071429,80,57,0.875
L11.H1,56,-0.0194854736328125,0.7142857142857143,0.03571428571428571,-0.14606584821428573,1,0.09472842567733356,0.020918342704784924,0.003567054867744446,1.1316601611404462,0.5562918526785714,80,57,0.8214285714285714
L22.H2,56,-0.016180855887276784,0.75,0.0,-0.109375,1,0.06928249129227229,0.00746617084535371,0.0021683648228645325,0.5943874978003728,0.36795479910714285,80,62,0.8214285714285714
L23.H13,56,-0.012935093470982142,0.8214285714285714,0.03571428571428571,-0.11021205357142858,1,0.061493485633816035,0.0031552585460303817,0.001170497919831957,0.3401585923573426,0.19803292410714285,80,71,0.7678571428571429
L19.H2,56,-0.005340576171875,0.6071428571428571,0.017857142857142856,-0.028738839285714284,1,0.022486116737127304,0.0017460796068787335,0.0009308691535677229,0.29280868961108336,0.22112165178571427,80,73,0.6785714285714286
L17.H6,56,-0.004778180803571429,0.5,0.017857142857142856,-0.014508928571428572,1,0.005745655723980495,0.001970872648468815,1.2956559658050537e-05,0.03405538788153971,0.025460379464285716,80,77,0.30357142857142855
L13.H13,56,-0.004673549107142857,0.5535714285714286,0.03571428571428571,0.009905133928571428,1,0.0014787630311080388,0.007184543490958666,0.0007055604032107762,0.2706330344973588,0.22147042410714285,80,65,0.5892857142857143
L23.H10,56,-0.004457746233258929,0.7678571428571429,0.0,-0.05064174107142857,1,0.024459869733878543,0.0010266893932566745,0.0005452867065157209,0.16386919932003144,0.10344587053571429,80,75,0.6964285714285714
L20.H10,56,-0.003986903599330357,0.7321428571428571,0.0,-0.030412946428571428,1,0.016287337456430708,0.0008008814641341035,0.0005882722990853446,0.19346418644705168,0.14606584821428573,80,75,0.7321428571428571
L14.H4,56,-0.003788539341517857,0.6071428571428571,0.0,-0.022600446428571428,1,0.010091219629560198,0.001334773022790614,0.0005165934562683105,0.17286336607830446,0.13727678571428573,80,73,0.6428571428571429
L20.H4,56,-0.0030234200613839285,0.6607142857142857,0.03571428571428571,-0.03166852678571429,1,0.005626957331384931,0.0032699765633878997,-2.5506530489240375e-05,-0.03233717700998969,-0.07554408482142858,80,83,0.14285714285714285
L23.H9,56,-0.0029689243861607145,0.5892857142857143,0.0,-0.043666294642857144,1,0.018635533217872893,0.0016059243936459616,0.0006977160062108721,0.1788510986546162,0.12269810267857142,80,75,0.6964285714285714
L10.H7,56,-0.00286865234375,0.5178571428571429,0.03571428571428571,0.020228794642857144,1,-0.01990725046822003,0.01041395683880962,-0.001216088022504534,-0.19706957659464844,-0.23123604910714285,80,93,0.10714285714285714
L21.H15,56,-0.0025918143136160715,0.6607142857142857,0.0,-0.018415178571428572,1,0.009437201278550284,0.0004569248197380408,4.974539790834699e-05,0.014064116523268857,-0.0008370535714285714,80,80,0.30357142857142855
L18.H9,56,-0.0025787353515625,0.6071428571428571,0.0,-0.010602678571428572,1,0.00621028829898153,0.0006245723240811328,3.258351768766131e-05,0.025154941515189804,0.017368861607142856,80,76,0.23214285714285715
L23.H2,56,-0.002369471958705357,0.5357142857142857,0.0,-0.002232142857142857,1,0.004539278468915394,0.0008487809640688024,0.00023851862975529263,0.054842005299401746,0.05378069196428571,80,77,0.48214285714285715
L13.H9,56,-0.0022670200892857145,0.5714285714285714,0.017857142857142856,-0.014090401785714286,1,0.007126153047595706,0.0005992394339305715,1.550359385354178e-05,0.00037551871931289997,-0.009974888392857142,80,81,0.21428571428571427
L13.H0,56,-0.0022430419921875,0.6071428571428571,0.017857142857142856,-0.027204241071428572,1,0.01774212664791516,0.005098452417899223,0.001228081328528268,0.3372588910910859,0.24372209821428573,80,71,0.7678571428571429
