head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,16,-0.2361736297607422,1.0,0.375,-1.4453125,2,1.2003942430019379,0.38175684958696365,0.019408270716667175,82.41716080689659,3.3875732421875,507,21,1.0
L17.H6,16,-0.048736572265625,1.0,0.0625,-0.29443359375,1,0.31734107434749603,0.03630031435750425,0.00101412832736969,2.765169872055604,0.9798583984375,507,204,1.0
L16.H2,16,-0.03498077392578125,0.75,0.125,-0.19189453125,1,0.19148360192775726,0.017155906360130757,0.0006340555846691132,0.8857039692886175,0.5087890625,507,349,0.9375
L16.H1,16,-0.03491973876953125,0.6875,0.125,-0.2177734375,1,0.1840960457921028,0.023927134403493255,0.00045528262853622437,0.795734924699838,0.44482421875,507,346,0.875
L15.H3,16,-0.03441619873046875,0.75,0.0625,-0.1796875,1,0.1873341053724289,0.022455716971307993,0.0006981231272220612,0.7883451269985062,0.472412109375,507,372,0.9375
L18.H9,16,-0.03235626220703125,0.8125,0.0,-0.17626953125,1,0.1779433786869049,0.01559799024835229,0.0005112476646900177,0.5478667369622159,0.331787109375,507,366,0.9375
L15.H9,16,-0.0297698974609375,0.625,0.0,-0.140625,1,0.17408831417560577,0.019414651453189435,0.000377066433429718,0.7926922146605176,0.265625,507,475,0.625
L13.H1,16,-0.0291595458984375,0.9375,0.0625,-0.1240234375,1,0.12527737021446228,0.012339064327534288,0.0008621327579021454,0.8990015279275452,0.5560302734375,507,326,0.9375
L22.H2,16,-0.02712249755859375,0.8125,0.0625,-0.15234375,1,0.14006245136260986,0.007019985945589724,9.674951434135437e-05,0.39121974264335396,0.2161865234375,507,385,0.75
L15.H11,16,-0.0247955322265625,0.5,0.0,-0.119140625,1,0.11948749423027039,0.009343561328932992,0.00037827715277671814,0.5550125793520029,0.212646484375,507,370,0.625
L20.H11,16,-0.02344512939453125,0.75,0.0,-0.1328125,1,0.12039296329021454,0.010085744202115166,0.0002822950482368469,0.39832359209286133,0.1956787109375,507,353,0.625
