head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,25,-0.172113037109375,0.96,0.28,-1.0359375,2,0.8672427177429199,0.2910798466205597,0.0347222113609314,216.7184173862751,3.13337890625,546,18,0.96
L16.H2,25,-0.0446728515625,0.76,0.04,-0.220625,1,0.201377534866333,0.02609737457707524,0.0021605682373046875,1.291904319193776,0.61212890625,546,370,0.92
L15.H3,25,-0.0377294921875,0.76,0.04,-0.1921875,1,0.17956362724304198,0.021605154369026422,0.0019272208213806153,1.20696247804003,0.54775390625,546,372,0.96
L17.H6,25,-0.03509765625,0.8,0.04,-0.231875,1,0.24105103969573974,0.032350097023881974,0.0027114272117614744,5.972710690869427,1.07541015625,546,144,0.96
L18.H9,25,-0.032275390625,0.8,0.0,-0.175625,1,0.1626066207885742,0.01946429332718253,0.001976907253265381,0.9490085862758992,0.36689453125,546,317,0.92
L22.H2,25,-0.018681640625,0.88,0.0,-0.11,1,0.10016290664672851,0.004772821268998087,0.0008779335021972657,0.25436923191419686,0.1507421875,546,505,0.8
L16.H6,25,-0.015517578125,0.52,0.0,-0.08875,1,0.08705096721649169,0.008057541707530617,0.0003041338920593262,0.5114348420344672,0.29935546875,546,386,0.76
L17.H7,25,-0.0147705078125,0.68,0.0,-0.0734375,1,0.08634131431579589,0.007084510389249772,0.0004906415939331055,0.41588446690101466,0.26455078125,546,423,0.68
L14.H7,25,-0.01193359375,0.72,0.0,-0.0646875,1,0.06892296314239502,0.01082883685361594,0.001020336151123047,1.165471258869114,0.55916015625,546,254,0.92
L13.H1,25,-0.01181640625,0.56,0.0,-0.0575,1,0.05643342018127442,0.008445153934881091,0.0012338900566101075,0.7843966190261917,0.48060546875,546,344,0.88
L21.H12,25,-0.011455078125,0.48,0.04,-0.0503125,1,0.04025357246398926,0.008403129283105954,0.00024554014205932615,0.04810663763398778,0.00408203125,546,548,0.2
L23.H13,25,-0.0111279296875,0.88,0.0,-0.0578125,1,0.05880172729492188,0.0014170347980689258,0.0003058338165283203,0.14235051328000836,0.09890625,546,518,0.76
L16.H1,25,-0.01076171875,0.6,0.0,-0.0671875,1,0.0625937032699585,0.015272115343250334,0.0008768701553344727,0.7414014138904406,0.39765625,546,455,0.84
L17.H12,25,-0.0107373046875,0.64,0.0,-0.0565625,1,0.050383868217468264,0.004067340804031119,0.0001764392852783203,0.05616583690823236,0.02291015625,546,561,0.44
L18.H0,25,-0.010234375,0.52,0.0,-0.055,1,0.04394310474395752,0.005956619912758469,0.0011203527450561524,0.18395763469345344,0.10203125,546,537,0.6
L19.H4,25,-0.0099951171875,0.44,0.0,-0.06125,1,0.05307826519012451,0.0103536880822503,-0.00013211727142333984,0.05174870353533162,-0.00494140625,546,541,0.24
L15.H11,25,-0.0094287109375,0.64,0.0,-0.04125,1,0.03538156986236572,0.0022518302613752893,0.0006241798400878906,0.15154343113235144,0.09728515625,546,420,0.52
