head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,20,-0.2491943359375,1.0,0.25,-1.326171875,2,1.048751848936081,0.49943809658288957,0.11337971091270446,354.0032574915293,4.23984375,228,3,0.95
L15.H3,20,-0.040576171875,0.7,0.0,-0.202734375,1,0.23212083876132966,0.024393398384563624,0.006617659330368042,1.5639333448751793,0.6958984375,228,146,0.9
L17.H6,20,-0.035968017578125,1.0,0.05,-0.22734375,1,0.2667542636394501,0.024424736469518392,0.00522950291633606,5.651780367716144,1.3693359375,228,53,0.95
L20.H11,20,-0.03555908203125,0.75,0.0,-0.19140625,1,0.2131020724773407,0.010850935740745627,0.0016842156648635865,0.775112512760361,0.368359375,228,168,0.8
L17.H0,20,-0.016876220703125,0.75,0.0,-0.103125,1,0.11948631405830383,0.00576343428256223,0.0016181319952011108,1.316555953101102,0.651171875,228,104,0.95
L13.H1,20,-0.01573486328125,0.7,0.0,-0.0625,1,0.08695028126239776,0.00555181298404932,0.002496442198753357,0.7088689525960026,0.48046875,228,146,0.9
L22.H2,20,-0.015655517578125,0.85,0.0,-0.097265625,1,0.0932095468044281,0.0031884574273135513,0.0011722803115844726,0.3244362950634815,0.2029296875,228,203,0.95
L15.H11,20,-0.0151031494140625,0.75,0.05,-0.084375,1,0.05908963084220886,0.009273526245669928,0.0007686734199523926,0.38777418494285787,0.17421875,228,219,0.85
L23.H13,20,-0.013348388671875,0.8,0.0,-0.0765625,1,0.07282131314277648,0.0018060776012134739,0.00012805461883544922,0.12638519576931234,0.0765625,228,215,0.8
L18.H9,20,-0.00938720703125,0.65,0.0,-0.05703125,1,0.05290424227714539,0.0048026639997260645,-3.082454204559326e-05,0.1923460201675589,0.124609375,228,204,0.75
L20.H12,20,-0.008306884765625,0.5,0.0,-0.03046875,1,0.02941107749938965,0.0025980772678849463,0.0023147374391555785,0.047996157762876655,0.0283203125,228,227,0.3
L23.H9,20,-0.007684326171875,0.75,0.0,-0.039453125,1,0.039468026161193846,0.0008748012071009726,0.000318676233291626,0.09118246644532016,0.066796875,228,213,0.85
L15.H0,20,-0.00548095703125,0.55,0.0,-0.0359375,1,0.045178663730621335,0.004898292077632505,0.0006022989749908447,0.28149852717768686,0.18515625,228,206,0.75
L21.H12,20,-0.00548095703125,0.4,0.0,-0.0140625,1,0.008493375778198243,0.0039305150945438076,0.0010703682899475097,-0.02792440126831508,-0.0240234375,228,241,0.2
L11.H1,20,-0.004742431640625,0.65,0.0,-0.01875,1,0.024369832873344422,0.0012798921001376585,0.00017440617084503175,0.12002763752498388,0.099609375,228,213,0.9
L16.H2,20,-0.004248046875,0.4,0.0,-0.028125,1,0.03125159740447998,0.002146528893354116,0.0005398839712142944,0.14061122682936036,0.0919921875,228,221,0.65
L17.H13,20,-0.00328369140625,0.6,0.0,-0.012890625,1,0.01606872081756592,0.0004175082300207578,0.0004181861877441406,0.07317254306975789,0.0654296875,228,221,0.85
L19.H2,20,-0.002703857421875,0.65,0.0,-0.01796875,1,0.018033552169799804,0.00035895497057936154,-4.2957067489624026e-05,0.1221130444208595,0.096484375,228,213,0.6
L15.H10,20,-0.002642822265625,0.5,0.0,-0.012109375,1,0.010324540734291076,0.0006058939958165866,-0.0002786725759506226,-0.05187663285512756,-0.0595703125,228,239,0.1
L15.H6,20,-0.00235595703125,0.55,0.0,-0.010546875,1,0.0031219601631164553,0.0012116535610402935,0.0003337591886520386,0.06631399967709066,0.0607421875,228,215,0.7
L14.H6,20,-0.002252197265625,0.75,0.0,-0.009765625,1,0.011296600103378296,7.74759868363617e-05,0.0001858055591583252,0.04151957919046479,0.03515625,228,223,0.7
L18.H10,20,-0.002032470703125,0.4,0.0,-0.029296875,1,0.023061579465866087,0.004127616627374664,-9.601116180419922e-05,-0.03403379907437369,-0.0619140625,228,237,0.3
L13.H13,20,-0.00194091796875,0.55,0.0,-0.0046875,1,0.006419825553894043,0.0012210688524646684,0.000522768497467041,0.09281771456587548,0.0853515625,228,210,0.8
L21.H10,20,-0.001885986328125,0.7,0.0,-0.01015625,1,0.011058992147445679,6.106285327405203e-05,6.766915321350097e-05,0.03080695881436827,0.024609375,228,224,0.55
L17.H8,20,-0.001861572265625,0.45,0.0,-0.008203125,1,0.009081202745437621,0.00011056797993660438,3.7550926208496094e-05,0.020638298193178865,0.0158203125,228,223,0.55
L22.H9,20,-0.001837158203125,0.65,0.0,-0.009765625,1,0.009989666938781738,0.00015520745255344083,0.00018309056758880615,0.024501479793651998,0.0181640625,228,223,0.6
L21.H6,20,-0.001690673828125,0.85,0.0,-0.01015625,1,0.008848369121551514,0.00011179795874340925,0.00014715194702148439,0.024075904233762987,0.0177734375,228,225,0.5
L19.H5,20,-0.0016845703125,0.6,0.0,-0.009765625,1,0.0097156822681427,6.675114782410674e-05,5.526244640350342e-05,0.03408870670802041,0.027734375,228,222,0.45
L15.H15,20,-0.0016357421875,0.5,0.0,-0.00625,1,0.007866066694259644,7.700527348788455e-05,0.0001187533140182495,0.01904949464682234,0.0158203125,228,226,0.4
L21.H5,20,-0.001629638671875,0.65,0.0,-0.009375,1,0.007429295778274536,0.00024830799256960747,2.7185678482055665e-05,0.013021476724969455,0.00703125,228,226,0.55
L16.H1,20,-0.001483154296875,0.45,0.0,-0.010546875,1,0.02273852825164795,0.002185056508460548,0.0004861980676651001,0.2027654149248558,0.13671875,228,185,0.75
L19.H15,20,-0.001483154296875,0.35,0.0,-0.003515625,1,0.005256825685501098,0.001770487219619099,0.0011318296194076539,0.010943777244351966,0.0005859375,228,232,0.1
L12.H15,20,-0.001361083984375,0.7,0.0,-0.006640625,1,0.007952117919921875,0.00023825731332181022,0.00014184713363647462,0.04703893521589886,0.041015625,228,221,0.65
L18.H11,20,-0.001324462890625,0.65,0.0,-0.005078125,1,0.005781325697898865,0.00018018950104305986,2.9009580612182617e-05,0.013167722247977798,0.009765625,228,224,0.4
L23.H10,20,-0.001318359375,0.7,0.0,-0.006640625,1,0.007181328535079956,0.00013205091308918782,0.0001489400863647461,0.026344931930322946,0.0228515625,228,225,0.55
L11.H6,20,-0.001287841796875,0.55,0.0,-0.007421875,1,0.008251553773880005,0.00031215830549626846,2.5647878646850587e-05,0.03302095385461167,0.0271484375,228,222,0.75
L5.H1,20,-0.00125732421875,0.55,0.0,-0.009375,1,0.008446997404098511,0.00039216683035192546,0.00017133951187133789,0.018618093777200438,0.0083984375,228,228,0.35
L14.H12,20,-0.001171875,0.65,0.0,-0.005859375,1,0.006375271081924439,6.779241311960504e-05,5.4770708084106444e-05,0.028609027545558486,0.024609375,228,221,0.65
L11.H15,20,-0.001153564453125,0.65,0.0,-0.00546875,1,0.007110822200775147,0.0005395277725710912,1.4609098434448242e-05,-0.04905949480252693,-0.0525390625,228,239,0.1
L3.H14,20,-0.001092529296875,0.6,0.0,-0.00546875,1,0.005788668990135193,0.00010198774270975264,8.087158203125e-05,0.010942682904438467,0.0072265625,228,227,0.35
L17.H7,20,-0.00106201171875,0.55,0.0,-0.007421875,1,0.00406118631362915,0.0004194433910015505,-1.5887618064880372e-05,0.0376502802724495,0.03203125,228,220,0.6
L22.H12,20,-0.00106201171875,0.6,0.0,-0.006640625,1,0.00570029616355896,0.00019439855623204494,1.366138458251953e-05,0.012279630548146611,0.0080078125,228,226,0.45
L23.H0,20,-0.000982666015625,0.7,0.0,-0.005078125,1,0.004906207323074341,0.00013024575255258242,-1.5816092491149904e-05,0.01006503516262681,0.0076171875,228,226,0.4
L11.H2,20,-0.000927734375,0.45,0.0,-0.00390625,1,0.0036713778972625732,0.00010876576088776346,3.567039966583252e-05,-0.005945890994768682,-0.0072265625,228,227,0.2
L0.H6,20,-0.000897216796875,0.6,0.0,-0.005078125,1,0.004414480924606323,8.927148373913952e-05,3.0332803726196288e-05,0.0040780868008438624,0.00078125,228,227,0.4
L8.H11,20,-0.000897216796875,0.7,0.0,-0.0046875,1,0.004757377505302429,8.291113917948678e-05,-5.730688571929932e-05,0.002891380088539833,-0.0001953125,228,227,0.35
L16.H14,20,-0.00089111328125,0.45,0.0,0.0046875,1,-0.013331973552703857,0.0018838475185475544,-4.659593105316162e-05,-0.07441964308205765,-0.07265625,228,231,0.1
L23.H2,20,-0.00087890625,0.65,0.0,-0.005859375,1,0.005652213096618652,0.00017258616062463262,9.57787036895752e-05,0.02022389513874426,0.015234375,228,224,0.55
L9.H0,20,-0.000872802734375,0.55,0.0,-0.006640625,1,0.0027352869510650635,0.0002915572742494987,-4.5478343963623045e-06,0.006769695799788149,0.0001953125,228,228,0.25
