head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,16,-0.12943267822265625,0.9375,0.3125,-0.75146484375,2,0.5610907971858978,0.1672699508490041,0.025828752666711807,41.575695155930134,2.417724609375,206,18,1.0
L17.H6,16,-0.04079437255859375,0.875,0.0625,-0.2509765625,1,0.22968219220638275,0.05147787870373577,0.007648780941963196,9.586009978187917,1.13330078125,206,79,0.9375
L15.H3,16,-0.0348968505859375,0.875,0.0,-0.12939453125,1,0.13124975562095642,0.018653421296903616,0.006230093538761139,0.7833379865051262,0.48681640625,206,130,0.875
L16.H2,16,-0.03334808349609375,0.8125,0.0,-0.158203125,1,0.16403789818286896,0.01984238988279685,0.0006015971302986145,0.9390337377658242,0.45068359375,206,149,0.8125
L13.H1,16,-0.02164459228515625,0.6875,0.0625,-0.10791015625,1,0.0944788008928299,0.014727088913787156,0.0037522800266742706,1.445915771890419,0.7890625,206,91,0.9375
L16.H6,16,-0.01786041259765625,0.4375,0.0,-0.0908203125,1,0.0874314159154892,0.013678788338438608,0.0014311112463474274,0.6280647008637434,0.364013671875,206,160,0.8125
L20.H8,16,-0.017578125,0.5,0.0,-0.06787109375,1,0.08117274940013885,0.0056004546786425635,0.0004171915352344513,0.11622820423230393,0.052978515625,206,202,0.4375
L22.H11,16,-0.0172271728515625,0.75,0.0,-0.080078125,1,0.10316561162471771,0.006893446920457791,0.0015286952257156372,0.16468447209658033,0.077392578125,206,203,0.4375
L19.H4,16,-0.0163116455078125,0.5625,0.0,-0.0703125,1,0.06784084439277649,0.010021754706485808,-0.0002730526030063629,0.09990860264799828,0.043701171875,206,186,0.3125
L22.H2,16,-0.01612091064453125,1.0,0.0,-0.09619140625,1,0.08019892126321793,0.0027980037912129774,0.0023332685232162476,0.2015978652051592,0.13427734375,206,191,0.875
L23.H13,16,-0.01374053955078125,0.8125,0.0,-0.07080078125,1,0.06909511983394623,0.0025738765698406496,0.00010973960161209106,0.16013027399177887,0.115966796875,206,192,0.875
L15.H11,16,-0.01309967041015625,0.625,0.0,-0.0771484375,1,0.06122580170631409,0.009182898727885913,0.0020521245896816254,0.33113195239268206,0.19921875,206,197,0.75
L14.H7,16,-0.01263427734375,0.6875,0.125,-0.0703125,1,0.06857326626777649,0.014074248378165066,0.001289650797843933,0.9771674962809583,0.593017578125,206,112,0.875
L17.H8,16,-0.0118560791015625,0.5625,0.0,-0.0517578125,1,0.06878021359443665,0.004811284120478376,0.00018659234046936035,0.2538702941358229,0.0927734375,206,202,0.25
L21.H12,16,-0.009586334228515625,0.6875,0.0,-0.04638671875,1,0.02225305885076523,0.007167204986217257,0.000947166234254837,0.08467022299972514,0.06640625,206,208,0.3125
L13.H13,16,-0.008697509765625,0.75,0.0,-0.03955078125,1,0.042352721095085144,0.0037211485341686057,0.0005108527839183807,0.1435844316251692,0.115966796875,206,193,0.75
L13.H6,16,-0.00848388671875,0.625,0.0,-0.01953125,1,0.04653523862361908,0.009375313997225021,0.0019310526549816132,0.31048510953646874,0.239501953125,206,179,0.875
L15.H9,16,-0.00846099853515625,0.5,0.0,-0.04248046875,1,0.03582446277141571,0.006353119483719638,-7.707253098487854e-05,0.17941578555410437,0.11865234375,206,191,0.5625
L20.H4,16,-0.00821685791015625,0.6875,0.0,-0.04150390625,1,0.02796708047389984,0.004467918195587117,-0.0009331218898296356,-0.06433808033653034,-0.085693359375,206,205,0.0625
L20.H11,16,-0.007816314697265625,0.5625,0.0625,-0.056640625,1,0.050927720963954926,0.006801414878736978,-0.00020732730627059937,0.13140322095638388,0.099853515625,206,176,0.6875
L11.H3,16,-0.00780487060546875,0.625,0.0,-0.05078125,1,0.03527116775512695,0.007330564425501507,0.0004324875771999359,0.21913570823987616,0.137939453125,206,184,0.6875
L19.H12,16,-0.00750732421875,0.5625,0.0,-0.0205078125,1,0.024980098009109497,0.0028019120491080685,0.0012059174478054047,0.003482222285059365,-0.009765625,206,210,0.1875
L23.H9,16,-0.00571441650390625,0.75,0.0,-0.04052734375,1,0.027633704245090485,0.001359982668873272,0.0005562528967857361,0.07312575963734058,0.0546875,206,199,0.75
L23.H10,16,-0.00566864013671875,0.9375,0.0,-0.03173828125,1,0.03236892819404602,0.0003996009900220088,0.0002191290259361267,0.048922262281615884,0.03271484375,206,202,0.75
L12.H0,16,-0.00539398193359375,0.6875,0.0,-0.02734375,1,0.019945837557315826,0.0016951131701716804,0.0011503249406814575,0.08279435994105434,0.066162109375,206,193,0.6875
L17.H13,16,-0.005096435546875,0.6875,0.0,-0.01904296875,1,0.02158646285533905,0.0009939298633980798,0.0012112483382225037,0.07650107126021247,0.06591796875,206,197,0.6875
L19.H5,16,-0.00489044189453125,0.8125,0.0,-0.0302734375,1,0.024965651333332062,0.000690318279339408,0.00016455352306365967,0.14061016077071517,0.09619140625,206,195,0.5625
L17.H3,16,-0.00457763671875,0.5,0.0,-0.01708984375,1,0.01830369234085083,0.0029229735118860845,8.0060213804245e-05,-0.05866447126368535,-0.08349609375,206,231,0.1875
L18.H9,16,-0.00444793701171875,0.6875,0.0,-0.03271484375,1,0.01820901781320572,0.008642854365461972,-0.0007865577936172485,0.17064169720805067,0.139892578125,206,177,0.6875
L23.H2,16,-0.0040435791015625,0.8125,0.0,-0.021484375,1,0.022926494479179382,0.00021252132319204975,0.0001958310604095459,0.03475617097938555,0.023681640625,206,202,0.5625
L17.H0,16,-0.003662109375,0.5,0.0,-0.0234375,1,0.02748967707157135,0.00266007182199246,0.00034800171852111816,0.2791245505703295,0.2080078125,206,173,0.75
L13.H11,16,-0.0033111572265625,0.625,0.0,-0.0224609375,1,0.02146773785352707,0.0019846032082568854,0.0003864169120788574,0.0687668715152786,0.034912109375,206,206,0.5625
L7.H5,16,-0.00299835205078125,0.625,0.0,-0.013671875,1,0.014426633715629578,0.0003889482595695881,7.935240864753723e-05,0.014148041141504933,0.00732421875,206,205,0.375
L15.H1,16,-0.0029449462890625,0.5625,0.0,-0.0126953125,1,0.014344915747642517,0.0005529810409825586,9.825825691223145e-05,0.0128707908492764,0.007568359375,206,206,0.25
L14.H0,16,-0.00290679931640625,0.5,0.0,-0.0126953125,1,0.012348592281341553,0.0013567559366265414,0.00021798163652420044,0.010100883981313381,0.00537109375,206,206,0.1875
L16.H15,16,-0.0027618408203125,0.4375,0.0,-0.0166015625,1,0.01647210866212845,0.0023737309711577836,-3.280118107795715e-05,0.1192502013135923,0.1015625,206,191,0.875
L21.H10,16,-0.0027008056640625,0.75,0.0,-0.01611328125,1,0.015813514590263367,0.00032009475785343966,1.3601034879684448e-05,0.045327797441418106,0.033447265625,206,202,0.375
L20.H12,16,-0.00258636474609375,0.3125,0.0,-0.01708984375,1,0.012315899133682251,0.00039542973308925866,0.00020625069737434387,0.030459487055096362,0.0224609375,206,205,0.375
L11.H15,16,-0.00238037109375,0.5625,0.0,-0.01123046875,1,0.0093546062707901,0.0014089398046053248,-0.0004609152674674988,-0.07616711780827919,-0.094970703125,206,223,0.0
L18.H0,16,-0.00234222412109375,0.6875,0.0,-0.01123046875,1,0.007207892835140228,0.0007844884457881562,0.00028105080127716064,0.026410366683549766,0.022216796875,206,204,0.5625
L13.H5,16,-0.00231170654296875,0.375,0.0,-0.01318359375,1,0.018644891679286957,0.0014796656560065458,6.891041994094849e-05,0.07524781398505645,0.052001953125,206,198,0.5
L19.H6,16,-0.00226593017578125,0.75,0.0,-0.01025390625,1,0.011952117085456848,0.0001143406719847917,-4.976987838745117e-06,0.012116337461186606,0.007080078125,206,205,0.375
L19.H0,16,-0.00223541259765625,0.5625,0.0,-0.0068359375,1,0.00804176926612854,0.005133513766850228,0.0004453025758266449,0.01221235944860506,0.000244140625,206,212,0.4375
L17.H12,16,-0.00220489501953125,0.5625,0.0,-0.0166015625,1,0.014369107782840729,0.0029880200354455155,0.001598503440618515,0.03087523422125385,0.013916015625,206,208,0.4375
L12.H15,16,-0.00209808349609375,0.5,0.0,-0.00732421875,1,0.011787325143814087,0.0009876337062451057,2.0626932382583618e-05,0.07480830796534663,0.06787109375,206,196,0.75
L23.H15,16,-0.00209808349609375,0.6875,0.0,-0.01171875,1,0.011163190007209778,0.00015524369382546865,7.137656211853027e-05,0.01470161340981116,0.0087890625,206,205,0.4375
L22.H1,16,-0.00208282470703125,0.4375,0.0,-0.017578125,1,0.008828595280647278,0.0005825514772368479,1.257285475730896e-05,0.0164828439081419,0.010009765625,206,204,0.3125
L11.H11,16,-0.00203704833984375,0.625,0.0,-0.01123046875,1,0.010010980069637299,0.0003350466249685269,-4.426389932632446e-05,0.0037297925014542106,-0.000244140625,206,206,0.25
L12.H1,16,-0.00189208984375,0.625,0.0,-0.01220703125,1,0.008402213454246521,0.00027387962109060027,0.00016313791275024414,0.017293599065675985,0.01171875,206,205,0.4375
L9.H7,16,-0.00185394287109375,0.5625,0.0,-0.00732421875,1,0.0058180540800094604,0.0005039557004238304,5.619227886199951e-05,-0.0044025876145641,-0.0029296875,206,206,0.25
L19.H1,16,-0.00183868408203125,0.6875,0.0,-0.0078125,1,0.010365113615989685,0.00019760601981033687,0.000139579176902771,0.006718063480644513,0.001708984375,206,205,0.3125
L14.H11,16,-0.00179290771484375,0.4375,0.0,0.009765625,1,0.006611645221710205,0.003047682892429293,0.00032136961817741394,0.09670477708174498,0.073486328125,206,201,0.5625
L1.H2,16,-0.001739501953125,0.625,0.0,-0.01025390625,1,0.009993448853492737,0.00024005534214666113,-2.631545066833496e-05,-0.001531245699484699,-0.005859375,206,207,0.0625
L10.H14,16,-0.0017242431640625,0.625,0.0,-0.005859375,1,0.00738583505153656,0.00040398587316303747,3.8079917430877686e-05,0.004045408039967748,0.000244140625,206,207,0.0625
L5.H9,16,-0.00171661376953125,0.5625,0.0,-0.01025390625,1,0.009453222155570984,0.0004681778800659231,2.32011079788208e-05,0.012114035058334706,0.00390625,206,205,0.5625
L22.H9,16,-0.0016937255859375,0.6875,0.0,-0.00927734375,1,0.009346440434455872,0.0002072078978017089,2.8166919946670532e-05,0.012564013700370039,0.00830078125,206,205,0.5
L2.H14,16,-0.0016326904296875,0.6875,0.0,-0.0068359375,1,0.009393773972988129,6.557433312082139e-05,6.196275353431702e-05,0.005399638328368435,0.002197265625,206,206,0.25
L12.H8,16,-0.0016326904296875,0.5,0.0,-0.00439453125,1,0.006567627191543579,0.0009973100786737632,8.904561400413513e-05,-0.0006212448563736941,-0.00390625,206,205,0.4375
L18.H8,16,-0.00160980224609375,0.625,0.0,-0.00830078125,1,0.008349999785423279,0.00016784889521659352,5.003809928894043e-05,0.019420947731555224,0.015869140625,206,202,0.4375
L5.H1,16,-0.00157928466796875,0.5625,0.0,-0.0078125,1,0.008275441825389862,0.0004311021339162835,0.0002288036048412323,0.003867462079258136,0.0,206,208,0.375
L11.H4,16,-0.00156402587890625,0.4375,0.0,-0.00537109375,1,0.007303886115550995,0.00017493051609562826,9.960681200027466e-05,0.006766236602976237,0.004150390625,206,206,0.3125
L21.H2,16,-0.00154876708984375,0.625,0.0,-0.01123046875,1,0.015195667743682861,0.001483098791595694,0.0005156137049198151,0.009431457765107443,0.004150390625,206,206,0.25
L22.H6,16,-0.00154876708984375,0.5625,0.0,-0.00830078125,1,0.0073205530643463135,0.00010640965024322213,-3.8504600524902344e-05,0.006858683765794963,0.003662109375,206,206,0.3125
L7.H8,16,-0.00151824951171875,0.625,0.0,-0.0068359375,1,0.007868930697441101,0.00016274661356874276,1.774728298187256e-05,0.00272519914432225,0.000244140625,206,207,0.125
L21.H14,16,-0.00150299072265625,0.5625,0.0,-0.00830078125,1,0.00874609500169754,0.0006112218898124411,0.00018096715211868286,0.021216630501754385,0.0166015625,206,206,0.3125
L8.H7,16,-0.001495361328125,0.5625,0.0,-0.01025390625,1,0.007838830351829529,0.0004390154099382926,3.933534026145935e-05,0.0024433158199588636,-0.00048828125,206,206,0.3125
L16.H1,16,-0.0014801025390625,0.5625,0.0,-0.017578125,1,0.01416003704071045,0.003282696206952096,0.0009766370058059692,0.12214150722435808,0.09814453125,206,193,0.625
L14.H4,16,-0.001461029052734375,0.4375,0.0,-0.01171875,1,0.009265586733818054,0.0027491116743476596,0.00038708001375198364,0.23340111609997083,0.142578125,206,184,0.625
L8.H0,16,-0.0014190673828125,0.625,0.0,-0.0087890625,1,0.00722542405128479,0.0001231295836987556,0.00013725459575653076,-0.0028163701490194967,-0.004638671875,206,207,0.0625
L21.H6,16,-0.00139617919921875,0.5625,0.0,-0.0087890625,1,0.007374778389930725,0.0002451826908327348,9.153038263320923e-05,0.02116372206937036,0.01708984375,206,203,0.4375
L4.H13,16,-0.0013427734375,0.625,0.0,-0.00732421875,1,0.0052958279848098755,0.00017417287040188967,1.642853021621704e-06,0.00608077754309009,0.00390625,206,206,0.25
L5.H5,16,-0.00130462646484375,0.8125,0.0,-0.00732421875,1,0.006389424204826355,5.064993570158549e-05,3.360956907272339e-05,0.003338791629430035,0.000244140625,206,207,0.0625
L17.H7,16,-0.00127410888671875,0.5625,0.0,-0.01025390625,1,0.007505044341087341,0.0006646400661338703,-0.0001728348433971405,0.06612534688585732,0.05615234375,206,196,0.75
