head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,7,-0.10199410574776786,1.0,0.5714285714285714,-1.0212053571428572,3,0.4615269729069301,0.23255488595792226,0.026084831782749722,15.104362226866652,1.8755580357142858,45,9,0.8571428571428571
L17.H6,7,-0.042262486049107144,1.0,0.14285714285714285,-0.4095982142857143,1,0.2724853583744594,0.053904466064912934,0.006197180066789899,4.448009509010583,0.9380580357142857,45,21,0.8571428571428571
L20.H1,7,-0.030421665736607144,0.7142857142857143,0.2857142857142857,-0.14955357142857142,1,-0.09058448246547154,0.037276638472186666,-0.0005775860377720424,-0.12333533093502982,-0.10881696428571429,45,52,0.2857142857142857
L16.H2,7,-0.022792271205357144,0.8571428571428571,0.0,-0.15848214285714285,1,0.0939176082611084,0.012583312911114522,0.00042179652622767856,0.13800268001517324,0.04352678571428571,45,53,0.7142857142857143
L13.H1,7,-0.019609723772321428,0.8571428571428571,0.2857142857142857,-0.171875,2,0.09657168388366699,0.016642552534384385,0.002032688685825893,1.0009081676709621,0.48716517857142855,45,31,0.7142857142857143
L12.H7,7,-0.019426618303571428,0.7142857142857143,0.2857142857142857,-0.14174107142857142,1,0.01713531357901437,0.019814594548993876,-0.0006871904645647321,-0.12525771100890973,-0.18080357142857142,45,49,0.0
L16.H15,7,-0.017525809151785716,1.0,0.0,-0.14285714285714285,1,0.09381001336233956,0.010928510089537926,0.0011331694466727121,0.28247831952995306,0.20089285714285715,45,38,1.0
L16.H6,7,-0.017290387834821428,0.7142857142857143,0.0,-0.11607142857142858,1,0.08411673137119838,0.007438100641593337,0.0006797654288155692,0.24665144885133958,0.16462053571428573,45,38,0.7142857142857143
L21.H3,7,-0.013907296316964286,0.7142857142857143,0.14285714285714285,-0.04799107142857143,1,-0.11825942993164062,0.029003999902800257,0.0012958390372140066,0.00881374250607016,0.04575892857142857,45,48,0.14285714285714285
L15.H3,7,-0.013881138392857142,0.5714285714285714,0.0,-0.09821428571428571,1,0.06170112746102469,0.012580979149788618,0.00048419407435825894,0.23624852526819096,0.15122767857142858,45,43,0.5714285714285714
