head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,11,-0.18500588156960227,1.0,0.18181818181818182,-0.9517045454545454,1,0.7812819480895996,0.25891385159709235,0.05265863375230269,36.62102170139292,2.36328125,95,13,1.0
L16.H2,11,-0.06671142578125,0.9090909090909091,0.09090909090909091,-0.3132102272727273,1,0.32131266593933105,0.024758739862591028,0.00369417667388916,0.9471347489829509,0.4982244318181818,95,69,1.0
L15.H3,11,-0.04182017933238636,0.7272727272727273,0.09090909090909091,-0.23792613636363635,1,0.20201444625854492,0.03256581393493847,0.00247137113050981,0.8788068988476432,0.5131392045454546,95,62,0.9090909090909091
L18.H9,11,-0.037353515625,0.7272727272727273,0.0,-0.15980113636363635,1,0.17600768262689764,0.010267482964660634,0.0017958337610418146,0.3863185781094987,0.2120028409090909,95,87,0.8181818181818182
L22.H2,11,-0.03337513316761364,1.0,0.09090909090909091,-0.17897727272727273,1,0.1669336665760387,0.005952166393399239,0.001107833602211692,0.39804477354550555,0.24644886363636365,95,77,1.0
L22.H11,11,-0.03238192471590909,0.8181818181818182,0.09090909090909091,-0.14133522727272727,1,0.14835914698514072,0.018608863739328543,0.0005064444108442826,0.34059535196811586,0.12251420454545454,95,89,0.2727272727272727
L15.H9,11,-0.026511452414772728,0.9090909090909091,0.0,-0.13991477272727273,1,0.13662075996398926,0.014553794266910038,0.002174908464605158,0.7509558125839633,0.41654829545454547,95,63,0.9090909090909091
L13.H1,11,-0.026267311789772728,0.8181818181818182,0.09090909090909091,-0.14417613636363635,1,0.1366572596810081,0.016711630816148085,0.0027697411450472746,1.194567279868737,0.6360085227272727,95,55,1.0
L17.H6,11,-0.02594549005681818,1.0,0.0,-0.14275568181818182,1,0.1604126583446156,0.015470941000702705,0.001263217492537065,1.219450322147638,0.44176136363636365,95,60,1.0
L19.H7,11,-0.024580522017045456,0.8181818181818182,0.09090909090909091,-0.13423295454545456,1,0.08585648103193803,0.01098727551421193,0.00030488317663019353,0.13787456735366388,0.06427556818181818,95,90,0.45454545454545453
L15.H11,11,-0.019642223011363636,0.9090909090909091,0.09090909090909091,-0.08380681818181818,1,0.08426557887684215,0.005455940969775177,0.0010357661680741744,0.24719299297691055,0.15802556818181818,95,89,0.9090909090909091
L21.H12,11,-0.016573819247159092,0.5454545454545454,0.09090909090909091,-0.08664772727272728,1,0.04576561667702415,0.012611943582834845,0.0003938458182594993,0.14717776467145274,0.09268465909090909,95,99,0.45454545454545453
L20.H8,11,-0.016568270596590908,0.8181818181818182,0.09090909090909091,-0.10369318181818182,1,0.07169495929371227,0.004128879567195492,0.0002546418796886097,0.12022839982603668,0.07634943181818182,95,89,0.45454545454545453
L23.H13,11,-0.015902432528409092,0.9090909090909091,0.09090909090909091,-0.07457386363636363,1,0.07786430012096059,0.0018050793759440157,0.0005360841751098633,0.16130603897374807,0.11292613636363637,95,88,0.6363636363636364
L14.H7,11,-0.015785910866477272,0.9090909090909091,0.09090909090909091,-0.09090909090909091,1,0.0856036056171764,0.007833526258102873,0.0012623071670532227,0.43456893568636784,0.32066761363636365,95,71,0.9090909090909091
L13.H6,11,-0.013682972301136364,0.7272727272727273,0.0,-0.03480113636363636,1,0.0596946586262096,0.010417643341828476,0.0005524808710271662,0.20369375316588786,0.17613636363636365,95,80,0.6363636363636364
L16.H6,11,-0.013544256036931818,0.8181818181818182,0.09090909090909091,-0.10085227272727272,1,0.06907302683049982,0.00588384420949627,0.00044923478906804866,0.22502907663510696,0.16335227272727273,95,80,0.9090909090909091
L17.H8,11,-0.011058460582386364,0.7272727272727273,0.18181818181818182,-0.04190340909090909,1,-0.0052337646484375,0.020528101198248227,0.00016329505226828834,0.0829565370327135,0.07386363636363637,95,89,0.45454545454545453
L16.H1,11,-0.008689186789772728,0.9090909090909091,0.09090909090909091,-0.046875,1,0.03838515281677246,0.001989053858613426,0.00024432485753839666,0.10737074479968979,0.08238636363636363,95,88,0.9090909090909091
L11.H3,11,-0.008078835227272728,0.6363636363636364,0.09090909090909091,-0.04758522727272727,1,0.048301198265769264,0.002741829608567059,0.00021472844210537997,0.08456496795086492,0.05397727272727273,95,90,0.5454545454545454
L14.H5,11,-0.007379705255681818,0.6363636363636364,0.09090909090909091,-0.0703125,1,0.04082534529946067,0.004575690688480708,0.00032824819738214666,0.14204511397432235,0.11576704545454546,95,84,0.7272727272727273
L14.H11,11,-0.007257634943181818,0.5454545454545454,0.0,-0.03835227272727273,1,0.02431366660378196,0.0054167009789539,0.0002868175506591797,0.09465979680042591,0.08025568181818182,95,90,0.6363636363636364
L23.H9,11,-0.006991299715909091,0.9090909090909091,0.09090909090909091,-0.03125,1,0.03336158665743741,0.0007099970693657683,0.000202731652693315,0.07994115269628568,0.061079545454545456,95,89,0.7272727272727273
