head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L11.H1,75,-0.01927734375,0.8933333333333333,0.16,-0.1296875,1,0.060301624933878584,0.011480812639929354,0.009420572916666667,0.2400093824688011,0.19458333333333333,7,5,0.6
L14.H7,75,-0.016201171875,0.84,0.17333333333333334,-0.1234375,1,0.0626125144958496,0.012630287463931987,0.007844696044921875,0.21998058462884815,0.16291666666666665,7,5,0.5733333333333334
L21.H0,75,-0.01025390625,0.88,0.06666666666666667,-0.075625,1,0.040011170705159506,0.002624193684896454,0.004122365315755209,0.11853186626886099,0.09166666666666666,7,6,0.3333333333333333
L15.H7,75,-0.00919921875,0.6933333333333334,0.13333333333333333,-0.06833333333333333,1,0.02425872802734375,0.011661971647602817,0.007507985432942709,0.17412037149870882,0.14375,7,6,0.49333333333333335
L14.H5,75,-0.008735758463541667,0.7466666666666667,0.12,-0.079375,1,0.02758734067281087,0.006724199293724572,0.004476470947265625,0.15298298242074077,0.1228125,7,6,0.4666666666666667
L12.H8,75,-0.008095703125,0.9066666666666666,0.05333333333333334,-0.05322916666666667,1,0.024640843073527017,0.004062806410559764,0.002446746826171875,0.07240099803256102,0.06739583333333334,7,6,0.3466666666666667
L23.H13,75,-0.008079020182291667,0.76,0.09333333333333334,-0.05479166666666667,1,0.030572175979614258,0.002887137741781771,0.003744913736979167,0.09577849058730462,0.07916666666666666,7,6,0.3466666666666667
L19.H2,75,-0.008002115885416666,0.8266666666666667,0.10666666666666667,-0.06354166666666666,1,0.022350422541300454,0.003901504632085562,0.004561258951822917,0.14028860822047637,0.11864583333333334,7,6,0.49333333333333335
L18.H8,75,-0.006759033203125,0.88,0.12,-0.06104166666666667,1,0.02680489222208659,0.00350894005697531,0.002608591715494792,0.0838288284944796,0.06364583333333333,7,6,0.37333333333333335
L16.H15,75,-0.006649576822916667,0.8,0.08,-0.051458333333333335,1,0.02692332903544108,0.00478177202011769,0.0036597696940104166,0.0926479002876297,0.0753125,7,6,0.3333333333333333
L13.H13,75,-0.006223958333333333,0.7733333333333333,0.04,-0.049479166666666664,1,0.03116154670715332,0.0029296024943081043,0.0032598368326822915,0.09659089132491434,0.07427083333333333,7,6,0.36
L13.H6,75,-0.005826416015625,0.7333333333333333,0.06666666666666667,-0.04052083333333333,1,0.019536787668863933,0.002376228589564562,0.00284912109375,0.06423077598585152,0.0509375,7,6,0.25333333333333335
L22.H2,75,-0.005369873046875,0.7333333333333333,0.08,-0.0334375,1,0.02108136494954427,0.0033036936835075417,0.003536427815755208,0.09199768328206782,0.07958333333333334,7,6,0.37333333333333335
L21.H10,75,-0.005334065755208333,0.7333333333333333,0.04,-0.0359375,1,0.018568159739176433,0.00234582995219777,0.0033321126302083334,0.09164847075822491,0.08291666666666667,7,6,0.44
L15.H6,75,-0.004923095703125,0.6666666666666666,0.10666666666666667,-0.04114583333333333,1,0.02090932528177897,0.005803317467992505,0.0016118876139322917,0.06432818584953952,0.052083333333333336,7,6,0.44
L23.H5,75,-0.004298095703125,0.7066666666666667,0.04,-0.027395833333333335,1,0.012892055511474609,0.0025178557354956863,0.002661590576171875,0.06774354175744468,0.06322916666666667,7,6,0.3466666666666667
L16.H2,75,-0.0037540690104166667,0.7066666666666667,0.10666666666666667,-0.035416666666666666,1,0.013883711496988933,0.002863014340691734,0.0013390096028645833,0.042031614034404176,0.0340625,7,6,0.28
L15.H9,75,-0.003726806640625,0.6266666666666667,0.05333333333333334,-0.023333333333333334,1,0.01112719217936198,0.0014011165203798252,0.002106374104817708,0.038808960984986256,0.0296875,7,6,0.13333333333333333
L16.H6,75,-0.003541259765625,0.6933333333333334,0.06666666666666667,-0.03333333333333333,1,0.0131287415822347,0.002853243111167103,0.0017547098795572917,0.0613117520932477,0.051145833333333335,7,6,0.37333333333333335
L23.H6,75,-0.0031632486979166667,0.5866666666666667,0.06666666666666667,-0.02125,1,0.00896643320719401,0.0039412321895360945,0.002430165608723958,0.05508973837710459,0.0475,7,6,0.3466666666666667
L18.H4,75,-0.003109130859375,0.7866666666666666,0.013333333333333334,-0.023020833333333334,1,0.013020833333333334,0.0016897591849556193,0.0009593709309895834,0.030446953536936258,0.024479166666666666,7,6,0.25333333333333335
L23.H2,75,-0.0029402669270833333,0.6133333333333333,0.04,-0.013854166666666667,1,0.010208632151285807,0.001397253250858436,0.001397705078125,0.04065054341982739,0.037083333333333336,7,6,0.29333333333333333
L18.H2,75,-0.0027591959635416665,0.6666666666666666,0.04,-0.025416666666666667,1,0.012153717676798502,0.00147883240521575,0.001711273193359375,0.05323771627923255,0.0440625,7,6,0.30666666666666664
L23.H15,75,-0.0027469889322916667,0.72,0.08,-0.020416666666666666,1,0.007899020512898763,0.0012600094149820508,0.0008037821451822917,0.029007639833475766,0.0259375,7,6,0.26666666666666666
L23.H0,75,-0.0025944010416666667,0.64,0.04,-0.015104166666666667,1,0.00893948237101237,0.0009823185593510668,0.0012914021809895834,0.03472233910136661,0.03145833333333333,7,6,0.21333333333333335
L23.H10,75,-0.002166748046875,0.6666666666666666,0.05333333333333334,-0.016875,1,0.007782300313313802,0.0007269627356436103,0.0010485331217447917,0.03136157218416741,0.028229166666666666,7,6,0.18666666666666668
L8.H14,75,-0.0018310546875,0.5866666666666667,0.04,-0.0109375,1,0.01159693717956543,0.0010067426487027358,0.0005153401692708333,0.011028863329749398,0.009479166666666667,7,7,0.13333333333333333
L23.H14,75,-0.0017732747395833334,0.5733333333333334,0.02666666666666667,-0.0115625,1,0.0069569619496663414,0.0013879969902336597,0.0010525004069010418,0.023118643768313477,0.0190625,7,6,0.18666666666666668
L13.H8,75,-0.001759033203125,0.76,0.04,-0.013333333333333334,1,0.006747891108194987,0.0008091420517303049,0.0003330485026041667,0.013977135693626455,0.011979166666666667,7,6,0.16
L22.H1,75,-0.0016019694010416666,0.5333333333333333,0.02666666666666667,-0.01125,1,0.005527235666910807,0.001393192400573753,0.0007215372721354167,0.015852186279646106,0.011770833333333333,7,7,0.14666666666666667
L22.H5,75,-0.0014864095052083332,0.68,0.06666666666666667,-0.013020833333333334,1,0.004628775914510091,0.0011556756298523397,0.00011133829752604167,0.002670932603498754,-0.0007291666666666667,7,6,0.17333333333333334
L12.H9,75,-0.001473388671875,0.6533333333333333,0.02666666666666667,-0.0077083333333333335,1,0.004513317743937174,0.0006954104241837437,0.00021901448567708334,0.011288096533088978,0.013125,7,6,0.17333333333333334
L8.H7,75,-0.0013663736979166667,0.6933333333333334,0.013333333333333334,-0.0084375,1,0.0066110547383626305,0.0005264383257599548,0.00023991902669270832,0.010467056900908855,0.0075,7,6,0.10666666666666667
L20.H10,75,-0.0012666829427083334,0.6,0.02666666666666667,-0.008125,1,0.004675315221150716,0.0007082203418637315,0.0010255940755208334,0.022846045058536667,0.020416666666666666,7,6,0.18666666666666668
