head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,99,-0.06516181098090278,0.7474747474747475,0.09090909090909091,-0.4812973484848485,1,0.3167372482142063,0.09983803082352759,0.004918917260988794,3046.537343566625,2.019491792929293,420,127,0.9797979797979798
L13.H6,99,-0.045215028705018936,0.8282828282828283,0.12121212121212122,-0.4494949494949495,1,0.24093776158612185,0.0601198138255212,0.0043044620090060765,606.6290251801126,1.1547111742424243,420,204,0.9393939393939394
L18.H0,99,-0.025682237413194444,0.47474747474747475,0.09090909090909091,-0.16145833333333334,1,0.10663232591116067,0.03202543306094477,0.003195279776447951,2.960166902328275,0.6759193497474747,420,336,0.8484848484848485
L11.H5,99,-0.022634178701073232,0.6666666666666666,0.020202020202020204,-0.13652146464646464,1,0.11679853841361373,0.030118398572379402,0.0008591076340338196,1.689505236126631,0.5923295454545454,420,303,0.8282828282828283
L18.H9,99,-0.02036108151830808,0.5858585858585859,0.010101010101010102,-0.1185290404040404,1,0.07693290898595194,0.015212096273899078,0.00012480249308576488,1205.448449240837,0.38353259154040403,420,354,0.6666666666666666
L15.H6,99,-0.01954912898516414,0.6262626262626263,0.0707070707070707,-0.11103219696969698,1,0.07154086905747953,0.02604171025479739,0.000494337443149451,0.8834625137864647,0.4642518939393939,420,290,0.8080808080808081
L17.H5,99,-0.018435699771148988,0.5757575757575758,0.030303030303030304,-0.1560921717171717,1,0.09882128035480325,0.021211566802730425,0.0007036322295063674,2.1059487478463383,0.6089705650252525,420,312,0.7777777777777778
L15.H3,99,-0.016190345841224748,0.5656565656565656,0.06060606060606061,-0.12136994949494949,1,0.06639086108918142,0.027293958635930197,0.0009091189413359671,3614.870418693558,0.6383562184343434,420,267,0.7272727272727273
L22.H2,99,-0.014784687697285354,0.7777777777777778,0.0,-0.1598800505050505,1,0.11350479752126366,0.006494027927560223,0.00043076397192598595,0.548747080248771,0.27608112373737376,420,343,0.8585858585858586
L15.H11,99,-0.013409855389835858,0.6262626262626263,0.06060606060606061,-0.08696338383838384,1,0.05634757033502213,0.013170236318149942,0.0007766960847257364,0.7244543454621226,0.3082189078282828,420,368,0.6868686868686869
L11.H6,99,-0.00883160215435606,0.7272727272727273,0.050505050505050504,-0.09524936868686869,1,0.05533003137268201,0.005639361350202105,0.0007850997375719475,0.504283787423166,0.31983901515151514,420,344,0.8686868686868687
L11.H1,99,-0.008558485243055556,0.6262626262626263,0.04040404040404041,-0.1414141414141414,1,0.05214373455053628,0.01733945690398516,0.0009648348345901027,0.6412884227616393,0.30377998737373735,420,341,0.8383838383838383
L20.H8,99,-0.007930254695391414,0.6060606060606061,0.0,-0.03819444444444445,1,0.0380783887072043,0.004433567369444357,-5.4744156924161046e-05,0.06388588005349904,0.029208096590909092,420,418,0.46464646464646464
L14.H12,99,-0.007387719973169192,0.5959595959595959,0.010101010101010102,-0.08333333333333333,1,0.06214274187581708,0.009370809430240316,0.0011879374282528655,1.008604246018681,0.4778448547979798,420,323,0.898989898989899
L23.H14,99,-0.007380321772411616,0.7474747474747475,0.020202020202020204,-0.09083017676767677,1,0.039925243216331556,0.002526826166793013,0.0002017412522826532,0.21326929560811975,0.11781881313131314,420,391,0.8080808080808081
L20.H12,99,-0.007236673374368687,0.5252525252525253,0.010101010101010102,-0.04861111111111111,1,0.050550816938130544,0.007914407569970913,0.0006104954565414275,0.362259527560988,0.14943379103535354,420,411,0.6262626262626263
L14.H5,99,-0.00670153685290404,0.5454545454545454,0.04040404040404041,-0.042219065656565656,1,0.017162922882672512,0.022524244598268222,0.0004553608220032971,0.9191103910421403,0.3803661616161616,420,305,0.7777777777777778
L18.H15,99,-0.006675643150252525,0.6060606060606061,0.020202020202020204,-0.05942234848484849,1,0.037595300888172305,0.00700818254119091,0.0002822695356426817,0.3516563153256686,0.17412405303030304,420,388,0.696969696969697
L15.H9,99,-0.006541859019886364,0.45454545454545453,0.020202020202020204,-0.049163510101010104,1,0.032650923939666364,0.015552986243394594,0.0007240182221537888,1.368354733728339,0.26889993686868685,420,344,0.5353535353535354
L12.H15,99,-0.005967881944444444,0.696969696969697,0.0,-0.052083333333333336,1,0.03180221084392432,0.0020849216680565432,0.0003325746516988735,0.1863895807822417,0.1302872474747475,420,383,0.797979797979798
L12.H0,99,-0.005745935921717172,0.46464646464646464,0.050505050505050504,-0.0026041666666666665,1,-0.028187987780330156,0.04273066988771645,0.00018105543020999792,0.7706872715032509,0.3270004734848485,420,330,0.7373737373737373
L14.H2,99,-0.005098593355429293,0.5454545454545454,0.06060606060606061,-0.030460858585858584,1,0.0102091556546664,0.0037234847927307287,8.93329129074559e-05,0.11842931968580996,0.08138020833333333,420,399,0.6060606060606061
L11.H8,99,-0.004570238517992424,0.6565656565656566,0.0,-0.053424873737373736,1,0.03760568895424255,0.0021057859433524138,0.00014779423222397313,0.0898034541009647,0.043511284722222224,420,408,0.6464646464646465
L22.H0,99,-0.004490091343118687,0.6363636363636364,0.0,-0.04908459595959596,1,0.031830246249834694,0.0012121580194809321,0.00022088638459793244,0.10844438284915803,0.06312144886363637,420,416,0.6363636363636364
L23.H9,99,-0.00438220091540404,0.5757575757575758,0.0,-0.045454545454545456,1,0.02852116630534933,0.0026852697896303118,0.00013133311512494327,0.17522021132681934,0.12060053661616162,420,378,0.7777777777777778
L16.H12,99,-0.004085039851641414,0.43434343434343436,0.020202020202020204,0.017282196969696968,1,-0.00025929367602473555,0.005881706216681814,-0.00010599512042421283,-0.14600499253620144,-0.15418836805555555,420,499,0.13131313131313133
