head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,13,-0.07889498197115384,1.0,0.07692307692307693,-0.2091346153846154,1,0.18864100254498994,0.055869908860096566,0.0208431757413424,1.3043120459434616,0.7740384615384616,15,9,0.8461538461538461
L11.H1,13,-0.057358961838942304,0.7692307692307693,0.07692307692307693,-0.2998798076923077,1,0.22913253765839797,0.0657140756599032,0.017347445854773887,2.8085967556598925,0.6959134615384616,15,8,0.7692307692307693
L13.H13,13,-0.054307204026442304,0.7692307692307693,0.0,-0.20252403846153846,1,0.21104415563436654,0.0532808093389926,0.020876627701979417,1.817452764639439,0.7830528846153846,15,9,0.7692307692307693
L18.H4,13,-0.028287447415865384,0.7692307692307693,0.0,-0.0985576923076923,1,0.11596836035068218,0.02425381734680671,0.012531243837796725,0.8938135302168182,0.5438701923076923,15,11,0.7692307692307693
L15.H6,13,-0.023592435396634616,0.6923076923076923,0.0,-0.051682692307692304,1,0.05654693108338576,0.010434776586547602,0.0033857272221491886,0.26480121639348964,0.20793269230769232,15,14,0.46153846153846156
L12.H9,13,-0.02167687049278846,0.6923076923076923,0.0,-0.03064903846153846,1,0.058966439503889814,0.011623592366679357,0.004054106198824369,0.26284114962837024,0.2361778846153846,15,13,0.7692307692307693
L12.H7,13,-0.018465482271634616,0.6153846153846154,0.0,-0.09555288461538461,1,0.05530786055784959,0.015380451509442467,-0.0029887786278357874,-0.12764764470992104,-0.19951923076923078,15,15,0.07692307692307693
L12.H8,13,-0.016850398137019232,0.8461538461538461,0.07692307692307693,-0.038461538461538464,1,0.04120955100426307,0.011460890503468154,0.0025881620553823616,0.26795744344265454,0.23918269230769232,15,13,0.6923076923076923
L13.H6,13,-0.012981708233173076,0.6153846153846154,0.15384615384615385,-0.13762019230769232,1,0.05360832122656015,0.029529059305787086,0.010018422053410457,0.5076843985225732,0.3034855769230769,15,12,0.6153846153846154
L15.H8,13,-0.012000450721153846,0.6153846153846154,0.0,-0.07572115384615384,1,0.04545714304997371,0.0044001677239206265,-0.00016293158897986778,0.027260344712879338,-0.010817307692307692,15,15,0.0
L13.H5,13,-0.010394756610576924,0.7692307692307693,0.0,-0.03545673076923077,1,0.02944026543543889,0.002438171926769428,0.001434619610126202,0.12521395690388493,0.09735576923076923,15,14,0.38461538461538464
L22.H7,13,-0.009906475360576924,0.9230769230769231,0.0,-0.04266826923076923,1,0.0304948825102586,0.004993078012305956,-0.0013110087468073918,-0.055052861530709436,-0.078125,15,15,0.07692307692307693
L12.H2,13,-0.009784405048076924,0.6153846153846154,0.0,-0.029447115384615384,1,0.01532419828268198,0.007268331171452211,-0.00018343558678260216,-0.005442338994630226,-0.010817307692307692,15,14,0.15384615384615385
L22.H2,13,-0.008953387920673076,0.6153846153846154,0.0,-0.038461538461538464,1,0.03356758447793814,0.004177510389126837,0.003333862011249249,0.1975576579022485,0.1484375,15,13,0.6923076923076923
L18.H3,13,-0.00793926532451923,0.5384615384615384,0.0,-0.04026442307692308,1,0.02359337990100567,0.007225039997138083,-0.0003180137047400841,0.0175544079179947,-0.010216346153846154,15,14,0.38461538461538464
L10.H7,13,-0.007765549879807692,0.6923076923076923,0.0,0.019230769230769232,1,0.026393583187690146,0.00720532281915299,-0.0008737490727351262,-0.05178583493007744,-0.040865384615384616,15,16,0.15384615384615385
L14.H14,13,-0.007685734675480769,0.5384615384615384,0.0,-0.047475961538461536,1,0.019800314536461465,0.0066030218664449285,-0.0032709195063664364,-0.19430628068773298,-0.24699519230769232,15,16,0.0
L17.H14,13,-0.007479154146634615,0.6153846153846154,0.0,-0.012620192307692308,1,0.02030784350175124,0.002317024762025819,0.0018935203552246094,0.08745049311868332,0.08233173076923077,15,14,0.38461538461538464
L14.H4,13,-0.007272573617788462,0.6923076923076923,0.0,-0.018028846153846152,1,0.018615369613354023,0.001641242375346617,0.0011068490835336538,0.08579816816048959,0.07752403846153846,15,14,0.38461538461538464
L9.H15,13,-0.007150503305288462,0.6153846153846154,0.0,-0.010216346153846154,1,0.013188783939068135,0.0011520547738585335,0.000848550062913161,0.04827955960618531,0.04807692307692308,15,14,0.15384615384615385
L17.H11,13,-0.006460336538461538,0.5384615384615384,0.0,-0.049879807692307696,1,0.02921066375879141,0.001850599051417353,-0.0005600635822002704,-0.016819807325977196,-0.059495192307692304,15,15,0.15384615384615385
L10.H2,13,-0.005882850060096154,0.6153846153846154,0.0,-0.03665865384615385,1,0.02560691650097187,0.000983944044911858,0.0002651214599609375,0.05367454180354451,0.03125,15,14,0.23076923076923078
L18.H8,13,-0.005540114182692308,0.6923076923076923,0.0,-0.028846153846153848,1,0.008300065994262695,0.001653570304020272,0.0011169360234187199,0.03481757292132825,0.025240384615384616,15,15,0.15384615384615385
L12.H1,13,-0.005436823918269231,0.6923076923076923,0.0,-0.022235576923076924,1,0.010682981747847337,0.001836082413389634,8.271290705754206e-05,-0.0031254901804251066,-0.013822115384615384,15,15,0.15384615384615385
L13.H15,13,-0.005352313701923077,0.5384615384615384,0.0,-0.018028846153846152,1,0.01556939803636991,0.0013693471398885148,0.0024430935199444112,0.12710533391679424,0.10396634615384616,15,14,0.38461538461538464
