head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,41,-0.14057047774152057,0.9512195121951219,0.12195121951219512,-0.7675304878048781,2,0.6293082702450636,0.14682285798849856,0.01880241894140476,8.621086670409467,1.5886051829268293,130,48,0.975609756097561
L15.H6,41,-0.12037026009908537,0.8780487804878049,0.12195121951219512,-0.5482088414634146,1,0.5716569794387352,0.10586531328537115,0.013454366021040009,4.300073391829329,1.279344512195122,130,66,1.0
L15.H7,41,-0.06942451290967988,0.8536585365853658,0.12195121951219512,-0.40853658536585363,1,0.2990737891778713,0.043663920227029335,0.003330852927231207,1.5020077345224576,0.5640243902439024,130,93,0.9024390243902439
L18.H15,41,-0.04678270293445122,0.8536585365853658,0.024390243902439025,-0.2604801829268293,1,0.24660753113467518,0.022829116330618356,0.0036839828258607445,1.3365962653300743,0.5797446646341463,130,91,0.975609756097561
L15.H15,41,-0.03212161180449695,0.8292682926829268,0.024390243902439025,-0.17911585365853658,1,0.1766034895327033,0.01865817342633552,0.002942171038650885,0.7949036582435223,0.4372141768292683,130,104,0.9512195121951219
L13.H6,41,-0.032097793206935975,0.7560975609756098,0.024390243902439025,-0.2381859756097561,1,0.1562285197944176,0.022783016805855056,0.0025842916674730255,0.6562750729078052,0.3172637195121951,130,109,0.8780487804878049
L18.H9,41,-0.02715915586890244,0.8292682926829268,0.024390243902439025,-0.1676829268292683,1,0.13346550595469592,0.012144029154669403,0.0012493424299286633,0.41935076216735423,0.2109375,130,114,0.7560975609756098
L18.H8,41,-0.026691715891768292,0.8292682926829268,0.024390243902439025,-0.18216463414634146,1,0.15271579492382886,0.013813849748680142,0.0011061022921306331,0.7592306568573574,0.3110708841463415,130,107,0.7560975609756098
L14.H4,41,-0.020853182164634148,0.6829268292682927,0.0,-0.09546493902439024,1,0.10959748015171145,0.0074951358341112185,0.0012531469507915218,0.3998671545228894,0.26362423780487804,130,115,0.7804878048780488
L13.H13,41,-0.019707656488185975,0.6829268292682927,0.0,-0.06554878048780488,1,0.08180509544000393,0.010538237533537761,0.0011801908655864437,0.48034086196758136,0.30240091463414637,130,109,0.7804878048780488
L12.H9,41,-0.01875267959222561,0.7317073170731707,0.024390243902439025,-0.08860518292682927,1,0.08833619516070296,0.006348491471016598,0.0015669014395737067,0.35586459370778384,0.24009146341463414,130,113,0.8536585365853658
L12.H8,41,-0.017557283727134148,0.5853658536585366,0.024390243902439025,-0.09451219512195122,1,0.0921231697245342,0.00785535725015329,0.0005231296143880705,0.11175843461508614,0.030773628048780487,130,132,0.5365853658536586
L20.H8,41,-0.016899294969512195,0.7317073170731707,0.024390243902439025,-0.0977515243902439,1,0.06938168188420737,0.006040297644553569,0.0004672102811859875,0.17849358500019463,0.07583841463414634,130,126,0.3902439024390244
L17.H3,41,-0.016347001238567072,0.7560975609756098,0.024390243902439025,-0.06402439024390244,1,0.07755405364966975,0.010276691422005548,2.0613030689518625e-05,-0.010829809579192568,-0.06478658536585366,130,136,0.17073170731707318
L15.H9,41,-0.015377137719131097,0.6829268292682927,0.0,-0.08060213414634146,1,0.06402174728672679,0.00800024600406376,0.001695518086596233,0.21178371816907116,0.09956173780487805,130,130,0.4634146341463415
L19.H15,41,-0.013831906202362805,0.7560975609756098,0.024390243902439025,-0.07926829268292683,1,0.06061994011809186,0.007486470395744574,0.00038433365705536633,0.06074609898502426,0.005430640243902439,130,131,0.36585365853658536
L20.H4,41,-0.013261004192073171,0.7073170731707317,0.024390243902439025,-0.10384908536585366,1,0.06698360603030135,0.00883905511922998,0.00039150656723394624,0.06252044827501335,-0.03953887195121951,130,134,0.24390243902439024
L16.H7,41,-0.009829637480945123,0.5121951219512195,0.024390243902439025,-0.04992378048780488,1,0.02915983992378886,0.012592936888700577,-0.0002623723774421506,-0.06855682768090515,-0.12814405487804878,130,144,0.24390243902439024
L14.H7,41,-0.009747761051829269,0.8292682926829268,0.024390243902439025,-0.04344512195121951,1,0.0457629539617678,0.001433778717289054,0.0005115067086568693,0.14574296624734082,0.10794588414634146,130,123,0.6341463414634146
L19.H13,41,-0.008873916253810975,0.7560975609756098,0.04878048780487805,-0.0743140243902439,1,0.04325427151307827,0.0036930261323904253,3.4694264574748717e-05,0.03299436198782045,-0.02581935975609756,130,133,0.34146341463414637
L18.H3,41,-0.00885084198742378,0.5121951219512195,0.0,-0.051067073170731704,1,0.04769366616156043,0.005355023030083763,6.368828982841678e-05,0.05226712433946514,-0.0021913109756097563,130,129,0.3902439024390244
