head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,165,-0.09864386356238163,0.7818181818181819,0.2909090909090909,-0.8230113636363636,2,0.4548962080117428,0.24308345832607964,0.006374411510698723,17424.929112587037,2.4578746448863638,931,171,0.9939393939393939
L13.H6,165,-0.05107061212713068,0.6909090909090909,0.17575757575757575,-0.5316287878787879,1,0.3021178362947522,0.1352898959634882,0.007578129118139093,1110.6196553494585,2.4363325639204545,931,255,1.0
L22.H2,165,-0.04836573745265151,0.8606060606060606,0.10303030303030303,-0.49142992424242427,1,0.3374432487921281,0.04383268055301442,0.0019926995942086884,4.122043705492578,0.9346487334280303,931,626,0.9757575757575757
L11.H6,165,-0.04010065252130682,0.7636363636363637,0.13333333333333333,-0.42547348484848485,1,0.26066554875084846,0.07552179897655592,0.005298828717434045,734.0942493059285,1.892331025094697,931,390,0.9939393939393939
L17.H6,165,-0.037598765980113635,0.7272727272727273,0.14545454545454545,-0.2833806818181818,1,0.19235015348954634,0.05578012561115126,0.0007362253738172126,725.3646678186135,0.62907539136482,931,655,0.806060606060606
L18.H0,165,-0.03312840317234848,0.5393939393939394,0.16363636363636364,-0.2866003787878788,1,0.16379651589827104,0.053142322837657324,0.002857890273585464,2.6158835621302416,0.8080936316287879,931,776,0.9454545454545454
L12.H15,165,-0.02342751242897727,0.7151515151515152,0.11515151515151516,-0.2234375,1,0.14271543820699056,0.02559655686332421,0.0013547828703215628,363.2399394366239,0.8205433238636364,931,629,0.9939393939393939
L12.H0,165,-0.021363691850142044,0.6121212121212121,0.13333333333333333,-0.1302556818181818,1,0.05322585539384322,0.04866620350741979,0.0007440733187126391,2.795499183207958,0.8246892755681818,931,635,0.9212121212121213
L11.H1,165,-0.016800574100378787,0.6666666666666666,0.10303030303030303,-0.16756628787878788,1,0.09410891063285597,0.02116281590636142,0.0009032426458416563,362.6109989374091,0.6564171993371212,931,656,0.9454545454545454
L11.H3,165,-0.012472996567234848,0.6727272727272727,0.07878787878787878,-0.07433712121212122,1,0.04170171492027514,0.016908824393017725,7.831038850726503e-05,0.19019590662517866,0.09716205018939394,931,902,0.6303030303030303
