head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,28,-0.19995771135602677,0.9642857142857143,0.35714285714285715,-1.3049665178571428,2,1.0197750883443015,0.436814940401486,0.06284434880529131,608.2543698535666,4.994768415178571,713,7,1.0
L17.H6,28,-0.06774466378348214,0.9642857142857143,0.10714285714285714,-0.48158482142857145,1,0.5103888554232461,0.07911785191390663,0.007753346647535052,31.23803943819399,2.581821986607143,713,75,1.0
L20.H11,28,-0.020562308175223216,0.75,0.0,-0.10379464285714286,1,0.1182167146887098,0.0053376458963612095,0.0004064972911562238,0.4090944294130631,0.22802734375,713,602,0.8214285714285714
L13.H1,28,-0.019827706473214284,0.8214285714285714,0.03571428571428571,-0.09207589285714286,1,0.10121833000864301,0.007128375465981662,0.0006697773933410645,1.2592214633794057,0.6975446428571429,713,443,1.0
L17.H0,28,-0.018984113420758928,0.8214285714285714,0.0,-0.12248883928571429,1,0.13254280175481523,0.007958367250726692,0.0010723599365779332,1.7340391167047655,0.8297991071428571,713,372,1.0
L22.H2,28,-0.017706734793526784,1.0,0.03571428571428571,-0.103515625,1,0.09569918257849556,0.002142377988742997,0.00017563572951725552,0.21393577402248481,0.134765625,713,648,0.8928571428571429
L23.H9,28,-0.013957432338169642,0.8571428571428571,0.03571428571428571,-0.07477678571428571,1,0.069287542785917,0.0014902057435912347,8.256520543779646e-05,0.13240666058761522,0.08698381696428571,713,658,0.8928571428571429
L23.H13,28,-0.012427193777901786,0.8928571428571429,0.03571428571428571,-0.07170758928571429,1,0.06606513687542506,0.0017408531660164175,8.901527949741908e-05,0.1355270408376165,0.08949497767857142,713,672,0.8928571428571429
L15.H3,28,-0.01226806640625,0.5,0.03571428571428571,-0.083984375,1,0.09964552521705627,0.014025797614262306,0.0007135953222002302,1.0961065949065099,0.5207170758928571,713,574,0.8571428571428571
L17.H7,28,-0.0054168701171875,0.7142857142857143,0.0,-0.027901785714285716,1,0.025476587670189992,0.0007095923530999114,5.226050104413714e-05,0.11172930505940995,0.08712332589285714,713,680,0.7142857142857143
L16.H2,28,-0.0049591064453125,0.4642857142857143,0.03571428571428571,-0.03822544642857143,1,0.03783044219017029,0.005934309978069255,0.00012592545577457974,0.3371087382479186,0.20724051339285715,713,597,0.7857142857142857
L19.H5,28,-0.004802158900669643,0.7857142857142857,0.03571428571428571,-0.026506696428571428,1,0.025848567485809326,0.0002728502391359403,8.92089945929391e-05,0.10011639404150652,0.07847377232142858,713,673,0.7857142857142857
L13.H6,28,-0.004778180803571429,0.6785714285714286,0.03571428571428571,-0.018694196428571428,1,0.017497709819248745,0.0008920923043790806,7.601720946175712e-05,0.08591777142233648,0.07659040178571429,713,678,0.8571428571428571
L11.H1,28,-0.004756382533482143,0.6785714285714286,0.0,-0.026785714285714284,1,0.03570603898593357,0.0018710133590502664,0.00012704517160143171,0.15278030335948603,0.12416294642857142,713,656,1.0
L15.H11,28,-0.004717145647321429,0.6428571428571429,0.03571428571428571,-0.021205357142857144,1,0.017748287745884488,0.0009389027821141228,5.858072212764195e-05,0.09306259548590282,0.07442801339285714,713,684,0.6071428571428571
L18.H9,28,-0.004614693777901786,0.6071428571428571,0.0,-0.026506696428571428,1,0.022915052516119822,0.0035530906565587167,9.28023031779698e-05,0.20194661193156374,0.14927455357142858,713,637,0.7857142857142857
L23.H10,28,-0.003147670200892857,0.7142857142857143,0.0,-0.018415178571428572,1,0.01620786956378392,0.0002962830110066404,2.3158533232552664e-05,0.03301944997880596,0.023367745535714284,713,701,0.6071428571428571
L19.H2,28,-0.002955845424107143,0.6428571428571429,0.0,-0.020647321428571428,1,0.019741539444242204,0.000431809347251796,9.16463988167899e-05,0.15277622545494732,0.12541852678571427,713,642,0.8928571428571429
L21.H10,28,-0.0025961739676339285,0.7857142857142857,0.0,-0.017299107142857144,1,0.016439816781452725,0.00021157533280659533,5.2328620638166156e-05,0.048228181832042256,0.03606305803571429,713,692,0.75
L12.H15,28,-0.0024348667689732145,0.7142857142857143,0.0,-0.010881696428571428,1,0.010525222335542952,0.00030177189312650753,3.0662332262311664e-05,0.04012074413899776,0.03508649553571429,713,695,0.8214285714285714
L16.H1,28,-0.002147129603794643,0.6071428571428571,0.03571428571428571,-0.010602678571428572,1,0.014422127178737096,0.002341086306842044,3.046435969216483e-05,0.21460571886964866,0.13999720982142858,713,638,0.75
L17.H13,28,-0.002101353236607143,0.6428571428571429,0.0,-0.012834821428571428,1,0.015094842229570662,0.0003025532771841556,4.326658589499337e-05,0.06137294429627368,0.05161830357142857,713,688,0.8571428571428571
L11.H6,28,-0.0018899100167410715,0.6071428571428571,0.0,-0.007533482142857143,1,0.008437867675508772,0.0002794398299426705,4.632771015167236e-05,0.03774494128820321,0.0341796875,713,702,0.8214285714285714
