head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,28,-0.15923963274274552,1.0,0.07142857142857142,-0.7667410714285714,1,0.6507190721375602,0.15001400473660656,0.03721774901662554,12.106065943778521,2.018833705357143,46,8,0.9642857142857143
L17.H6,28,-0.05822971888950893,1.0,0.07142857142857142,-0.3013392857142857,1,0.28267851897648405,0.03347655384069575,0.009247690439224243,1.860227904355608,0.8927176339285714,46,23,0.9642857142857143
L19.H5,28,-0.045013427734375,1.0,0.0,-0.21735491071428573,1,0.22425714560917445,0.011134523195713493,0.003805556467601231,0.7803314425710097,0.43680245535714285,46,30,0.9285714285714286
L22.H2,28,-0.03485979352678571,1.0,0.0,-0.17354910714285715,1,0.1677953600883484,0.00556819824851118,0.0019361376762390137,0.33674438800430734,0.21526227678571427,46,38,0.9285714285714286
L17.H0,28,-0.03021240234375,0.9285714285714286,0.0,-0.13978794642857142,1,0.15525532620293753,0.007419009543290096,0.0029932515961783273,0.6896818370686901,0.447265625,46,32,0.9285714285714286
L20.H11,28,-0.026192801339285716,0.8214285714285714,0.0,-0.11886160714285714,1,0.12898239067622594,0.00602745317051553,0.0017227189881461008,0.3489173992761256,0.21344866071428573,46,37,0.75
L14.H7,28,-0.0246734619140625,0.7857142857142857,0.0,-0.11328125,1,0.1307026403290885,0.009934839900649552,0.0023128347737448557,0.6251079030413197,0.4091796875,46,31,0.8571428571428571
L21.H10,28,-0.021525791713169644,0.9642857142857143,0.0,-0.11244419642857142,1,0.11133684430803571,0.0028675552582301733,0.0014088409287588938,0.2886444770471895,0.20103236607142858,46,37,0.8214285714285714
L15.H3,28,-0.013148716517857142,0.75,0.0,-0.048549107142857144,1,0.057609234537397115,0.0028870455301200438,0.0019974027361188617,0.25933131751003385,0.1982421875,46,42,0.6428571428571429
L19.H2,28,-0.012472970145089286,0.8928571428571429,0.0,-0.06305803571428571,1,0.06939025436128889,0.001956062265630213,0.0013335602624075754,0.27922652447556434,0.2158203125,46,39,0.8928571428571429
L16.H6,28,-0.0113372802734375,0.6428571428571429,0.0,-0.05357142857142857,1,0.06019220181873867,0.0036866219265253414,0.0009437331131526402,0.26183155253655305,0.20465959821428573,46,38,0.75
L14.H6,28,-0.011175973074776786,0.75,0.0,-0.04017857142857143,1,0.0433934075491769,0.0027647750393953174,0.001581728458404541,0.2916946261537571,0.22614397321428573,46,38,0.7857142857142857
L14.H4,28,-0.008379255022321428,0.6428571428571429,0.0,-0.04408482142857143,1,0.040817243712288995,0.004372836019943601,0.000589770930153983,0.11656795042172485,0.08956473214285714,46,43,0.6071428571428571
L23.H13,28,-0.007548740931919643,0.8571428571428571,0.0,-0.04017857142857143,1,0.03857346943446568,0.0005784805157418305,0.0004174879619053432,0.07535189543783112,0.05329241071428571,46,44,0.7142857142857143
L23.H9,28,-0.007393973214285714,0.8214285714285714,0.0,-0.041294642857142856,1,0.040288831506456645,0.0006664648494084499,0.00035566091537475586,0.07001428151914259,0.0478515625,46,44,0.6428571428571429
L17.H7,28,-0.007014683314732143,0.7142857142857143,0.0,-0.03264508928571429,1,0.032573308263506205,0.0014011482276795764,0.0013601183891296387,0.11140984777527456,0.08426339285714286,46,44,0.5
L13.H6,28,-0.006624494280133929,0.6428571428571429,0.0,-0.024274553571428572,1,0.025782695838383267,0.0014958506996793272,0.0005942114761897496,0.09232357037679553,0.0869140625,46,44,0.7857142857142857
L17.H13,28,-0.005894252232142857,0.6428571428571429,0.0,-0.021763392857142856,1,0.025722503662109375,0.0006795240286529795,0.0005954078265598842,0.10994918017595354,0.09500558035714286,46,43,0.6428571428571429
L19.H6,28,-0.005641392299107143,0.6785714285714286,0.0,-0.024553571428571428,1,0.026242843696049283,0.0008162936253159257,0.0004303412778036935,0.10420880952676835,0.08370535714285714,46,42,0.5357142857142857
L13.H1,28,-0.005161830357142857,0.6785714285714286,0.0,-0.020647321428571428,1,0.02213041271482195,0.0009238387200249625,0.000770866870880127,0.17391152603759755,0.15094866071428573,46,42,0.8214285714285714
L14.H12,28,-0.004998343331473214,0.75,0.0,-0.022600446428571428,1,0.02278869492667062,0.0005866805674616314,0.00045787436621529717,0.07289699299016658,0.06166294642857143,46,44,0.6071428571428571
L16.H1,28,-0.004350934709821429,0.6785714285714286,0.0,-0.015066964285714286,1,0.02128589153289795,0.0011317910856243024,0.0003351058278764997,0.12275057744554284,0.09584263392857142,46,42,0.4642857142857143
L23.H6,28,-0.003566196986607143,0.7857142857142857,0.0,-0.018415178571428572,1,0.01888209581375122,0.00028477720843511634,0.00016252057892935618,0.03314121874661432,0.0234375,46,46,0.5
L21.H6,28,-0.0034332275390625,0.8928571428571429,0.0,-0.019810267857142856,1,0.018523318426949636,0.00024164155872443059,0.00019571185111999512,0.041898355112243525,0.031110491071428572,46,45,0.4642857142857143
