head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,105,-0.14799543108258928,0.7523809523809524,0.19047619047619047,-0.7840029761904762,1,0.4816217053504217,0.2788719373799506,0.06560157310395014,2052.965415537508,4.968736049107143,623,12,0.9714285714285714
L17.H6,105,-0.07496570405505952,0.819047619047619,0.047619047619047616,-0.4348958333333333,1,0.2994873092288063,0.09824226437402624,0.023371545473734538,146.68198796580745,3.4143833705357145,623,58,0.9809523809523809
L22.H2,105,-0.021249534970238095,0.7333333333333333,0.0,-0.1625,1,0.1073283022358304,0.010146676207382587,0.001228642463684082,0.7968230696273411,0.35696149553571427,623,449,0.8857142857142857
L20.H11,105,-0.021061197916666666,0.5238095238095238,0.0,-0.13459821428571428,1,0.0997466144107637,0.01743925045455052,0.0008792428743271601,0.9499739012444975,0.34860956101190477,623,453,0.7619047619047619
L17.H0,105,-0.017631603422619047,0.8,0.01904761904761905,-0.12805059523809523,1,0.07372312659309024,0.009908895375251416,0.004857659339904785,2.6879528367289236,0.9432849702380952,623,354,0.9428571428571428
L23.H9,105,-0.016476004464285713,0.7523809523809524,0.0,-0.09933035714285714,1,0.0721310385635921,0.0037632907818381986,0.0006035004343305315,0.30947631857662244,0.17580450148809523,623,540,0.8
L16.H7,105,-0.007477678571428572,0.6476190476190476,0.009523809523809525,-0.026785714285714284,1,0.021815304529099237,0.0032047323027481547,-0.0005135661079770043,-0.19228137449560267,-0.26363932291666664,623,702,0.0380952380952381
L12.H5,105,-0.005717540922619047,0.580952380952381,0.009523809523809525,-0.013467261904761905,1,0.019476866722106932,0.0027673288475766424,-0.00028801986149379187,-0.020618054732677325,-0.03284156436011905,623,617,0.3238095238095238
L11.H1,105,-0.005517578125,0.5619047619047619,0.009523809523809525,-0.03630952380952381,1,0.022778875203359694,0.01093038343290876,0.0020331115949721564,0.3869227729917479,0.24397321428571428,623,521,0.8
L15.H10,105,-0.005443173363095238,0.6761904761904762,0.0,-0.03430059523809524,1,0.01933653014046805,0.0011490475436966379,-0.00018900746390933083,-0.049617232540703465,-0.08178507486979167,623,660,0.13333333333333333
L16.H12,105,-0.0052827380952380956,0.6,0.01904761904761905,-0.024330357142857143,1,0.015173694917133876,0.0038172689538138608,-0.00026894921348208476,-0.19666791995767036,-0.25973772321428573,623,749,0.05714285714285714
L17.H7,105,-0.004929315476190476,0.5047619047619047,0.0,-0.0400297619047619,1,0.028802840198789325,0.004325684755236753,0.0004321501368568057,0.40919557000642687,0.16431361607142858,623,533,0.5904761904761905
L15.H11,105,-0.004813058035714286,0.5047619047619047,0.009523809523809525,-0.03802083333333333,1,0.025445575373513357,0.005300185081571163,0.00045297429675147645,0.3206278358553191,0.11867210751488096,623,546,0.5428571428571428
L19.H5,105,-0.004285249255952381,0.6285714285714286,0.0,-0.028794642857142855,1,0.020761664708455405,0.0012812629057623868,0.00036414577847435363,0.17007013071583096,0.11782459077380952,623,547,0.8
L19.H15,105,-0.004052734375,0.47619047619047616,0.009523809523809525,-0.005505952380952381,1,0.000880633933203561,0.004521190639588028,-0.00027956962585449217,-0.047739515591176375,-0.05781017485119048,623,644,0.26666666666666666
L21.H11,105,-0.003750465029761905,0.5619047619047619,0.0,-0.0140625,1,0.008809808890024822,0.0033342422884916666,-0.00012516634804861886,-0.03228545656504525,-0.05533563523065476,623,634,0.26666666666666666
L11.H3,105,-0.0031924293154761904,0.5333333333333333,0.009523809523809525,-0.0140625,1,0.01541057356766292,0.009977683609828264,0.0010828653971354167,0.5056392123877105,0.3455543154761905,623,496,0.7714285714285715
L14.H14,105,-0.003127325148809524,0.5714285714285714,0.0,-0.015029761904761905,1,0.009261919203258697,0.0023751997121421267,-0.00036273513521466937,-0.11413608164703867,-0.14842587425595238,623,682,0.10476190476190476
L22.H9,105,-0.0028994605654761906,0.5904761904761905,0.0,-0.01168154761904762,1,0.008932423023950486,0.0006589151688829242,3.145535786946615e-05,0.05352996893027555,0.03897821335565476,623,597,0.638095238095238
L18.H9,105,-0.0028738839285714288,0.5047619047619047,0.0,-0.020982142857142855,1,0.017424164215723674,0.0019391942602981413,-0.00011403390339442662,0.07534966733994115,0.03333798363095238,623,570,0.41904761904761906
L15.H12,105,-0.0027692522321428573,0.5428571428571428,0.009523809523809525,-0.013988095238095239,1,0.007647453035627093,0.0016261240612255364,7.713351930890764e-05,-0.031040954502929444,-0.049092610677083336,623,641,0.2857142857142857
L15.H3,105,-0.0026413690476190478,0.5047619047619047,0.02857142857142857,-0.009151785714285715,1,0.0010870138804117838,0.013861068350351637,0.0024915774663289386,0.9579542259552688,0.4610816592261905,623,448,0.819047619047619
L12.H3,105,-0.0025902157738095237,0.5714285714285714,0.0,-0.01830357142857143,1,0.008780071848914738,0.0006643339992955415,-8.343004045032319e-05,0.0021385114861764277,-0.018190220424107142,623,622,0.2761904761904762
L16.H14,105,-0.0024088541666666668,0.6285714285714286,0.009523809523809525,-0.015997023809523808,1,0.006034538007917858,0.002721095992906374,-0.0003461321194966634,-0.12392270788942428,-0.16732933407738096,623,667,0.08571428571428572
L8.H14,105,-0.002394903273809524,0.5523809523809524,0.0,-0.030282738095238095,1,0.01413988016900562,0.0009284502229309597,0.00012778668176560175,0.05948416522316981,0.018060593377976192,623,615,0.47619047619047616
L14.H6,105,-0.002329799107142857,0.5714285714285714,0.0,-0.016741071428571428,1,0.01379073148682004,0.0008726910097937521,0.0003447964077904111,0.14111774036149063,0.10934709821428572,623,580,0.7333333333333333
L12.H15,105,-0.002283296130952381,0.5714285714285714,0.0,-0.017485119047619048,1,0.010808641569955008,0.0010748134723620579,0.00022779986971900576,0.09607310968282474,0.05915178571428571,623,577,0.5142857142857142
L5.H14,105,-0.0021042596726190475,0.5333333333333333,0.009523809523809525,-0.01212797619047619,1,0.00601613095828465,0.001016234743500328,-0.00011679672059558687,9.155980741657142e-05,-0.013599795386904761,623,619,0.37142857142857144
L18.H3,105,-0.0019484747023809524,0.5714285714285714,0.0,-0.01882440476190476,1,0.00927460477465675,0.0017684631448078325,-0.00014746983846028645,-0.06508760071549283,-0.09290422712053571,623,646,0.11428571428571428
L5.H13,105,-0.0019461495535714286,0.5619047619047619,0.0,-0.01644345238095238,1,0.008180496806190127,0.0014618536774096789,4.008270445324126e-05,0.03598750451368579,0.010324823288690476,623,609,0.4857142857142857
L20.H8,105,-0.0018508184523809523,0.44761904761904764,0.0,-0.010491071428571428,1,0.00857415511494591,0.0022371486963363297,-1.766681671142578e-05,0.0479408449564505,0.011912318638392858,623,613,0.3142857142857143
L13.H12,105,-0.0017973400297619047,0.5619047619047619,0.0,-0.015029761904761905,1,0.006611882221131097,0.0005472619693526732,-0.00016532568704514278,-0.0007308573147427799,-0.020391555059523808,623,626,0.3333333333333333
L19.H2,105,-0.001792689732142857,0.6476190476190476,0.0,-0.013244047619047619,1,0.005693899449847994,0.0007333831163816198,0.0005150232996259417,0.15046611859199718,0.118115234375,623,578,0.6761904761904762
L21.H15,105,-0.0014136904761904762,0.580952380952381,0.0,-0.00587797619047619,1,0.004158574342727661,0.0013578266781266956,-0.00011465435936337425,0.02367290874458421,0.008292643229166667,623,609,0.4380952380952381
L13.H9,105,-0.0013788132440476191,0.47619047619047616,0.0,-0.012723214285714286,1,0.008313467389061337,0.0006966102532931559,0.00014846381686982655,0.013589002478471193,-0.004220145089285714,623,614,0.3333333333333333
L11.H2,105,-0.0013718377976190475,0.5904761904761905,0.0,-0.00744047619047619,1,0.0072946792557126,0.00034708821947874855,5.4285072145007903e-05,0.013654086110978372,0.001111421130952381,623,615,0.4095238095238095
L13.H7,105,-0.0013369605654761905,0.5047619047619047,0.0,-0.003869047619047619,1,0.003935829514548892,0.0007378609964646222,-0.0002244024049668085,-0.04357695883798335,-0.05394635881696429,623,635,0.17142857142857143
L16.H11,105,-0.0012253534226190476,0.49523809523809526,0.009523809523809525,-0.003125,1,0.002545988843554542,0.0011704533395545912,-0.0004762382734389532,-0.1762927292486535,-0.20708182198660716,623,730,0.009523809523809525
L8.H3,105,-0.0011276971726190475,0.49523809523809526,0.0,-0.008630952380952382,1,0.0017119912874130976,0.0007903864318948416,1.4472575414748418e-05,-0.0033539215435714185,-0.01811581566220238,623,625,0.34285714285714286
L22.H6,105,-0.0011021205357142857,0.44761904761904764,0.0,-0.0060267857142857146,1,0.005128190914789835,0.00033904924114592307,2.1256151653471446e-05,0.019360573977163745,0.003087797619047619,623,601,0.3238095238095238
L22.H12,105,-0.001097470238095238,0.5428571428571428,0.0,-0.00818452380952381,1,0.003424565281186785,0.00041537341589684644,1.3452484494163877e-05,0.019441139398364792,0.007785760788690476,623,620,0.3904761904761905
L19.H0,105,-0.0009788876488095238,0.4857142857142857,0.0,0.008035714285714285,1,-0.0013821633089156377,0.002395034491408816,-0.0002515577134631929,-0.06738270462238827,-0.0682136717296782,623,645,0.12380952380952381
L3.H0,105,-0.0009463355654761905,0.5714285714285714,0.0,0.0035714285714285713,1,-0.002465051980245681,0.0006848349590741452,9.321996143886021e-05,0.007035496140131162,0.008755347842261904,623,618,0.41904761904761906
L19.H13,105,-0.0008626302083333333,0.6190476190476191,0.0,-0.009598214285714286,1,0.00011243366059802828,0.0012579721691075801,-0.00011000519707089378,-0.02329326519892122,-0.03773571196056548,623,634,0.22857142857142856
