head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,50,-0.1438629150390625,0.94,0.16,-0.84140625,1,0.7809587800502777,0.19144169569015504,0.03664278984069824,34.90030672865523,2.4303125,78,11,1.0
L17.H6,50,-0.0950244140625,0.84,0.06,-0.45265625,1,0.5181141531467438,0.07796020711539313,0.013673996925354004,6.929757650496206,1.485546875,78,34,0.96
L22.H2,50,-0.023828125,0.78,0.04,-0.1684375,1,0.1910563027858734,0.010504127102904022,0.0018701159954071045,0.6200655000857087,0.353203125,78,60,0.98
L19.H5,50,-0.02336669921875,0.78,0.04,-0.10796875,1,0.13227378010749816,0.004644198910682462,0.001319972276687622,0.45467809796909714,0.286796875,78,67,0.9
L15.H3,50,-0.01998291015625,0.64,0.04,-0.10890625,1,0.09285646319389343,0.014323810336645693,0.0013311409950256348,0.7428007883193232,0.3678125,78,61,0.72
L17.H0,50,-0.0184423828125,0.86,0.04,-0.1075,1,0.12202350974082947,0.00707329130731523,0.002122219800949097,0.8370156450207125,0.49390625,78,56,0.96
L16.H6,50,-0.0177783203125,0.64,0.02,-0.1096875,1,0.1291947066783905,0.010914431839482859,0.0012633275985717773,0.5666214723138566,0.34046875,78,59,0.92
L21.H10,50,-0.01581298828125,0.82,0.0,-0.09078125,1,0.10730385184288024,0.002820696190465242,0.00077034592628479,0.3721334980294788,0.2496875,78,64,0.9
L20.H11,50,-0.01480712890625,0.66,0.0,-0.06234375,1,0.07474137663841247,0.004208480317611247,0.00013924241065979003,0.27487983994710136,0.168359375,78,66,0.64
L11.H3,50,-0.014638671875,0.62,0.02,-0.13234375,1,0.11040912270545959,0.010675032197032124,0.0011264300346374512,0.49268023928848864,0.267265625,78,62,0.86
L23.H13,50,-0.01383056640625,0.82,0.04,-0.08765625,1,0.09149618744850159,0.0023355144320521505,0.0005222046375274658,0.22264304799972798,0.141796875,78,69,0.82
L23.H9,50,-0.01153076171875,0.78,0.02,-0.0575,1,0.06316095471382141,0.0014238640485564247,0.0003577446937561035,0.1448064157368133,0.10234375,78,73,0.78
L23.H6,50,-0.00971923828125,0.66,0.02,-0.0559375,1,0.05972177863121033,0.0034738326049409806,0.00034779906272888186,0.15602829951171326,0.102734375,78,72,0.72
L14.H7,50,-0.00927490234375,0.68,0.0,-0.05140625,1,0.06286112904548645,0.0030016897682799025,0.0006616675853729248,0.259668345443658,0.18203125,78,68,0.88
L11.H1,50,-0.00896240234375,0.64,0.02,-0.04859375,1,0.06233993411064148,0.0031218393810559064,0.0004171860218048096,0.14129908687766113,0.098125,78,71,0.8
L14.H4,50,-0.007431640625,0.6,0.0,-0.04390625,1,0.05581048130989075,0.0022148290331824682,0.00034825801849365235,0.14446287923942386,0.098203125,78,72,0.72
L19.H2,50,-0.00673583984375,0.82,0.0,-0.0365625,1,0.04426190972328186,0.0009956371958833189,0.0006180250644683838,0.2651793630611467,0.20203125,78,69,0.92
L22.H0,50,-0.00625732421875,0.7,0.02,-0.045,1,0.047454251050949095,0.0031939705961849542,0.00034560680389404295,0.15654630412807635,0.11296875,78,71,0.82
L18.H9,50,-0.0047314453125,0.54,0.06,-0.02421875,1,0.026383737325668333,0.004025349548028316,0.000495387315750122,0.18438719380563537,0.110625,78,74,0.62
L23.H10,50,-0.00468994140625,0.72,0.0,-0.01890625,1,0.02124158024787903,0.0004507650327286683,0.000184481143951416,0.053509242189197274,0.043515625,78,76,0.58
L23.H14,50,-0.0043505859375,0.68,0.0,-0.0284375,1,0.029018474817276,0.0008229381276760251,0.00022142529487609864,0.08888898875290828,0.06609375,78,74,0.76
L13.H6,50,-0.00410888671875,0.52,0.06,-0.0665625,1,0.05470853447914124,0.018797722049057483,0.0015755105018615723,0.2281057030533363,0.134375,78,72,0.64
