head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,89,-0.04577036654011587,0.8539325842696629,0.4157303370786517,-0.5362535112359551,2,0.25666877660858495,0.14060197793617008,0.007669925689697266,86.67472153786217,2.874369074789326,3082,245,0.9887640449438202
L17.H6,89,-0.03845797763781601,0.8539325842696629,0.3146067415730337,-0.37034761235955055,2,0.21444112799140844,0.09196513101165549,0.0074982683310348,17.294035783676087,1.9526257461376404,3082,744,0.9550561797752809
L22.H2,89,-0.03041333830758427,0.8202247191011236,0.2808988764044944,-0.29608497191011235,2,0.152965540296576,0.01799271282938759,0.0010241075847925766,0.8829933884966706,0.46558988764044945,3082,2208,0.8876404494382022
L18.H0,89,-0.025121260225103144,0.5280898876404494,0.29213483146067415,-0.36990870786516855,3,0.06071816133649162,0.1780512687865268,0.009861432434467788,15.264988290735726,0.7562406732794944,3082,2821,0.7528089887640449
L20.H11,89,-0.016109509414501403,0.5617977528089888,0.16853932584269662,-0.13781601123595505,1,0.060755301057622675,0.014396177070788265,0.0006251703487353379,0.5458528742164117,0.26386218124561095,3082,2480,0.6741573033707865
L19.H5,89,-0.011340194873595506,0.6853932584269663,0.14606741573033707,-0.1094627808988764,1,0.05047884148158384,0.0056635420913337155,0.0004180475567164046,0.5897946216619429,0.3542919373244382,3082,2337,0.7640449438202247
L19.H6,89,-0.009281801373771067,0.5842696629213483,0.07865168539325842,-0.07004915730337079,1,0.03586842504779944,0.005442059796540265,0.0005431536878092905,0.4594716467239507,0.2510273108321629,3082,2612,0.651685393258427
L23.H9,89,-0.007147971163974719,0.7303370786516854,0.07865168539325842,-0.056091994382022475,1,0.029305594690730064,0.0019493316633108835,0.00030406271473745283,0.13090750369659684,0.0940160858497191,3082,2850,0.7752808988764045
L13.H6,89,-0.00680713439255618,0.6741573033707865,0.06741573033707865,-0.04959620786516854,1,0.0269228769152352,0.0025385066577798448,0.0002854707535732998,0.17149343321807284,0.1298312069324965,3082,2853,0.6966292134831461
L23.H13,89,-0.006339426790730337,0.7752808988764045,0.056179775280898875,-0.045470505617977525,1,0.028332546855626483,0.0011385874203053105,0.00023281574249267578,0.10878269883899996,0.06788000899754214,3082,2883,0.7303370786516854
L17.H7,89,-0.005980245183023174,0.4943820224719101,0.1348314606741573,-0.06952247191011236,1,0.017102220085229766,0.006667090596013448,0.00010666887411910497,0.7242049587323917,0.2314597140537219,3082,2428,0.5842696629213483
L15.H9,89,-0.005164328585849719,0.550561797752809,0.11235955056179775,-0.057759831460674156,1,0.013424053620756342,0.012233971912260794,0.00098623184675581,0.5857969937243431,0.20313494392995085,3082,2680,0.6067415730337079
L17.H13,89,-0.004369499978054775,0.5617977528089888,0.0898876404494382,-0.033707865168539325,1,0.007245583480663514,0.003320853027719167,0.00015842177894678008,0.34771955799588067,0.2332077883602528,3082,2577,0.7191011235955056
