head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L22.H2,101,-0.1470596766707921,1.0,0.12871287128712872,-0.6632889851485149,1,0.5245334299484102,0.053157227510346634,0.0002937582459780249,1.9771224051501781,0.7617961014851485,492,257,1.0
L17.H0,101,-0.13471486308787128,0.9702970297029703,0.21782178217821782,-0.6840191831683168,1,0.4522802723516332,0.08162952997228408,0.0008375249286689381,3.0154488034435842,0.9199025371287128,492,299,1.0
L15.H15,101,-0.08875539043162128,0.9504950495049505,0.12871287128712872,-0.4162283415841584,1,0.31865167499768854,0.04739153112018582,0.001273088526017595,3.028920663994276,0.7712716584158416,492,338,0.9801980198019802
L17.H13,101,-0.04933332688737624,0.8415841584158416,0.039603960396039604,-0.2400990099009901,1,0.19437315676471975,0.03170362800784181,0.0003008807059561852,2.2671395537831174,0.5532178217821783,492,326,0.9801980198019802
L19.H5,101,-0.04877675877939357,0.8910891089108911,0.06930693069306931,-0.23058477722772278,1,0.1704981268042385,0.021403263406862626,0.00013916032149059938,0.9314860695829847,0.3442141089108911,492,389,0.9603960396039604
L16.H13,101,-0.04144287109375,0.6732673267326733,0.06930693069306931,-0.20668316831683167,1,0.13429645736618798,0.03187273547198424,0.0002484888133436146,0.9425438859496481,0.2522238551980198,492,432,0.6633663366336634
L23.H13,101,-0.039229289139851485,1.0,0.009900990099009901,-0.16947710396039603,1,0.14294406447080102,0.003773283524586275,5.715790361461073e-05,0.2908205718838563,0.17137221534653466,492,431,1.0
L17.H7,101,-0.028472598236386138,0.6138613861386139,0.039603960396039604,-0.13830445544554457,1,0.09870739502481896,0.016461062703168106,8.649991290404065e-05,0.6061879387760123,0.1967821782178218,492,448,0.7425742574257426
L15.H11,101,-0.024051477413366336,0.5742574257425742,0.0594059405940594,-0.1233756188118812,1,0.08322654974342573,0.017492113522490794,0.00015729960828724475,1.7330108759458949,0.33934096534653463,492,399,0.7623762376237624
L18.H11,101,-0.0238037109375,0.7920792079207921,0.0,-0.1062035891089109,1,0.09289602477951805,0.005706127847246318,4.157158407834497e-05,0.3362786766249995,0.18340037128712872,492,424,0.8316831683168316
L21.H10,101,-0.02204638188428218,1.0,0.0,-0.09978341584158416,1,0.08579931754877071,0.001267740971496384,3.0437318405302443e-05,0.18440023896006422,0.11606590346534654,492,448,0.9801980198019802
L14.H6,101,-0.02134054958230198,0.6633663366336634,0.009900990099009901,-0.10040222772277228,1,0.09114319027060329,0.006113359941910759,0.00033728498043400225,2.097268295947212,0.7983060024752475,492,279,0.9900990099009901
L11.H8,101,-0.020925993966584157,0.693069306930693,0.019801980198019802,-0.1051980198019802,1,0.13718397664551688,0.009500866565659715,0.00012033174533655148,0.6436553128312803,0.4181041150990099,492,377,1.0
L23.H4,101,-0.020229830600247526,0.9900990099009901,0.0,-0.0874845297029703,1,0.07385729445089208,0.001110644830681273,2.6295090665911683e-05,0.14154217332290514,0.08881884282178218,492,458,0.9702970297029703
L17.H15,101,-0.018271871132425743,0.5841584158415841,0.019801980198019802,-0.09274443069306931,1,0.06551764034988856,0.013684801721171992,3.125289879222908e-05,0.5669142699373728,0.15744894801980197,492,443,0.801980198019802
L18.H8,101,-0.017315250812190593,0.6237623762376238,0.009900990099009901,-0.08098700495049505,1,0.06830307044605217,0.009650385313320704,3.726116501458801e-05,0.661320968357192,0.18873762376237624,492,420,0.9108910891089109
L15.H9,101,-0.017025787051361384,0.48514851485148514,0.039603960396039604,-0.09661200495049505,1,0.056051281419130836,0.012596400312002803,5.5137837287222984e-05,0.5910961937580403,0.21898205445544555,492,432,0.6732673267326733
L15.H1,101,-0.016968982054455444,0.5544554455445545,0.009900990099009901,-0.07580445544554455,1,0.06655473284202047,0.011126038596125683,0.00011269585921032594,0.42911195256631207,0.11544709158415842,492,467,0.5643564356435643
L23.H9,101,-0.016770768873762377,0.9900990099009901,0.0,-0.07201423267326733,1,0.060780693988988894,0.0008911115150797264,1.9583961751201365e-05,0.12116073082822472,0.07729347153465346,492,461,0.9603960396039604
L22.H4,101,-0.013415648205445545,0.7623762376237624,0.009900990099009901,-0.06234529702970297,1,0.0487366241983848,0.0029747077364890634,1.9864280625145034e-05,0.11111279482635701,0.06329285272277228,492,470,0.6831683168316832
L20.H11,101,-0.013343131188118812,0.7623762376237624,0.0,-0.06188118811881188,1,0.05225115955466091,0.0019177759504510495,1.4093252691892114e-05,0.13201417077899977,0.07916924504950495,492,456,0.7425742574257426
L13.H6,101,-0.012608292079207922,0.5742574257425742,0.0,-0.023050742574257425,1,0.07449366727677903,0.007591399394141713,0.00020981012004436832,0.9752180998164341,0.6662670173267327,492,327,1.0
L22.H6,101,-0.012014861154084159,0.6336633663366337,0.0,-0.05592512376237624,1,0.047872252983622035,0.002559112892287327,1.611745003426429e-05,0.10424752891007247,0.05665996287128713,492,470,0.5841584158415841
L12.H11,101,-0.011375502784653465,0.6534653465346535,0.0,-0.04811262376237624,1,0.044807378608401456,0.002350451387545684,4.27979053837238e-05,0.22834410520634804,0.1615679146039604,492,441,0.9108910891089109
L16.H3,101,-0.011307215926670793,0.45544554455445546,0.0297029702970297,-0.06110767326732673,1,0.037752603540326106,0.00858874556966965,8.592275109621557e-05,0.4062177309439056,0.11925665222772278,492,471,0.5643564356435643
L19.H6,101,-0.010887221534653465,0.7128712871287128,0.0,-0.050742574257425746,1,0.041136439483944735,0.0029353606422422547,2.845856222775903e-05,0.2264428292425157,0.12447787747524752,492,451,0.8118811881188119
L15.H3,101,-0.010159634127475248,0.45544554455445546,0.0,-0.04826732673267327,1,0.04535713054165982,0.005127749925491972,6.72074827817407e-05,0.49142030680563326,0.25040609529702973,492,427,0.8514851485148515
L19.H3,101,-0.010044815516707922,0.43564356435643564,0.0297029702970297,-0.04911819306930693,1,0.031417885629257354,0.005014021927606093,2.0034242384504562e-05,0.12543993684120636,0.06545869430693069,492,473,0.5247524752475248
L14.H2,101,-0.009583123839727722,0.7326732673267327,0.009900990099009901,-0.04780321782178218,1,0.04028125328592735,0.001810755099874165,2.6806746378983602e-05,0.17159235664262668,0.11861850247524752,492,450,0.8415841584158416
L23.H2,101,-0.008996944616336634,0.9504950495049505,0.0,-0.039603960396039604,1,0.033823018026824046,0.00028081842952311077,1.1306588012393158e-05,0.05964896163898045,0.036722617574257425,492,477,0.8910891089108911
L13.H1,101,-0.008328579439975248,0.5445544554455446,0.009900990099009901,-0.0484220297029703,1,0.04266464710235596,0.0052168496151334875,0.00025969271612639474,2.2601593842028604,0.9588876856435643,492,214,0.9702970297029703
L18.H9,101,-0.00792369275990099,0.5544554455445545,0.0,-0.03767017326732673,1,0.033220518933664456,0.004065264456621302,1.2623201502431737e-05,0.17686631092489233,0.06623220915841584,492,463,0.6435643564356436
L15.H14,101,-0.007587092937809406,0.504950495049505,0.009900990099009901,-0.039139851485148515,1,0.02357226315111217,0.0036639387572445273,4.7375660131473356e-05,0.12726464929015374,0.04915686881188119,492,482,0.45544554455445546
L19.H11,101,-0.00690120281559406,0.5346534653465347,0.0,-0.03202351485148515,1,0.02838202986386743,0.0036829405848633054,1.126645815254438e-05,0.13494110697765763,0.05607982673267327,492,473,0.693069306930693
L21.H6,101,-0.006862527073019802,0.8712871287128713,0.0,-0.03357054455445545,1,0.02810954457462424,0.0002965224267958691,1.0187673096609588e-05,0.05558492258914661,0.03428604579207921,492,478,0.8712871287128713
L17.H8,101,-0.006215917001856436,0.5742574257425742,0.019801980198019802,-0.03449876237623763,1,0.020733614959339106,0.004029445996865893,9.836536822932781e-06,0.1311264750516331,0.05294709158415842,492,477,0.5445544554455446
L18.H13,101,-0.006008034885519802,0.5247524752475248,0.009900990099009901,-0.03032178217821782,1,0.020344386006345843,0.0030637025012747654,1.1552678476465811e-05,0.07105592802953023,0.0294322400990099,492,487,0.5148514851485149
L22.H1,101,-0.005846080213490099,0.7227722772277227,0.0,-0.027305074257425743,1,0.022498056440070125,0.0005148815993253616,2.9973464437050394e-06,0.0387785514965012,0.021581064356435642,492,478,0.7029702970297029
L23.H10,101,-0.005390431621287129,0.8514851485148515,0.0,-0.0249845297029703,1,0.020125816364099484,0.00015710648499362372,6.699916159752572e-06,0.03729176750894422,0.022741336633663366,492,482,0.900990099009901
L16.H6,101,-0.005187383972772277,0.7326732673267327,0.0,-0.027382425742574257,1,0.02266981578109288,0.0007023274185917442,1.6525830372725382e-05,0.10576664600346229,0.0804842202970297,492,460,0.8811881188118812
L19.H2,101,-0.005153542698019802,0.8118811881188119,0.0,-0.02583539603960396,1,0.021227737464527094,0.00022731184748913123,1.2165839129155224e-05,0.07538390769548059,0.05565439356435643,492,469,0.9306930693069307
L22.H9,101,-0.004764368038366337,0.8118811881188119,0.0,-0.02374690594059406,1,0.019323707807182084,0.0002168167715587902,7.264094777626566e-06,0.037370960225475806,0.022605971534653466,492,482,0.8415841584158416
L12.H15,101,-0.004699102722772277,0.6237623762376238,0.0,-0.008740717821782179,1,0.030938486061473883,0.0021354016804108673,8.69389807823861e-05,0.47668535528125955,0.3811881188118812,492,378,1.0
L17.H6,101,-0.004399365717821782,0.6732673267326733,0.0,-0.02297339108910891,1,0.019792848294324213,0.0003423804947749094,1.1418715561970627e-05,0.08137387046442875,0.0602761448019802,492,466,0.8712871287128713
