head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,dax wug mib dax wug,0.011962890625,0.015625,False,1,3.9531660079956055,3.895157814025879,-0.05800819396972656,0.0013988942373543978,0.0001850128173828125,0.06726768377253814,0.0546875,32,30,True
L0.H0,1,sax vemi loru sax vemi,0.00390625,0.0234375,False,1,3.6433143615722656,3.60441517829895,-0.03889918327331543,0.0007361185271292925,-4.76837158203125e-07,-0.003552397868561279,0.01171875,450,442,True
L0.H0,2,zup kes noro zup kes,-0.026123046875,-0.109375,False,1,4.077000141143799,4.201432228088379,0.12443208694458008,0.002600358799099922,3.3855438232421875e-05,0.05892116182572614,0.02734375,122,123,False
L0.H0,3,pax renu cadi pax renu,-0.012451171875,-0.09375,False,1,5.408154487609863,5.476415634155273,0.06826114654541016,0.0008652270771563053,3.24249267578125e-05,0.008937960042060988,-0.0234375,21,21,False
L0.H0,4,bex rami dulo bex rami,0.0087890625,0.09375,False,1,5.545853137969971,5.556199550628662,0.010346412658691406,0.0032144617289304733,1.0728836059570312e-06,0.0694980694980695,0.078125,2727,2640,True
L0.H0,5,gaf ner sipo gaf ner,-0.0169677734375,-0.109375,False,1,5.119606018066406,5.231145858764648,0.11153984069824219,0.0019315413665026426,4.172325134277344e-07,0.008695652173913044,-0.02734375,1314,1328,False
L0.H0,6,rax pilo dend rax pilo,0.00390625,0.0234375,False,1,5.881133079528809,5.848762035369873,-0.03237104415893555,0.0005754254525527358,-2.288818359375e-05,-0.010507880910683012,-0.00390625,39,41,False
L0.H0,7,lup ter bano lup ter,-0.0078125,0.0,False,1,3.524237632751465,3.560048818588257,0.03581118583679199,0.0008608250063844025,0.0013275146484375,0.04879416713404375,0.0625,3,3,False
L0.H0,8,tob lera kimwe tob lera,-0.00341796875,-0.015625,False,1,4.199409008026123,4.208846092224121,0.009437084197998047,0.0002835765480995178,-5.91278076171875e-05,-0.015562248995983935,-0.0234375,19,19,False
L0.H0,9,kig mot sula kig mot,0.0185546875,0.1015625,False,1,5.202771186828613,5.083259582519531,-0.11951160430908203,0.0014628018252551556,-4.5299530029296875e-06,-0.017592592592592594,0.01953125,370,366,True
