head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L10.H0,27,-0.14270584671585648,1.0,0.2962962962962963,-0.8909143518518519,2,0.6123693519168429,0.12702462904983097,0.017397461114106356,3.9092040550139604,1.2921006944444444,434,174,1.0
L22.H2,27,-0.040769223813657406,0.9629629629629629,0.037037037037037035,-0.2259837962962963,1,0.22725300435666684,0.011298661629013993,0.004143639847084328,0.5628571814777941,0.3361545138888889,434,322,0.8148148148148148
L15.H11,27,-0.039336027922453706,0.7407407407407407,0.037037037037037035,-0.2332175925925926,1,0.18202133531923648,0.030097536131506786,0.009980462215564869,5.290820325809329,0.8496817129629629,434,192,0.6666666666666666
L10.H9,27,-0.029936613859953703,0.8888888888888888,0.037037037037037035,-0.171875,1,0.15723649660746256,0.010031709275035947,0.0016475562696103697,0.403319413196873,0.2642505787037037,434,354,0.7777777777777778
L12.H15,27,-0.024542914496527776,0.9629629629629629,0.0,-0.1322337962962963,1,0.12777334672433358,0.006449716700309956,0.003761112689971924,0.42443560524209367,0.2625868055555556,434,397,0.8148148148148148
L15.H1,27,-0.021443684895833332,0.6666666666666666,0.037037037037037035,-0.10445601851851852,1,0.08106870121426052,0.01792578426614421,0.007451125869044551,2.1036058728990192,0.49117476851851855,434,375,0.48148148148148145
L5.H11,27,-0.018934461805555556,0.5185185185185185,0.0,-0.09172453703703703,1,0.10586360648826316,0.009900795718379042,0.0006491387331927264,0.0352027625720261,0.006438078703703704,434,453,0.25925925925925924
L16.H3,27,-0.016459147135416668,0.8148148148148148,0.037037037037037035,-0.09403935185185185,1,0.08545079054655852,0.007618237069066338,0.0042647918065388995,1.345033261258361,0.4734519675925926,434,410,0.8148148148148148
L15.H14,27,-0.016384548611111112,0.8518518518518519,0.037037037037037035,-0.07957175925925926,1,0.08656671312120226,0.004523289042818187,0.0025219210871943723,0.2859783619388416,0.189453125,434,422,0.6666666666666666
L17.H8,27,-0.014403166594328705,0.5185185185185185,0.07407407407407407,-0.12384259259259259,1,0.06918517748514812,0.017507784768154292,9.564779422901295e-05,0.6457272034457122,0.1724537037037037,434,390,0.4444444444444444
L22.H15,27,-0.01186229564525463,0.5185185185185185,0.07407407407407407,-0.09693287037037036,1,0.05090599589877658,0.01160286488259401,5.211212016918041e-05,0.2996550478557745,0.11284722222222222,434,397,0.3333333333333333
L0.H14,27,-0.0113525390625,0.4074074074074074,0.0,-0.05237268518518518,1,0.051922374301486544,0.008096245104550488,-0.00025459792878892686,0.03916429211556674,0.009910300925925927,434,425,0.4444444444444444
L11.H6,27,-0.011320891203703705,0.8148148148148148,0.0,-0.0697337962962963,1,0.07307746675279406,0.003987093999360998,0.0011256712454336662,0.2387599813510198,0.17346643518518517,434,394,0.7777777777777778
