head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L13.H13,50,-0.027899322509765626,0.84,0.38,-0.4675,2,0.1690414524078369,0.06549842294305563,0.007853189706802368,1.9522966368344283,0.86546875,132,54,0.94
L16.H4,50,-0.0120184326171875,0.82,0.16,-0.17890625,1,0.08755953788757324,0.013605359480716289,0.00170751690864563,0.44902847574912014,0.3059375,132,97,0.82
L18.H2,50,-0.01151580810546875,0.82,0.16,-0.179375,1,0.1010122013092041,0.016138916099444033,0.001911102533340454,0.6754345153728883,0.410546875,132,71,0.94
L18.H4,50,-0.00974761962890625,0.82,0.16,-0.13765625,1,0.06746246337890625,0.013935967865400016,0.0008248984813690186,0.4386420574211478,0.29328125,132,82,0.78
L14.H7,50,-0.00858154296875,0.7,0.18,-0.1209375,1,0.06504989624023437,0.016293818452395498,0.0019974863529205323,0.39518993958354215,0.2640625,132,99,0.84
L23.H6,50,-0.00748779296875,0.78,0.16,-0.110625,1,0.04427742004394531,0.008526497455313801,0.0007513666152954102,0.13330843884737417,0.098359375,132,120,0.7
L11.H1,50,-0.007353515625,0.68,0.06,-0.09578125,1,0.06339176177978516,0.010072267083451152,0.000949033498764038,0.333822266578806,0.240546875,132,91,0.78
L12.H8,50,-0.00705352783203125,0.76,0.08,-0.09703125,1,0.04037114143371582,0.004655068970751017,0.00062080979347229,0.13826807094280982,0.117265625,132,117,0.7
L22.H0,50,-0.0058251953125,0.7,0.14,-0.10171875,1,0.04530896186828613,0.00805405696388334,0.0006754529476165771,0.16295231919329037,0.1209375,132,116,0.72
L14.H5,50,-0.00406005859375,0.7,0.1,-0.05484375,1,0.028475799560546876,0.004656807414721698,0.0006196105480194092,0.12952212197610946,0.1109375,132,116,0.76
L16.H6,50,-0.00375244140625,0.72,0.12,-0.04609375,1,0.030903739929199217,0.004517925607506186,0.0005894947052001953,0.1775637059970857,0.145703125,132,108,0.78
L12.H15,50,-0.0036773681640625,0.78,0.08,-0.04640625,1,0.017829465866088866,0.0006599955915589817,0.0002341139316558838,0.04788021785143493,0.039375,132,125,0.56
L11.H6,50,-0.00341339111328125,0.64,0.14,-0.05203125,1,0.019868898391723632,0.004703325051814318,0.000704946517944336,0.18858126332027647,0.155625,132,108,0.7
L16.H0,50,-0.00332611083984375,0.78,0.1,-0.04125,1,0.02221083641052246,0.0018733873299788685,0.0004661858081817627,0.11569978710934295,0.0978125,132,120,0.7
L13.H6,50,-0.00252960205078125,0.78,0.08,-0.0346875,1,0.012560396194458008,0.000500872430857271,0.00015329599380493165,0.03362580102867966,0.02765625,132,127,0.6
L13.H0,50,-0.0023553466796875,0.6,0.06,-0.02046875,1,0.014820413589477539,0.002651754823164083,0.00022047638893127442,0.10091327554157824,0.077109375,132,111,0.62
L14.H0,50,-0.00222503662109375,0.58,0.02,-0.0346875,1,0.010329055786132812,0.0011770917412650306,0.00040661454200744627,0.07654605201591515,0.051953125,132,123,0.38
L22.H3,50,-0.002198486328125,0.66,0.04,-0.02875,1,0.016465492248535156,0.0012793214921839535,0.000262218713760376,0.0552402336036983,0.0490625,132,124,0.6
L23.H13,50,-0.00216827392578125,0.72,0.04,-0.0246875,1,0.011846685409545898,0.000981120321666822,0.00021865248680114747,0.03319805994953279,0.027734375,132,128,0.54
L12.H9,50,-0.00207672119140625,0.6,0.04,-0.02015625,1,0.01926852226257324,0.002795180277898908,0.00019081354141235353,0.057416402884436134,0.047890625,132,124,0.52
L13.H2,50,-0.00199981689453125,0.72,0.1,-0.02296875,1,0.010686607360839843,0.0012896268465556204,3.608822822570801e-05,0.018559778153928133,0.0134375,132,127,0.38
L13.H15,50,-0.00196380615234375,0.76,0.02,-0.02578125,1,0.0113653564453125,0.0005286759106093086,0.00016380786895751952,0.055225669522381005,0.04625,132,117,0.56
L23.H2,50,-0.00193695068359375,0.6,0.02,-0.03125,1,0.012617883682250976,0.001648734548361972,0.00030565619468688967,0.07490554885910301,0.063515625,132,122,0.7
L20.H13,50,-0.001925048828125,0.68,0.02,-0.02390625,1,0.01231555938720703,0.0007387497724266722,3.4053325653076175e-05,0.02815085857103651,0.0209375,132,124,0.4
L21.H14,50,-0.00189300537109375,0.58,0.04,-0.02578125,1,0.015291118621826172,0.00142216386157088,9.823918342590332e-05,0.06717370958435978,0.0571875,132,115,0.66
L13.H8,50,-0.001890869140625,0.62,0.06,-0.0215625,1,0.015044517517089843,0.0012493144045583903,0.00012949347496032715,0.04401557020080496,0.038828125,132,126,0.58
L11.H11,50,-0.001866455078125,0.58,0.04,-0.0121875,1,0.01118086814880371,0.0021911754133179784,0.00028931617736816407,0.05488496711685306,0.052265625,132,127,0.56
L18.H0,50,-0.0017413330078125,0.54,0.08,-0.021875,1,0.008850383758544921,0.0012955793595756404,0.00023670434951782225,0.031269920076186494,0.0234375,132,132,0.4
