head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L16.H4,50,-0.01162872314453125,0.72,0.12,-0.163125,1,0.09247748374938965,0.016175964511930943,0.0019102799892425537,0.7880998977085875,0.475078125,183,115,0.88
L18.H2,50,-0.008616943359375,0.8,0.08,-0.12,1,0.09222557067871094,0.01606962856836617,0.0017440688610076904,0.7408221288104067,0.4609375,183,113,0.84
L18.H4,50,-0.0076580810546875,0.76,0.1,-0.12859375,1,0.06633682250976562,0.015031812009401619,0.0022205853462219237,0.6233622524543633,0.395625,183,122,0.9
L13.H13,50,-0.007158203125,0.6,0.12,-0.10171875,1,0.07096178054809571,0.022289686067961157,0.002234785556793213,0.8483094906916038,0.511328125,183,115,0.86
L12.H8,50,-0.00709259033203125,0.74,0.04,-0.0740625,1,0.05147197723388672,0.007348824322689324,0.0011661040782928467,0.2381334522915529,0.2053125,183,152,0.84
L11.H1,50,-0.0063775634765625,0.68,0.1,-0.0709375,1,0.059728326797485354,0.01309548997785896,0.0011618256568908692,0.4774396398020133,0.350546875,183,132,0.9
L22.H0,50,-0.006065673828125,0.7,0.04,-0.0940625,1,0.05164837837219238,0.008465701700188219,0.0007423484325408936,0.17348937482904886,0.13171875,183,163,0.76
L14.H5,50,-0.00484344482421875,0.62,0.04,-0.05984375,1,0.04329870223999024,0.008428233978338539,0.0009664952754974365,0.2806738070628573,0.218515625,183,146,0.8
L23.H6,50,-0.0047705078125,0.66,0.16,-0.08859375,1,0.03414854049682617,0.008161996526177972,0.0008148646354675293,0.13218325729715397,0.100390625,183,168,0.74
L16.H0,50,-0.00441680908203125,0.66,0.04,-0.029375,1,0.03327255249023438,0.003810392729355954,0.0004558479785919189,0.20235318042984032,0.162265625,183,156,0.72
L23.H9,50,-0.00333343505859375,0.7,0.02,-0.0378125,1,0.017323579788208008,0.0018855134816840292,0.0002847015857696533,0.0805895811325292,0.06984375,183,168,0.7
L14.H7,50,-0.00327423095703125,0.66,0.16,-0.0671875,1,0.03440302848815918,0.011568468721816317,0.0006187474727630616,0.3559506149798238,0.25265625,183,137,0.76
L16.H1,50,-0.0027984619140625,0.62,0.08,-0.02453125,1,0.023023290634155272,0.0034970657847588882,0.0005463123321533203,0.1928927957585889,0.156171875,183,158,0.8
L23.H2,50,-0.0027117919921875,0.62,0.04,-0.04015625,1,0.020037441253662108,0.0019296969857532532,0.00035377860069274903,0.10091901722601028,0.08515625,183,163,0.66
L21.H10,50,-0.002513427734375,0.78,0.06,-0.028125,1,0.017200422286987305,0.0009269208257319405,0.0002749931812286377,0.06333398823801,0.058359375,183,173,0.74
L13.H6,50,-0.00244384765625,0.64,0.04,-0.03265625,1,0.013119831085205078,0.0008607305146870203,3.373146057128906e-05,0.03853332639674642,0.033515625,183,177,0.66
L23.H10,50,-0.00217559814453125,0.54,0.02,-0.02671875,1,0.011912870407104491,0.0008707175008021295,0.00015517830848693848,0.056623573247192215,0.05015625,183,174,0.6
L22.H3,50,-0.00213134765625,0.7,0.08,-0.02734375,1,0.018395824432373045,0.001173993687843904,0.0003430819511413574,0.07162179801748111,0.0634375,183,174,0.66
L11.H6,50,-0.00205718994140625,0.52,0.04,-0.011875,1,0.007906999588012695,0.005506979643832892,0.0006249213218688965,0.25839945639044953,0.213203125,183,148,0.82
L13.H15,50,-0.0020281982421875,0.64,0.04,-0.0275,1,0.01471125602722168,0.0011764655534352642,0.0002088618278503418,0.06855163739606242,0.060390625,183,171,0.76
L15.H5,50,-0.0019500732421875,0.64,0.04,-0.0234375,1,0.018771772384643556,0.0017468611104413867,0.0004305744171142578,0.09475423538474927,0.084609375,183,168,0.78
L23.H15,50,-0.00191192626953125,0.62,0.04,-0.02359375,1,0.01178884506225586,0.0013564533466706053,0.00020827174186706542,0.051382172733632894,0.0434375,183,174,0.6
L22.H2,50,-0.0018646240234375,0.64,0.02,-0.02390625,1,0.01440171241760254,0.0016032835550140589,0.00023932695388793944,0.05715640797592526,0.050234375,183,174,0.66
L16.H6,50,-0.0018450927734375,0.66,0.02,-0.02265625,1,0.022674751281738282,0.004428370273672044,0.0005966103076934814,0.2202662466554459,0.18859375,183,147,0.8
L12.H15,50,-0.00171539306640625,0.58,0.04,-0.02203125,1,0.009603681564331055,0.0003824553308368195,4.8204660415649415e-05,0.026458347866489075,0.022421875,183,178,0.62
L21.H14,50,-0.00165771484375,0.62,0.06,-0.01953125,1,0.014624767303466797,0.0013744541350752114,0.00023568391799926757,0.06519751447597347,0.060234375,183,172,0.74
L13.H8,50,-0.00161865234375,0.68,0.06,-0.01984375,1,0.013983421325683594,0.0013832170737441629,0.0003858482837677002,0.07253281347145321,0.062109375,183,172,0.78
L23.H14,50,-0.001468505859375,0.66,0.08,-0.01671875,1,0.009473752975463868,0.0014093590516131372,0.0003098893165588379,0.03636647404440903,0.029140625,183,177,0.62
L15.H9,50,-0.001376953125,0.52,0.06,-0.014375,1,0.007274255752563476,0.00048122896463610233,0.00010478973388671875,0.034090680541888164,0.02265625,183,182,0.36
L18.H8,50,-0.00136505126953125,0.64,0.08,-0.024375,1,0.009975528717041016,0.0008476432497991482,0.00015181303024291992,0.0921610691231961,0.07078125,183,159,0.58
L14.H15,50,-0.00135528564453125,0.58,0.04,-0.01171875,1,0.00910045623779297,0.002564691274892539,0.0004341733455657959,0.055722148969666076,0.050703125,183,174,0.56
L23.H0,50,-0.0013189697265625,0.58,0.04,-0.01125,1,0.008596210479736329,0.0008696590701583773,7.719397544860839e-05,0.026280441439845096,0.022109375,183,179,0.58
L10.H14,50,-0.0012725830078125,0.44,0.04,-0.010625,1,0.0053727817535400395,0.0010717995138838888,0.0001703166961669922,0.017219339993844375,0.014765625,183,180,0.5
L13.H0,50,-0.00127044677734375,0.56,0.04,-0.0140625,1,0.012097644805908202,0.003358271443285048,0.00017908215522766113,0.11655795254348705,0.1040625,183,162,0.64
L19.H1,50,-0.00124176025390625,0.58,0.02,-0.01625,1,0.01166759490966797,0.0007505701872287319,0.00027249574661254884,0.0655863342135129,0.058359375,183,171,0.72
L12.H1,50,-0.00120574951171875,0.5,0.02,-0.0009375,1,0.009910936355590821,0.0025163099367637187,0.0003167927265167236,0.03179033628921343,0.026875,183,179,0.64
L23.H5,50,-0.00119659423828125,0.66,0.04,-0.01359375,1,0.003981094360351562,0.0008025775972055272,5.411744117736817e-05,0.021697233531697467,0.02125,183,180,0.48
L15.H11,50,-0.00110443115234375,0.6,0.04,-0.01109375,1,0.006818752288818359,0.00032591831104582524,0.00013083815574645996,0.02638189888730507,0.021640625,183,180,0.52
