head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,35,-0.06641104561941964,0.9428571428571428,0.42857142857142855,-0.5301339285714286,2,0.21750683784484864,0.13887816342924322,0.009251184122903006,10.869487885633111,1.822377232142857,454,106,1.0
L14.H5,35,-0.048148454938616074,0.7714285714285715,0.3142857142857143,-0.3919642857142857,2,0.12610301290239606,0.15304924047419002,0.005073136942727225,8.382211847842841,1.5752790178571427,454,139,0.9714285714285714
L14.H7,35,-0.029183523995535716,0.6,0.2857142857142857,-0.2734375,2,0.12260438374110631,0.11387894632560866,0.004828204427446638,15.924040192179197,1.5823102678571428,454,101,0.9428571428571428
L16.H15,35,-0.025142996651785713,0.6857142857142857,0.17142857142857143,-0.19174107142857144,1,0.10766960552760534,0.03355451234217201,0.002608672210148403,1.245768283440876,0.6560825892857143,454,307,0.9428571428571428
L11.H1,35,-0.018368094308035713,0.8,0.14285714285714285,-0.14285714285714285,1,0.06827401433672224,0.016852791820253645,0.0005179694720676967,0.43045414912649343,0.2935825892857143,454,380,0.8571428571428571
L23.H13,35,-0.016317313058035715,0.8571428571428571,0.08571428571428572,-0.09933035714285714,1,0.05927683966500419,0.005366828580320414,0.0002828308514186314,0.23200482935038477,0.17717633928571427,454,394,0.9428571428571428
L18.H8,35,-0.013507952008928572,0.7428571428571429,0.0,-0.07098214285714285,1,0.049680989129202706,0.013726815800016215,0.0005653790065220424,1.613313936355855,0.3150111607142857,454,353,0.7428571428571429
L13.H8,35,-0.010185895647321428,0.6,0.11428571428571428,-0.08258928571428571,1,0.048420436041695734,0.013496205576562456,0.0002447707312447684,0.16783318944163028,0.11702008928571428,454,424,0.7714285714285715
L19.H2,35,-0.010164969308035714,0.6857142857142857,0.17142857142857143,-0.07433035714285714,1,0.026417030606951032,0.010318886748115931,0.001181624616895403,0.6567703669479305,0.45217633928571427,454,327,0.9428571428571428
L22.H2,35,-0.010001046316964286,0.8571428571428571,0.05714285714285714,-0.06763392857142857,1,0.04285749707903181,0.003912867656410007,0.00015431131635393414,0.22256785298693665,0.159375,454,387,0.8
L15.H10,35,-0.0087646484375,0.6,0.08571428571428572,-0.06004464285714286,1,0.046978718893868586,0.009213877768654908,-0.0003324917384556362,-0.20871562344235017,-0.2926060267857143,454,583,0.02857142857142857
L15.H6,35,-0.00821533203125,0.6,0.05714285714285714,-0.04933035714285714,1,0.04835626057216099,0.0239819981689964,0.00130364043372018,0.7783837829104541,0.4889508928571429,454,331,0.9142857142857143
L11.H3,35,-0.007502092633928571,0.6285714285714286,0.14285714285714285,-0.038839285714285715,1,0.010849932261875698,0.01585060310150896,0.0005440184048243931,0.20898301584167406,0.1468470982142857,454,431,0.7142857142857143
L23.H9,35,-0.007275390625,0.6571428571428571,0.05714285714285714,-0.03705357142857143,1,0.018460416793823244,0.0036449706547760537,0.00031609364918300085,0.151297713756886,0.1334263392857143,454,414,0.8857142857142857
L13.H13,35,-0.006741768973214286,0.4857142857142857,0.11428571428571428,-0.020535714285714286,1,0.0013324192592075893,0.01974633974688394,0.0005163243838718959,0.4323649183990239,0.33816964285714285,454,351,0.8571428571428571
L21.H10,35,-0.006181989397321429,0.7714285714285715,0.05714285714285714,-0.030357142857142857,1,0.026053694316319057,0.0014562704924693597,0.0002138444355555943,0.15592871076658532,0.12862723214285715,454,399,0.8857142857142857
L8.H7,35,-0.00511474609375,0.5428571428571428,0.08571428571428572,-0.03549107142857143,1,0.018129982267107284,0.01251530399146889,0.0002995729446411133,0.14146485249667953,0.10719866071428572,454,425,0.6857142857142857
L20.H10,35,-0.004936872209821429,0.7428571428571429,0.0,-0.02857142857142857,1,0.018203060967581612,0.0012760570663626174,0.00010494504656110491,0.05208978420269241,0.041629464285714284,454,444,0.6
L13.H6,35,-0.0048583984375,0.6571428571428571,0.02857142857142857,-0.030580357142857142,1,0.014295932224818638,0.0016231800315186515,6.98089599609375e-05,0.054186433401008496,0.041629464285714284,454,441,0.5428571428571428
L18.H9,35,-0.0044712611607142854,0.5142857142857142,0.02857142857142857,-0.02299107142857143,1,0.012601613998413086,0.001264115223810742,4.5197350638253344e-06,0.01703800553669249,0.008928571428571428,454,447,0.45714285714285713
L17.H4,35,-0.003925432477678572,0.4857142857142857,0.05714285714285714,-0.013839285714285714,1,0.00433934075491769,0.0015718154376372696,-8.10793467930385e-05,-0.02788486939857818,-0.027845982142857145,454,461,0.11428571428571428
L15.H12,35,-0.0036185128348214285,0.6,0.0,-0.03080357142857143,1,0.01942253793988909,0.004476985491679183,-0.00017578601837158202,-0.11454568077018636,-0.14188058035714285,454,501,0.02857142857142857
L18.H3,35,-0.00323486328125,0.4857142857142857,0.02857142857142857,-0.007366071428571428,1,0.009392860957554408,0.003219788972221847,-4.280635288783482e-05,-0.05575105520913185,-0.06358816964285714,454,479,0.2
L23.H10,35,-0.0031982421875,0.7714285714285715,0.02857142857142857,-0.019419642857142858,1,0.009701497214181082,0.0007234895144522722,0.00010184390204293387,0.04616026342327757,0.04330357142857143,454,440,0.7428571428571429
L13.H1,35,-0.0030517578125,0.6,0.05714285714285714,-0.014732142857142857,1,0.0017171314784458706,0.010601596221593873,0.0007640344755990165,0.673660803887481,0.44324776785714287,454,310,0.8
L5.H14,35,-0.003050013950892857,0.5714285714285714,0.05714285714285714,-0.017857142857142856,1,0.01367096219744001,0.003361232833205057,3.4839766366141184e-05,0.030593755388110325,0.019252232142857144,454,451,0.4857142857142857
L9.H0,35,-0.002894810267857143,0.6857142857142857,0.02857142857142857,-0.028348214285714286,1,0.017620686122349332,0.0019243519703325417,-2.6304381234305244e-05,0.014469018415115989,0.003683035714285714,454,445,0.45714285714285713
