head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,50,-0.06015045166015625,0.76,0.28,-0.40265625,2,0.17170871734619142,0.13756027549505234,0.017000540494918823,3.6946430694698416,1.006484375,168,67,0.88
L14.H7,50,-0.0432733154296875,0.6,0.26,-0.3371875,2,0.14468576908111572,0.147124744951725,0.014137196540832519,5.2699994771637515,1.361875,168,46,0.92
L14.H5,50,-0.030032958984375,0.66,0.24,-0.23046875,1,0.12959885597229004,0.06324196733534336,0.008225321769714355,2.5177583018714307,0.8901953125,168,80,0.94
L11.H1,50,-0.0223016357421875,0.86,0.14,-0.1609375,1,0.08986083984375,0.01580791499465704,0.0026557564735412596,0.34895340364342403,0.2287890625,168,149,0.82
L16.H2,50,-0.0199102783203125,0.8,0.1,-0.12828125,1,0.06538010120391846,0.025396425732178613,0.004220205545425415,0.6683750742047704,0.412265625,168,126,0.86
L15.H6,50,-0.013719482421875,0.58,0.14,-0.0665625,1,0.04264186859130859,0.029568255664780736,0.0037528038024902343,0.8121236772583752,0.48546875,168,111,0.86
L13.H13,50,-0.01203369140625,0.64,0.16,-0.0740625,1,0.037682273387908936,0.018651200940948912,0.0033318865299224853,0.6303603204004498,0.3464453125,168,134,0.74
L19.H2,50,-0.007696533203125,0.64,0.02,-0.04984375,1,0.03154480934143066,0.005855210155714303,0.0013776552677154542,0.3086317600086247,0.230625,168,140,0.76
L23.H13,50,-0.007169189453125,0.64,0.08,-0.05546875,1,0.035843853950500486,0.00543495737016201,0.0015293741226196289,0.20733254591871259,0.1640625,168,143,0.76
L20.H14,50,-0.0064892578125,0.66,0.0,-0.03875,1,0.017865641117095946,0.0018642051199276467,0.0007612276077270508,0.06533512054515857,0.0537109375,168,165,0.46
L10.H10,50,-0.006202392578125,0.6,0.04,-0.04,1,0.018195509910583496,0.003972379480255767,0.0007754123210906983,0.06055323392920729,0.0467578125,168,173,0.48
L18.H8,50,-0.005882568359375,0.5,0.08,-0.05015625,1,0.020909323692321777,0.009380094298685436,0.0003506278991699219,1.904258513244099,0.193984375,168,97,0.58
L16.H12,50,-0.004912109375,0.64,0.08,-0.0303125,1,0.007676393985748291,0.0037168842868413776,-0.0005776846408843994,-0.06795874077058205,-0.0814453125,168,176,0.14
L13.H6,50,-0.004656982421875,0.72,0.04,-0.0234375,1,0.013347713947296143,0.0016662269044900313,0.0002518773078918457,0.033841537924662025,0.0255859375,168,165,0.52
L23.H9,50,-0.00459716796875,0.62,0.0,-0.0209375,1,0.018237395286560057,0.0031146637711208314,0.0007447302341461182,0.11078082346854401,0.095,168,155,0.64
L13.H5,50,-0.004283447265625,0.62,0.12,-0.04015625,1,0.005590965747833252,0.01974978681653738,0.0002725887298583984,0.13949846114790046,0.1084375,168,153,0.6
L16.H6,50,-0.003909912109375,0.52,0.06,-0.01609375,1,0.020662126541137697,0.011279245102778078,0.0020653104782104494,0.3884503148447526,0.3121484375,168,122,0.8
L7.H8,50,-0.003861083984375,0.64,0.08,-0.0178125,1,0.0009612035751342773,0.0027930711477529256,-2.4970769882202148e-05,-0.0028110131659264243,-0.004296875,168,170,0.3
L22.H2,50,-0.00375244140625,0.66,0.02,-0.0290625,1,0.018221895694732666,0.0023044766252860427,0.0007319676876068115,0.14977173513429937,0.119609375,168,154,0.64
L13.H1,50,-0.003692626953125,0.56,0.08,-0.013125,1,0.011875779628753661,0.007384266350418329,0.001156233549118042,0.23149036054899808,0.1892578125,168,139,0.66
L20.H4,50,-0.003509521484375,0.56,0.06,-0.02140625,1,0.00659146785736084,0.00759332230547443,-0.00046486616134643554,-0.05352317936010542,-0.064375,168,178,0.22
L17.H0,50,-0.00330078125,0.72,0.0,-0.01328125,1,0.005512158870697021,0.0013908457651268691,2.9445886611938475e-05,0.01646230588577263,0.0151171875,168,166,0.3
L18.H3,50,-0.0032958984375,0.58,0.08,-0.0221875,1,0.0077107810974121095,0.005535598682472482,0.0003469991683959961,-0.009652169688494815,-0.0219921875,168,176,0.28
L14.H1,50,-0.00310791015625,0.66,0.04,-0.015625,1,0.009994523525238037,0.0007035336942499271,0.00017087459564208985,0.01752029013575047,0.0127734375,168,168,0.3
L15.H13,50,-0.003106689453125,0.58,0.04,-0.0259375,1,0.006863024234771729,0.004155835908895824,0.0011297833919525146,0.14659697921864734,0.117265625,168,156,0.64
L9.H15,50,-0.00287109375,0.56,0.02,-0.0221875,1,0.014093780517578125,0.001892353546572849,0.0004015958309173584,0.033546625255237446,0.0207421875,168,168,0.4
L18.H2,50,-0.002762451171875,0.56,0.02,-0.01234375,1,0.00421856164932251,0.001614051797077991,0.0003632760047912598,0.054412781026087896,0.052578125,168,159,0.62
L21.H10,50,-0.00267822265625,0.62,0.0,-0.016875,1,0.013030242919921876,0.0008788760997413192,0.0003516805171966553,0.07404006515379655,0.063984375,168,157,0.6
