head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L16.H15,70,-0.020878383091517856,0.6857142857142857,0.11428571428571428,-0.2125,1,0.17404109409877233,0.04203495541545895,0.002890866994857788,6.960088201775652,1.020518275669643,1388,818,0.9142857142857143
L14.H5,70,-0.017195565359933034,0.7285714285714285,0.15714285714285714,-0.1864955357142857,1,0.16948484012058804,0.05475226767760302,0.003286381278719221,3.492799170072998,1.0688406808035715,1388,792,0.9571428571428572
L16.H1,70,-0.016453116280691963,0.7714285714285715,0.12857142857142856,-0.15602678571428572,1,0.12703052248273577,0.02138156902510673,0.0017630985804966519,2.4111769261956786,0.7320486886160714,1388,952,0.9428571428571428
L21.H10,70,-0.0136322021484375,0.8285714285714286,0.08571428571428572,-0.12243303571428571,1,0.10923536845615932,0.004949971358291805,0.0007591920239584787,0.5056272701049563,0.3385855538504464,1388,1146,0.9571428571428572
L23.H9,70,-0.013061305454799107,0.8714285714285714,0.08571428571428572,-0.14397321428571427,1,0.12058351039886475,0.006357627511689706,0.0004919861044202532,0.3274626654077276,0.21378348214285714,1388,1229,0.9285714285714286
L9.H7,70,-0.012526593889508929,0.6428571428571429,0.1,-0.10022321428571429,1,0.07513038430895125,0.03973503891777779,-2.950429916381836e-05,0.7062214769719647,0.23575613839285714,1388,1029,0.6142857142857143
L18.H8,70,-0.010809762137276786,0.6857142857142857,0.14285714285714285,-0.11975446428571429,1,0.09392545904432024,0.014712363602302502,0.0010304152965545654,1.8705732886826643,0.6397391183035714,1388,1030,0.8428571428571429
L15.H13,70,-0.00723876953125,0.5285714285714286,0.04285714285714286,-0.05479910714285714,1,0.05452775274004255,0.010743056588242844,0.0006417759827205113,1.5203272494904199,0.225146484375,1388,1151,0.6571428571428571
L14.H8,70,-0.007102748325892857,0.5714285714285714,0.05714285714285714,-0.06473214285714286,1,0.0691889830998012,0.021484331507235766,0.00016568643706185477,0.40753778577190075,0.22137276785714285,1388,1148,0.6571428571428571
L12.H8,70,-0.006106131417410714,0.6857142857142857,0.02857142857142857,-0.06316964285714285,1,0.06063221863337925,0.0057226627907117035,0.00020451460565839495,0.18240597706889744,0.12682407924107142,1388,1280,0.8142857142857143
L14.H4,70,-0.0058412824358258925,0.6857142857142857,0.04285714285714286,-0.05524553571428571,1,0.05008132457733154,0.007725203651768555,0.0003548400742667062,0.43614111840934633,0.3004695347377232,1388,1184,0.8428571428571429
L23.H10,70,-0.005519539969308036,0.7714285714285715,0.04285714285714286,-0.05502232142857143,1,0.04979721137455532,0.0013000784354517236,0.00013825297355651855,0.11215469089260857,0.08071463448660714,1388,1318,0.9
L23.H13,70,-0.005275181361607143,0.7857142857142857,0.014285714285714285,-0.04441964285714286,1,0.044268652370997835,0.0016356853780702554,8.304885455540248e-05,0.08650542144492213,0.06407121930803572,1388,1318,0.7857142857142857
L11.H1,70,-0.0052538190569196425,0.7142857142857143,0.014285714285714285,-0.047544642857142855,1,0.04122867243630546,0.0025828185956925155,0.00027949724878583636,0.16710056722967725,0.13272879464285714,1388,1284,0.8571428571428571
L18.H15,70,-0.004697309221540179,0.5428571428571428,0.014285714285714285,-0.02466517857142857,1,0.030687362807137627,0.0026590901218047033,6.719061306544712e-05,0.2152878288573524,0.09735804966517857,1388,1339,0.6714285714285714
L20.H10,70,-0.004357474190848214,0.6571428571428571,0.014285714285714285,-0.032589285714285716,1,0.028415506226675852,0.0013190523349164453,0.00011042697089059012,0.15652923556328752,0.09628557477678572,1388,1300,0.6714285714285714
L23.H5,70,-0.004078238351004464,0.5857142857142857,0.04285714285714286,-0.028125,1,0.02244504179273333,0.0012081732423601871,8.711474282400949e-05,0.0697542956523814,0.056900460379464286,1388,1313,0.7285714285714285
L16.H6,70,-0.003498622349330357,0.5857142857142857,0.05714285714285714,-0.054464285714285715,1,0.0640544925417219,0.017545329466728227,0.001023029429571969,1.2654127312649126,0.6963099888392857,1388,893,0.9571428571428572
L16.H5,70,-0.0030249459402901784,0.6714285714285714,0.04285714285714286,-0.027901785714285716,1,0.022742564337594168,0.0027473238702181596,0.0002834234918866839,0.21328460813013553,0.14320765904017857,1388,1322,0.7428571428571429
L12.H9,70,-0.002719334193638393,0.6142857142857143,0.07142857142857142,-0.03939732142857143,1,0.030121517181396485,0.004992589585682643,0.0003162460667746408,0.2700900007764077,0.206103515625,1388,1239,0.9142857142857143
L13.H6,70,-0.002534266880580357,0.6428571428571429,0.014285714285714285,-0.02109375,1,0.013804091726030622,0.00048216579920595646,3.653849874223982e-05,0.043612621153329346,0.03484235491071429,1388,1357,0.6857142857142857
L15.H6,70,-0.0024712698800223214,0.5142857142857142,0.05714285714285714,-0.03404017857142857,1,0.04101137093135289,0.01809201545547694,0.000944317238671439,0.871692601118849,0.5413885934012277,1388,1001,0.8857142857142857
L22.H6,70,-0.0024496895926339286,0.6,0.0,-0.01685267857142857,1,0.01489131110055106,0.00034744777424618536,6.066901343209403e-05,0.038053421775731476,0.027413504464285716,1388,1352,0.5571428571428572
L8.H7,70,-0.002435738699776786,0.5857142857142857,0.04285714285714286,-0.029910714285714287,1,0.030325262887137275,0.0036899590440693177,0.0001624899251120431,0.14407441397465215,0.11341029575892857,1388,1314,0.8142857142857143
L19.H2,70,-0.002391270228794643,0.6857142857142857,0.0,-0.026785714285714284,1,0.03125957761492048,0.0016214244863866562,0.000264749356678554,0.28859947372044353,0.22606724330357142,1388,1192,0.9
