head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L23.H9,19,-0.038914730674342105,0.8421052631578947,0.05263157894736842,-0.35855263157894735,1,0.11515791165201288,0.019186900168853372,0.0005741056643034282,9412.664290849054,0.6077302631578947,1889,1485,0.8947368421052632
L14.H2,19,-0.014899002878289474,0.6842105263157895,0.0,-0.109375,1,0.05294533897387354,0.0073865898103624775,0.0001094968695389597,3137.341851678422,0.11585115131578948,1889,1698,0.6842105263157895
L11.H1,19,-0.01152600740131579,0.6842105263157895,0.0,-0.0727796052631579,1,0.044768377354270535,0.004311150934786144,0.0001944554479498612,0.22002397570685517,0.12232730263157894,1889,1798,0.8421052631578947
L16.H6,19,-0.010189658717105263,0.47368421052631576,0.05263157894736842,-0.033717105263157895,1,0.008449721101083253,0.014979217906090381,0.0011769062594363564,6275.367434405661,0.7344263980263158,1889,1348,0.8947368421052632
L6.H11,19,-0.010112561677631578,0.631578947368421,0.0,-0.0546875,1,0.029534136386294114,0.002846186186759855,-2.2681135880319697e-06,3137.188961702467,0.02333470394736842,1889,1808,0.631578947368421
L15.H12,19,-0.009778474506578948,0.7368421052631579,0.0,-0.08018092105263158,1,0.044230332500056216,0.007707314752655006,-0.00043133685463353207,-0.16743194971131525,-0.40409128289473684,1889,2064,0.21052631578947367
L12.H8,19,-0.009752775493421052,0.7368421052631579,0.0,-0.03782894736842105,1,0.008616071390478234,0.005550700646141961,0.00038216929686696907,0.38762999889375677,0.20566920230263158,1889,1689,0.8421052631578947
L9.H7,19,-0.009238795230263159,0.631578947368421,0.0,-0.1015625,1,0.07111741720061553,0.012100402244342197,0.0002585618119490774,3137.784277015666,0.35009765625,1889,1644,0.7368421052631579
L14.H7,19,-0.008904708059210526,0.47368421052631576,0.0,-0.036595394736842105,1,0.02205607334249898,0.008690331805969197,0.0002943496955068488,6274.73318140127,0.3325452302631579,1889,1449,0.8421052631578947
L12.H12,19,-0.008262232730263159,0.6842105263157895,0.0,-0.06373355263157894,1,0.032439002080967554,0.001881382042100947,2.1332188656455592e-05,0.151228679818505,0.08131167763157894,1889,1871,0.6842105263157895
L17.H4,19,-0.007786800986842105,0.631578947368421,0.0,-0.03248355263157895,1,0.018892619954912288,0.0019138221579946969,-7.070993122301604e-06,-0.03410917843088634,-0.08416426809210527,1889,1920,0.3157894736842105
L23.H2,19,-0.007259971217105263,0.6842105263157895,0.0,-0.04111842105263158,1,0.02303317777420345,0.0007147883474030287,0.00017929390857094213,0.07824792633054951,0.052708675986842105,1889,1892,0.47368421052631576
L1.H5,19,-0.007214997944078948,0.631578947368421,0.0,-0.06825657894736842,1,0.019877741603474868,0.0041430703537403855,7.871577614232113e-05,0.17327494711900665,0.0615234375,1889,1862,0.5263157894736842
L23.H10,19,-0.007182874177631579,0.7368421052631579,0.0,-0.08100328947368421,1,0.022864711519918944,0.002114053227399525,6.480907139025236e-05,0.2705849124479782,0.12646484375,1889,1792,0.7368421052631579
