head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L10.H7,29,-0.07646652747844827,0.7586206896551724,0.10344827586206896,-0.6004849137931034,1,0.3101127864471797,0.11873133511609671,1.0424646837957974e-05,6167.915653230157,0.2624595905172414,1745,1702,0.6206896551724138
L22.H2,29,-0.05235395760371767,0.7586206896551724,0.10344827586206896,-0.6322737068965517,1,0.26269389252210484,0.05481811454178412,0.0003152695195428256,22612.9009177947,0.9898765827047413,1745,1198,0.7931034482758621
L17.H4,29,-0.046502475080818964,0.7931034482758621,0.13793103448275862,-0.43103448275862066,1,0.18731776406538897,0.05573380598572589,-1.1437925799139615e-05,2056.06431382082,-0.017767544450431036,1745,1746,0.4827586206896552
L14.H7,29,-0.0460394497575431,0.6896551724137931,0.10344827586206896,-0.4391163793103448,1,0.25497408018543805,0.05693218636563337,0.00022252263693973935,8223.356068210898,0.3843489022090517,1745,1633,0.6551724137931034
L18.H9,29,-0.0408440951643319,0.7586206896551724,0.06896551724137931,-0.33970905172413796,1,0.19273770138107496,0.04682477064263116,-7.663307518794618e-05,4111.420106541642,0.1268815665409483,1745,1544,0.4827586206896552
L13.H13,29,-0.037893361058728446,0.7586206896551724,0.06896551724137931,-0.37957974137931033,1,0.16135548800230026,0.07346475840438807,4.510632876692147e-05,2058.792621073397,0.18614038927801724,1745,1704,0.5862068965517241
L19.H7,29,-0.0356866244612069,0.6206896551724138,0.034482758620689655,-0.28663793103448276,1,0.16718533725060267,0.04576105311219902,2.9699555758772227e-06,2055.833681995159,0.04841666386045258,1745,1517,0.5862068965517241
L19.H0,29,-0.03473321322737069,0.6896551724137931,0.034482758620689655,-0.2114762931034483,1,0.14489511284848738,0.03875217014263336,-3.118967187815699e-05,2055.6030807848138,0.03231022275727371,1745,1731,0.4482758620689655
L14.H5,29,-0.029709388469827586,0.6551724137931034,0.034482758620689655,-0.29229525862068967,1,0.1944252591708611,0.0698435364611214,0.00021989592190446524,6167.380991345864,0.4846401872306034,1745,1760,0.5172413793103449
L11.H3,29,-0.02792779330549569,0.6551724137931034,0.034482758620689655,-0.2044719827586207,1,0.1399092960717349,0.025604187302162934,-6.569459520537278e-05,0.17792030377693321,0.0430487271012931,1745,1700,0.6551724137931034
L20.H8,29,-0.02081298828125,0.5172413793103449,0.034482758620689655,-0.15436422413793102,1,0.08495649194409108,0.021323975467410116,4.2134317858465785e-05,4110.82680359332,-0.018405256600215518,1745,1582,0.4827586206896552
L14.H12,29,-0.01929973733836207,0.4482758620689655,0.034482758620689655,-0.23895474137931033,1,0.11493462182838342,0.052407829475825944,0.0015359233165609426,2056.501512888087,0.0797497979525862,1745,1789,0.4827586206896552
L5.H3,29,-0.018874332822602372,0.4482758620689655,0.06896551724137931,-0.21390086206896552,1,0.11872059607814098,0.05252109418105302,-1.5982266130118533e-05,2055.608284743846,0.05054131869612069,1745,1744,0.5862068965517241
L19.H12,29,-0.01862308896821121,0.5862068965517241,0.034482758620689655,-0.11260775862068965,1,0.06962248079221824,0.022158736962661227,-2.5412132000101025e-05,4110.700672220907,-0.013779212688577586,1745,1603,0.4482758620689655
L11.H9,29,-0.017445531384698277,0.7586206896551724,0.034482758620689655,-0.10371767241379311,1,0.0922177576556288,0.030092985431737957,9.270988661667397e-05,2055.6631504822194,0.16378678946659483,1745,1597,0.6551724137931034
L20.H4,29,-0.017392914870689655,0.5862068965517241,0.06896551724137931,-0.05495689655172414,1,0.055660542614501096,0.01992862382958892,1.1078242597908808e-06,2055.274990890198,-0.1243951731714709,1745,1760,0.41379310344827586
L18.H1,29,-0.01713404162176724,0.7241379310344828,0.034482758620689655,-0.17591594827586207,1,0.0680894056527779,0.01877726046724751,3.0727222048003097e-06,6166.1328097859305,0.07610452586206896,1745,1710,0.5517241379310345
L4.H15,29,-0.016520006903286637,0.5517241379310345,0.10344827586206896,-0.24326508620689655,1,0.1062106878079217,0.043201809215604264,-4.667865818944471e-05,2055.665478473062,0.05046555091594827,1745,1703,0.4827586206896552
L12.H9,29,-0.01643529431573276,0.5862068965517241,0.06896551724137931,-0.26481681034482757,1,0.10922125714092419,0.04020004055288656,3.44987573294804e-05,2055.9365665833593,0.27260826373922414,1745,1648,0.5862068965517241
L18.H3,29,-0.016216409617456896,0.5517241379310345,0.06896551724137931,-0.1775323275862069,1,0.05399722734401966,0.030729697303944828,0.00021203016412669215,4111.048954217348,0.07934991244612069,1745,1552,0.4827586206896552
L6.H4,29,-0.015896501212284482,0.5517241379310345,0.0,-0.17672413793103448,1,0.12360703290022652,0.05001547184217308,1.7819733455263335e-05,0.411457670466817,0.046567719558189655,1745,1760,0.4827586206896552
L18.H14,29,-0.015625,0.6551724137931034,0.06896551724137931,-0.18911637931034483,1,0.06842375341160543,0.041345024888869375,-4.629431099727236e-05,2055.744439353142,-0.04484821188038793,1745,1969,0.3448275862068966
L21.H11,29,-0.015370336072198275,0.6551724137931034,0.06896551724137931,-0.12365301724137931,1,0.0709607262035896,0.025217519051285966,-3.601559277238517e-05,4110.747813460045,0.0026687095905172415,1745,1688,0.5862068965517241
L21.H2,29,-0.015027276400862068,0.5862068965517241,0.034482758620689655,-0.10748922413793104,1,0.05517121956780039,0.009219444383077268,8.414942642738079e-05,2055.454679358548,0.03373770878232758,1745,1762,0.5172413793103449
L21.H3,29,-0.013722386853448275,0.7241379310344828,0.06896551724137931,-0.12607758620689655,1,0.041854147124907065,0.011026131128691587,5.235959743631297e-05,2055.390397009812,-0.030185041756465518,1745,1665,0.3448275862068966
L8.H7,29,-0.013389850484913793,0.5862068965517241,0.06896551724137931,-0.12311422413793104,1,0.07112920631108613,0.020384355699081487,-9.633343795250202e-06,0.1749183210537714,0.03581290409482758,1745,1678,0.5172413793103449
L15.H12,29,-0.013278303475215518,0.7586206896551724,0.06896551724137931,-0.10533405172413793,1,0.045428985280209576,0.01731222919800624,0.0001343632566517797,0.10740505579063236,-0.008904818830818966,1745,1802,0.5172413793103449
L1.H13,29,-0.01323621026400862,0.6896551724137931,0.0,-0.12230603448275862,1,0.044383981233013084,0.010867582115742121,7.156462504945952e-05,4110.701249768182,0.0111083984375,1745,1652,0.3448275862068966
L15.H15,29,-0.013152023841594827,0.5862068965517241,0.0,-0.1322737068965517,1,0.08804151351595747,0.017779925130588677,-5.544670696916252e-05,0.2016861559672749,0.05052448141163793,1745,1752,0.4827586206896552
L20.H9,29,-0.012743719692887932,0.6206896551724138,0.0,-0.1470905172413793,1,0.03659063384964548,0.04345143972323999,-7.307734982720737e-05,2055.4951044172735,-0.0327337856950431,1745,1603,0.6206896551724138
L21.H5,29,-0.012600602774784482,0.5172413793103449,0.0,-0.07408405172413793,1,0.05825329456349899,0.006746518788249573,-2.8959636030525996e-06,2055.4070169370625,0.04122188173491379,1745,1636,0.5517241379310345
L3.H5,29,-0.012535358297413793,0.5172413793103449,0.034482758620689655,-0.052801724137931036,1,0.04218770126844275,0.01747284546305811,8.252160302523908e-06,2055.3346718058315,0.07531527815193965,1745,1731,0.5517241379310345
L21.H8,29,-0.012529044315732759,0.6206896551724138,0.034482758620689655,-0.10721982758620689,1,0.06830574533548849,0.015867642689986024,-2.7557899212015087e-05,4110.778895138232,-0.05254074622844827,1745,1557,0.5862068965517241
L3.H15,29,-0.011546167834051725,0.6551724137931034,0.034482758620689655,-0.11584051724137931,1,0.07418806401306186,0.015165220795285582,1.3156183834733634e-05,2055.520169061743,0.1405071390086207,1745,1573,0.4827586206896552
L0.H15,29,-0.011278875942887932,0.5862068965517241,0.034482758620689655,-0.13631465517241378,1,0.04037333125698155,0.01175273727044598,-4.036673184098868e-06,2055.682657375273,0.09914003569504311,1745,1518,0.3103448275862069
L15.H10,29,-0.011207317483836207,0.6896551724137931,0.06896551724137931,-0.1392780172413793,1,0.05681017863339391,0.008836265481979102,-1.7893725428087957e-05,0.018830552073469106,-0.11048626077586207,1745,1736,0.1724137931034483
L17.H15,29,-0.011134706694504311,0.5517241379310345,0.06896551724137931,-0.16433189655172414,1,0.0634524260872397,0.021180431269197563,0.0003619975057141534,2055.7295597624216,0.10060277478448276,1745,1555,0.5862068965517241
L0.H12,29,-0.010462267645474138,0.6206896551724138,0.0,-0.08378232758620689,1,0.03570685946735842,0.015771225437267024,-6.20504905437601e-06,4110.758927868559,0.08489569302262931,1745,1561,0.3103448275862069
L1.H5,29,-0.010293894800646552,0.6896551724137931,0.034482758620689655,-0.09267241379310345,1,0.032734378016200556,0.011050345252003572,-1.4492150010733769e-05,6166.023798145496,0.061872811153017244,1745,1602,0.3103448275862069
L13.H3,29,-0.009626717403017241,0.41379310344827586,0.0,-0.03609913793103448,1,0.0423658038007802,0.010927429262414206,0.00012397560580023405,2055.3228309368847,-0.07090180495689655,1745,1795,0.3103448275862069
L6.H6,29,-0.009384681438577586,0.5517241379310345,0.034482758620689655,-0.047952586206896554,1,0.050920543871049224,0.005769185441812593,3.9931001334354794e-05,0.04681329396699208,0.013265675511853448,1745,1782,0.4482758620689655
L22.H1,29,-0.009157378098060345,0.6896551724137931,0.034482758620689655,-0.08701508620689655,1,0.058888434978394674,0.010005999142996533,4.081890500825027e-06,0.13910169102732853,0.07721841746363146,1745,1645,0.5172413793103449
L15.H6,29,-0.008334455818965518,0.5517241379310345,0.034482758620689655,-0.1306573275862069,1,0.06019715605110958,0.015379003100328003,-1.1306384514118062e-05,0.08815346351057866,0.06336606782058189,1745,1736,0.4482758620689655
L1.H11,29,-0.008283943965517241,0.41379310344827586,0.06896551724137931,-0.05387931034482758,1,0.043899773395267024,0.006232234704274843,1.2905433260161301e-05,2055.3423437583638,-0.01300897269413389,1745,1716,0.4482758620689655
L17.H14,29,-0.00820080987338362,0.5517241379310345,0.10344827586206896,-0.1575969827586207,1,0.05420393894972472,0.031135150087407214,-4.321131212957974e-05,4110.772985626007,0.017481310614224137,1745,1744,0.5172413793103449
L3.H7,29,-0.008102943157327586,0.5517241379310345,0.034482758620689655,-0.07516163793103449,1,0.04017854803081217,0.005508285970100933,-5.584338615680563e-06,0.05101961458227169,-0.007244241648706897,1745,1677,0.3448275862068966
L19.H13,29,-0.008054535964439655,0.5862068965517241,0.034482758620689655,-0.10748922413793104,1,0.020317154326315583,0.00991026226532493,1.292804191852438e-06,4110.655687197226,-0.04482506061422414,1745,1707,0.41379310344827586
L16.H13,29,-0.007993500808189655,0.6206896551724138,0.06896551724137931,-0.13173491379310345,1,0.01130289109102611,0.029705170746732117,-6.089950429982152e-06,2055.994597021433,0.1063611260775862,1745,1651,0.5172413793103449
L16.H15,29,-0.007917733028017241,0.3448275862068966,0.0,-0.052801724137931036,1,0.04617197991445147,0.010078425495646963,-5.370584027520541e-06,0.24528577102130897,0.03472479458512931,1745,1712,0.4482758620689655
L16.H6,29,-0.007307381465517241,0.5517241379310345,0.06896551724137931,-0.13820043103448276,1,0.06273027856288285,0.030751225444215255,3.0733388045738485e-05,4111.331025179059,0.3920393318965517,1745,1420,0.7586206896551724
L21.H12,29,-0.0072042530980603444,0.6896551724137931,0.06896551724137931,-0.17429956896551724,1,0.03710902379504565,0.03231093964796887,0.0001283390768643083,2055.635847698307,-0.002696070177801724,1745,1761,0.5172413793103449
L15.H7,29,-0.007094810748922414,0.4482758620689655,0.034482758620689655,-0.1333512931034483,1,0.050007872155000424,0.014471629944543157,-6.0508991109913795e-06,2055.720225321433,0.12270591998922414,1745,1534,0.6896551724137931
L23.H13,29,-0.006989577720905173,0.7241379310344828,0.0,-0.11503232758620689,1,0.039158920147295655,0.007958109303029327,7.30382985082166e-05,4111.064342598557,0.2751537191456762,1745,1498,0.7586206896551724
