head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L12.H8,37,-0.03976883759369721,0.8108108108108109,0.32432432432432434,-0.7994087837837838,3,0.3972591451696447,0.18012698034982424,0.0015791670696155445,7.5467254752276745,0.9413930532094594,1186,722,0.8918918918918919
L18.H4,37,-0.02883086333403716,0.9459459459459459,0.1891891891891892,-0.3452280405405405,1,0.20333665770453377,0.029287253355456365,0.001307426272211848,2.863428491222313,1.020626583614865,1186,633,1.0
L15.H6,37,-0.023155418602195946,0.8378378378378378,0.1891891891891892,-0.29603040540540543,1,0.2142147244633855,0.056796229117222735,0.0007569322714934478,2.6810820763260574,0.9032279349662162,1186,808,0.972972972972973
L18.H8,37,-0.013192666543496621,0.6756756756756757,0.16216216216216217,-0.14421452702702703,1,0.06249029571945603,0.008733874780748895,0.0003269491968928157,0.547273746501528,0.28955078125,1186,1055,0.7837837837837838
L11.H1,37,-0.006726239178631757,0.7297297297297297,0.16216216216216217,-0.07326858108108109,1,0.050793879740947,0.006164423061056515,5.7774621087151604e-05,0.1892108270308371,0.1321922508445946,1186,1105,0.8378378378378378
L13.H5,37,-0.006518389727618243,0.6756756756756757,0.08108108108108109,-0.14252533783783783,1,0.09407861168320114,0.034907814719387004,1.2302720868909682e-05,0.40799591925831447,0.22169288429054054,1186,1055,0.7837837837837838
L16.H15,37,-0.006373225031672297,0.5945945945945946,0.08108108108108109,-0.06777871621621621,1,0.042346535502253355,0.009050286432407243,0.00016750677211864576,0.36422124287608465,0.21174250422297297,1186,1134,0.7837837837837838
L18.H2,37,-0.006266001108530405,0.7297297297297297,0.05405405405405406,-0.0694679054054054,1,0.057444791536073424,0.007327318462115285,0.00010388928490716057,0.3931121632455424,0.25811602618243246,1186,1017,0.918918918918919
L13.H8,37,-0.006256103515625,0.6756756756756757,0.08108108108108109,-0.11866554054054054,1,0.08664315455668681,0.010682200613381291,0.0001320677834588128,0.23721808858940702,0.12414220861486487,1186,1089,0.8108108108108109
L12.H15,37,-0.006222286739864865,0.5945945945945946,0.02702702702702703,-0.044341216216216214,1,0.025166298892046954,0.0019152402866795357,3.511519045443148e-05,0.07602446115449377,0.061892947635135136,1186,1160,0.7027027027027027
L22.H9,37,-0.005508835251266892,0.6756756756756757,0.05405405405405406,-0.0711570945945946,1,0.05229704444472854,0.0034921675105579197,0.0001420249810089936,0.21038176620142893,0.14934807854729729,1186,1078,0.972972972972973
L16.H0,37,-0.00538841453758446,0.5945945945945946,0.05405405405405406,-0.05342060810810811,1,0.031170638831886085,0.005778272651966561,0.0004940016849620922,0.5195646017872847,0.23620935388513514,1186,962,0.8918918918918919
L23.H9,37,-0.005236651446368243,0.6756756756756757,0.05405405405405406,-0.05532094594594594,1,0.02499979251139873,0.0035127374324695885,0.00016079077849516998,0.16503198396932522,0.13299725506756757,1186,1076,0.9459459459459459
L10.H10,37,-0.005081589157516892,0.7027027027027027,0.02702702702702703,-0.07495777027027027,1,0.0472235293001742,0.005563095602131373,7.891977155530776e-06,0.0820510543671086,0.03127639358108108,1186,1137,0.5945945945945946
L14.H5,37,-0.005036225190033784,0.6756756756756757,0.13513513513513514,-0.06461148648648649,1,0.052402625212798246,0.01864752347889432,0.00043878684172759185,0.6230836618327823,0.3615656672297297,1186,1038,0.8108108108108109
L16.H6,37,-0.004557016733530405,0.5675675675675675,0.05405405405405406,-0.05320945945945946,1,0.05428993379747545,0.006904501225673468,0.00019179647033279007,0.3991118582225175,0.2915698902027027,1186,1000,0.9459459459459459
L5.H6,37,-0.004549593538851352,0.7027027027027027,0.10810810810810811,-0.09206081081081081,1,0.04598892701638711,0.007670770715481627,0.00012090721645870724,0.1008673455641751,0.035063872466216214,1186,1153,0.6486486486486487
L10.H13,37,-0.004502579972550676,0.6486486486486487,0.05405405405405406,-0.05109797297297297,1,0.01305457707997915,0.005861930829170789,-2.4919574325149125e-05,0.05370788809772307,0.03398173564189189,1186,1165,0.6756756756756757
L14.H7,37,-0.004473711993243243,0.5135135135135135,0.02702702702702703,-0.06630067567567567,1,0.053853254060487486,0.01125079473225727,0.00014510670223751585,0.3982168492092779,0.22343486064189189,1186,1110,0.7837837837837838
L12.H9,37,-0.004425873627533784,0.6486486486486487,0.05405405405405406,-0.07538006756756757,1,0.05706587353268185,0.0068684838353530375,0.00024075926961125555,0.1520895075964273,0.09070154138513513,1186,1113,0.7027027027027027
L13.H13,37,-0.0044168008340371625,0.6486486486486487,0.05405405405405406,-0.051942567567567564,1,0.037354340424408786,0.0034285326239753616,5.742021509118982e-05,0.17258971640829593,0.12152924408783784,1186,1142,0.6216216216216216
L10.H14,37,-0.004105851456925676,0.5675675675675675,0.08108108108108109,-0.033572635135135136,1,0.025521439474982185,0.0020725570770131576,2.4297752895870724e-05,0.0632495453727006,0.03776921452702703,1186,1138,0.6486486486486487
L16.H5,37,-0.003926045185810811,0.7027027027027027,0.02702702702702703,-0.03125,1,0.02415839401451317,0.0013561175661822278,8.375258059115023e-06,0.18224321400221452,0.10286898226351351,1186,1150,0.6756756756756757
L10.H1,37,-0.0037404653188344594,0.6216216216216216,0.02702702702702703,-0.0390625,1,0.023619065413603913,0.0056873580355927145,-3.700481878744589e-05,0.044895613905175935,0.019940350506756757,1186,1125,0.5675675675675675
L23.H2,37,-0.0036588101773648647,0.5675675675675675,0.02702702702702703,-0.02808277027027027,1,0.018896534636213973,0.0013207914601701526,7.538054440472577e-05,0.07432763674835137,0.053935282939189186,1186,1127,0.6216216216216216
L11.H14,37,-0.0034922006967905406,0.6756756756756757,0.05405405405405406,-0.037373310810810814,1,0.021351472751514333,0.0019742230887877174,3.8308066290778085e-06,0.05060830033589562,0.03235853040540541,1186,1168,0.5675675675675675
L21.H14,37,-0.003196922508445946,0.7297297297297297,0.05405405405405406,-0.040751689189189186,1,0.03537572396768106,0.002587246584290689,8.580169162234745e-05,0.15323550681263107,0.10949377111486487,1186,1082,0.8918918918918919
L16.H4,37,-0.0031342377533783786,0.4594594594594595,0.05405405405405406,-0.011613175675675675,1,0.01368002633790712,0.0016342216164244943,3.7101474968162744e-05,0.15501115734191068,0.08316617398648649,1186,1168,0.6216216216216216
L12.H12,37,-0.003006393845016892,0.6756756756756757,0.02702702702702703,-0.040962837837837836,1,0.023414598928915488,0.0021640085048872876,-3.0353262617781355e-05,0.027039599787063703,0.010649809966216216,1186,1174,0.5405405405405406
L18.H11,37,-0.0027589540223817567,0.5405405405405406,0.02702702702702703,-0.014780405405405405,1,0.015789038426167256,0.0008058803033310216,4.74904034588788e-06,0.06251749497568011,0.05063608530405406,1186,1158,0.4864864864864865
L23.H10,37,-0.0025436813766891893,0.7567567567567568,0.0,-0.02195945945945946,1,0.01145252021583351,0.0006629858359480528,6.816999332324879e-05,0.0538958495783001,0.04934279983108108,1186,1157,0.8108108108108109
