head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L17.H7,49,-0.043989531847895405,0.8571428571428571,0.1836734693877551,-0.44690688775510207,1,0.3047712189810617,0.040736292366815106,0.002032961164202009,5.7357922136463415,1.0414939413265305,1247,715,0.8163265306122449
L18.H11,49,-0.02266739825813138,0.7346938775510204,0.10204081632653061,-0.21954719387755103,1,0.13811292453688018,0.019904019531428015,6.520748138427734e-05,2.210332320674891,0.5141900510204082,1247,754,0.8163265306122449
L22.H2,49,-0.02254252531090561,0.9591836734693877,0.061224489795918366,-0.19786352040816327,1,0.173595058674715,0.005886717352597993,0.00044802013708620657,0.39708915177035514,0.2668606505102041,1247,1080,0.9387755102040817
L12.H15,49,-0.019934829400510203,0.8367346938775511,0.12244897959183673,-0.15832270408163265,1,0.12196085890945123,0.009373901043638435,0.0005010621888296944,0.5579530219710884,0.4014269770408163,1247,957,0.9591836734693877
L13.H6,49,-0.01884429308832908,0.8775510204081632,0.12244897959183673,-0.16613520408163265,1,0.1112229483468192,0.008555673564099992,0.0002999524680935607,0.4948900436685475,0.35208067602040816,1247,1027,0.9591836734693877
L15.H15,49,-0.01716458067602041,0.673469387755102,0.061224489795918366,-0.15433673469387754,1,0.10233618288624044,0.01381881994537401,0.0002599845127183564,2.3597814390032474,0.47433035714285715,1247,924,0.7755102040816326
L15.H1,49,-0.016531808035714284,0.6326530612244898,0.08163265306122448,-0.15481505102040816,1,0.1133499729390047,0.014105261289823458,0.0006357796338139748,1.4437404990507787,0.39823820153061223,1247,1138,0.6530612244897959
L23.H6,49,-0.016503158880739797,0.9183673469387755,0.061224489795918366,-0.13488520408163265,1,0.11377053358116929,0.004449754060074991,0.00022752795900617327,0.19484937282592563,0.1366390306122449,1247,1134,0.8367346938775511
L22.H0,49,-0.012488540338010204,0.9387755102040817,0.0,-0.10602678571428571,1,0.09339817689389598,0.0034262821439425555,0.00037130409357499105,0.1666533469465727,0.12061543367346939,1247,1165,0.8979591836734694
L14.H12,49,-0.012345917370854591,1.0,0.061224489795918366,-0.09964923469387756,1,0.0795337521300024,0.002274361635054633,0.0002228994758761659,0.2985318943595108,0.2242107780612245,1247,1098,0.9183673469387755
L19.H2,49,-0.010964529854910714,0.8367346938775511,0.0,-0.0859375,1,0.0798021919873296,0.0024991652991252057,0.00014693639716323542,0.35225268341363203,0.2615991709183674,1247,1019,0.8979591836734694
L16.H15,49,-0.010287537866709183,0.5918367346938775,0.02040816326530612,-0.08466198979591837,1,0.07056637199557557,0.008050863182039134,0.0009227881626207001,1.9033549393222233,0.45228794642857145,1247,998,0.8367346938775511
L19.H11,49,-0.010245809749681123,0.7346938775510204,0.02040816326530612,-0.0703125,1,0.06038639496783821,0.003594467652503078,2.910044728493204e-05,0.4035858668177643,0.20268654336734693,1247,1027,0.6530612244897959
L23.H5,49,-0.00990887077487245,0.8571428571428571,0.0,-0.07669005102040816,1,0.06916590612761829,0.0018476681529582307,0.00011730437376061264,0.12571641715478518,0.09717793367346939,1247,1154,0.8367346938775511
L13.H0,49,-0.00989890585140306,0.8367346938775511,0.1836734693877551,-0.07477678571428571,1,0.06672771609559351,0.00692375303526428,0.0005147201674325126,1.2759333195848497,0.49800701530612246,1247,924,0.7346938775510204
L23.H9,49,-0.00966286172672194,0.8775510204081632,0.0,-0.07876275510204081,1,0.0652786906884641,0.0016334290320424326,7.195861972108179e-05,0.11961428625124844,0.09056122448979592,1247,1154,0.8979591836734694
L21.H10,49,-0.00933651048309949,0.8979591836734694,0.0,-0.07653061224489796,1,0.07172346601680833,0.0012740300925524564,0.00014253660124175402,0.19924960024654273,0.15214445153061223,1247,1136,0.8775510204081632
L22.H6,49,-0.009294782366071428,0.6938775510204082,0.02040816326530612,-0.07206632653061225,1,0.06632959112829091,0.0031438880440855057,5.495304964026626e-05,0.12012430589644948,0.0782047193877551,1247,1176,0.7551020408163265
L23.H13,49,-0.00875667649872449,0.9795918367346939,0.0,-0.07047193877551021,1,0.061132591597887934,0.0008279376845018064,0.00010371694759446747,0.09918701617169427,0.07557397959183673,1247,1185,0.9183673469387755
L18.H8,49,-0.007832429846938776,0.6326530612244898,0.02040816326530612,-0.07908163265306123,1,0.0806122215426698,0.009415630814239231,-1.0238618266825773e-05,2.013753455029106,0.3798230229591837,1247,858,0.8775510204081632
L20.H10,49,-0.007315499441964286,0.4897959183673469,0.061224489795918366,-0.07621173469387756,1,0.05522500738805654,0.007437134949770775,5.489709425945671e-05,0.2806877165640956,0.1094547193877551,1247,1177,0.5306122448979592
L15.H9,49,-0.007033990353954082,0.6122448979591837,0.04081632653061224,-0.07637117346938775,1,0.04337236346030722,0.0037165704325532864,0.0002244163532646335,0.45934446027170667,0.1896922831632653,1247,1149,0.5510204081632653
L16.H3,49,-0.006756218112244898,0.5306122448979592,0.10204081632653061,-0.06568877551020408,1,0.05010827706784618,0.010297087865777085,0.00036579370498657227,0.6405484930285854,0.20368303571428573,1247,1180,0.7346938775510204
L23.H14,49,-0.00586498026945153,0.8775510204081632,0.0,-0.048947704081632654,1,0.042456733937166174,0.0006788666431354929,4.682613878834004e-05,0.06940647318611345,0.053611288265306124,1247,1203,0.8775510204081632
L16.H5,49,-0.005314418247767857,0.6326530612244898,0.02040816326530612,-0.03667091836734694,1,0.042598665977010924,0.0036255459386406335,2.726730035275829e-05,0.37355017507333577,0.17255261479591838,1247,1087,0.5306122448979592
L23.H10,49,-0.005211032166772959,0.8571428571428571,0.0,-0.041294642857142856,1,0.036896053625612844,0.0005010938971559992,4.798660472947724e-05,0.057751053363531576,0.044921875,1247,1204,0.7755102040816326
L16.H1,49,-0.00518985670440051,0.7142857142857143,0.0,-0.04591836734693878,1,0.04619466042032047,0.0030544318463083127,0.00016957399796466437,1.176305060649891,0.43769929846938777,1247,956,0.8775510204081632
L15.H11,49,-0.004945093271683673,0.6326530612244898,0.02040816326530612,-0.037786989795918366,1,0.029028493530896246,0.002552003255208992,0.00042733367608518015,0.3447214370030461,0.16139190051020408,1247,1187,0.7959183673469388
L19.H3,49,-0.004729601801658163,0.5306122448979592,0.04081632653061224,-0.03571428571428571,1,0.03532111401460609,0.0019060914511305318,-2.8582251801782724e-05,0.14744805762470187,0.0977359693877551,1247,1186,0.4897959183673469
L11.H1,49,-0.00463306660554847,0.7346938775510204,0.061224489795918366,-0.028380102040816327,1,0.026328320405921157,0.0013384304819533564,4.387510066129723e-05,0.13353243226186243,0.12169164540816327,1247,1165,0.8367346938775511
L18.H4,49,-0.004587601642219388,0.6530612244897959,0.061224489795918366,-0.04049744897959184,1,0.032741702332788586,0.0019712400876878934,7.815750277772241e-05,0.24403564593192503,0.1798469387755102,1247,1068,0.7755102040816326
L23.H2,49,-0.004466776945153061,0.7346938775510204,0.0,-0.03635204081632653,1,0.03365631492770448,0.0006566366521708135,4.433369149967116e-05,0.05846565242424371,0.04571906887755102,1247,1202,0.7755102040816326
L13.H2,49,-0.00408935546875,0.6122448979591837,0.061224489795918366,-0.031090561224489797,1,0.022799569733288824,0.0031003088521657095,2.219239059759646e-05,0.0761455465581572,0.05799585459183673,1247,1202,0.673469387755102
L12.H8,49,-0.0038041095344387753,0.7551020408163265,0.04081632653061224,-0.035076530612244895,1,0.03332230996112434,0.0018600172135142647,4.406851165148677e-05,0.07631803693396529,0.060666454081632654,1247,1191,0.673469387755102
L19.H6,49,-0.0033108458227040817,0.673469387755102,0.02040816326530612,-0.036830357142857144,1,0.023601789863742128,0.001438540475423999,9.812505877747827e-05,0.1880000238119185,0.11292251275510204,1247,1194,0.7551020408163265
L23.H15,49,-0.0031657316246811226,0.7959183673469388,0.0,-0.02614795918367347,1,0.02539937836783273,0.0004044097164593523,1.8485954829624722e-05,0.03768148860436009,0.029854910714285716,1247,1221,0.7755102040816326
L17.H15,49,-0.0031588807397959183,0.6122448979591837,0.02040816326530612,-0.03714923469387755,1,0.02374077816398776,0.0027303428396779203,-1.5387729722626356e-05,0.17060922899801811,0.06489158163265306,1247,1193,0.42857142857142855
