head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L18.H0,49,-0.07300053810586735,0.5306122448979592,0.12244897959183673,-0.40896045918367346,1,0.2975214014247972,0.11814743747022383,0.010269624846322196,3.919660996303497,0.8128985969387755,467,462,0.7346938775510204
L22.H2,49,-0.059400908801020405,0.9795918367346939,0.04081632653061224,-0.33003826530612246,1,0.38184193445711717,0.019396278628252675,0.0011318617937516194,0.9218405476299891,0.4445950255102041,467,353,0.9795918367346939
L12.H15,49,-0.055250518176020405,0.9795918367346939,0.061224489795918366,-0.31935586734693877,1,0.36960811274392263,0.021576424414406017,0.001120036962080975,0.9815690532770303,0.4823022959183674,467,329,0.9591836734693877
L13.H15,49,-0.05157097018494898,0.9183673469387755,0.10204081632653061,-0.31345663265306123,1,0.35271558712939827,0.026714018641077742,0.0011749401384470413,2.018521170579047,0.6680484693877551,467,279,0.8979591836734694
L22.H0,49,-0.0474853515625,0.9387755102040817,0.02040816326530612,-0.27168367346938777,1,0.29901396255103907,0.015649838002436623,0.0010234494598544374,0.6175554190238085,0.3176817602040816,467,387,0.9591836734693877
L18.H8,49,-0.046095244738520405,0.7959183673469388,0.02040816326530612,-0.28746811224489793,1,0.32146462372371126,0.02783108433727555,0.0011188996081449548,5.506603730358581,0.8262117346938775,467,221,0.9183673469387755
L16.H5,49,-0.04185267857142857,0.7346938775510204,0.04081632653061224,-0.23278061224489796,1,0.23644119622756024,0.030050783248841573,0.0007173589297703334,6.79436616482564,0.5659279336734694,467,322,0.6122448979591837
L15.H11,49,-0.040106325733418366,0.6938775510204082,0.04081632653061224,-0.24952168367346939,1,0.24523731640407018,0.03549760128418934,0.002851365780343815,1.6619313776643287,0.5514987244897959,467,373,0.8979591836734694
L13.H6,49,-0.0377197265625,0.9387755102040817,0.061224489795918366,-0.20153061224489796,1,0.24292605263846262,0.012747557292103159,0.0009869920964143714,0.7594581651126417,0.4260204081632653,467,367,0.9795918367346939
L15.H3,49,-0.024659448740433673,0.5510204081632653,0.04081632653061224,-0.12834821428571427,1,0.1241538159701289,0.016571722527946895,0.002266758558701496,1.511481748064034,0.35801977040816324,467,414,0.7551020408163265
L23.H6,49,-0.023532166772959183,0.8571428571428571,0.0,-0.14524872448979592,1,0.16112820956171775,0.006706485344211058,0.00032112184835939993,0.2901158671638506,0.16868622448979592,467,418,0.8979591836734694
L16.H4,49,-0.0231510084502551,0.7346938775510204,0.0,-0.1293048469387755,1,0.14492122494444556,0.015177819816091535,0.0005707716455264967,0.5768747820578407,0.2578922193877551,467,429,0.7142857142857143
L18.H4,49,-0.022144551179846938,0.8163265306122449,0.0,-0.15497448979591838,1,0.16807543258277738,0.00896458233212482,0.00043691664325947664,0.7368219327384012,0.3930165816326531,467,301,0.8571428571428571
L11.H6,49,-0.02194774394132653,0.7959183673469388,0.02040816326530612,-0.03714923469387755,1,0.1406724452972412,0.02273525983779406,0.0014532938295481156,1.3373755408414272,0.8059630102040817,467,291,1.0
L16.H0,49,-0.02189791932397959,0.7551020408163265,0.04081632653061224,-0.1256377551020408,1,0.1414742104861201,0.01231498309952796,0.0002009041455327248,0.6835744509129308,0.28946109693877553,467,336,0.8163265306122449
L14.H12,49,-0.021691147161989797,0.9387755102040817,0.02040816326530612,-0.13233418367346939,1,0.15063805969393984,0.004488225787526415,0.0005650970400596151,0.3806883773544189,0.23955676020408162,467,401,0.9591836734693877
L16.H3,49,-0.021063356983418366,0.6326530612244898,0.04081632653061224,-0.12675382653061223,1,0.139317943125355,0.011216600859129079,0.0007618580545697894,0.807286605419254,0.36128826530612246,467,384,0.7959183673469388
