head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L13.H2,100,-0.2608070373535156,0.96,0.3,-1.706484375,2,1.4502221804857254,0.4453797650337219,0.00787270486354828,122.65397976247705,2.63744140625,1071,240,0.97
L14.H12,100,-0.0638360595703125,0.84,0.04,-0.417578125,1,0.3975073358416557,0.04740662731579505,0.0033023399114608764,5.034312152727378,0.92564453125,1071,685,0.96
L10.H7,100,-0.04418670654296875,0.78,0.1,-0.33734375,1,0.1809892413020134,0.06465824554208666,0.0001415121555328369,0.32649456306886265,-0.09810546875,1071,1096,0.46
L22.H0,100,-0.037789306640625,0.87,0.01,-0.374609375,1,0.3056127333641052,0.022925749064888805,0.000727837085723877,2.310271397240164,0.71423828125,1071,709,0.95
L14.H5,100,-0.02921875,0.67,0.07,-0.19515625,1,0.1804757171869278,0.032991578304790894,0.0005436861515045167,1.9178606587119982,0.633515625,1071,846,0.85
L23.H6,100,-0.02613037109375,0.82,0.0,-0.24046875,1,0.18415901482105254,0.011798279664944858,0.0005599141120910644,0.6910695459369637,0.3068359375,1071,903,0.94
L23.H9,100,-0.02082275390625,0.8,0.03,-0.1703125,1,0.14037670135498048,0.005508846144075505,0.00019803166389465332,0.4965131994141362,0.2543359375,1071,913,0.96
L23.H2,100,-0.0196612548828125,0.8,0.02,-0.143515625,1,0.13424713522195816,0.005423338249674998,0.00026091933250427246,0.37554915483688084,0.1965625,1071,966,0.93
L12.H0,100,-0.0159161376953125,0.65,0.01,-0.09125,1,0.07645993202924728,0.021975902616977693,0.0005078774690628052,0.6370023051727605,0.2383203125,1071,947,0.74
L18.H4,100,-0.014764404296875,0.72,0.02,-0.123203125,1,0.11105078667402267,0.007447972674417542,0.0006703966856002807,1.7129569384597414,0.6453125,1071,786,0.95
L18.H2,100,-0.014716796875,0.77,0.0,-0.11421875,1,0.10717220187187194,0.006439942484430503,0.0002570545673370361,0.7333579416888206,0.389453125,1071,847,0.93
L13.H13,100,-0.0136639404296875,0.57,0.03,-0.06359375,1,0.07336204528808593,0.018831558833262534,0.0004558831453323364,0.8890156871734479,0.4122265625,1071,884,0.86
L15.H14,100,-0.0127838134765625,0.63,0.01,-0.088046875,1,0.0886675637960434,0.0068156533758156005,0.0002599549293518066,1.0754067686017799,0.3875,1071,908,0.73
L11.H12,100,-0.012225341796875,0.72,0.02,-0.1109375,1,0.09096243739128113,0.0062685812384006565,-2.9511451721191407e-05,1.27732627085971,0.37353515625,1071,911,0.76
L23.H11,100,-0.0110186767578125,0.69,0.01,-0.095390625,1,0.07154434978961945,0.003876999325293582,-5.6025981903076174e-05,0.24992617360853475,0.1316796875,1071,994,0.8
L11.H14,100,-0.010150146484375,0.67,0.03,-0.11125,1,0.06605786800384522,0.006644853691977914,0.0001537114381790161,0.43569795524307603,0.23287109375,1071,919,0.91
L23.H0,100,-0.0092303466796875,0.69,0.01,-0.073203125,1,0.06222302496433258,0.002752386958891293,0.00021145403385162354,0.20473501861008545,0.10634765625,1071,1016,0.77
L10.H9,100,-0.008043212890625,0.59,0.0,-0.053125,1,0.05849256724119187,0.008422610589768738,0.0003075695037841797,0.5347845559128342,0.34583984375,1071,895,0.91
L23.H10,100,-0.007137451171875,0.74,0.01,-0.053984375,1,0.04839425444602966,0.0008376986298389966,8.033514022827148e-05,0.1451021790495539,0.08833984375,1071,1012,0.86
L22.H3,100,-0.0070465087890625,0.73,0.03,-0.0484375,1,0.048395630717277524,0.0012408929994126084,7.738411426544189e-05,0.15002885097367416,0.09716796875,1071,1020,0.71
L22.H9,100,-0.006983642578125,0.65,0.01,-0.0746875,1,0.0656830409169197,0.003729495745355962,-0.00029699444770812987,0.384309043516322,0.209375,1071,944,0.89
L21.H14,100,-0.0068817138671875,0.67,0.02,-0.072734375,1,0.056691528856754304,0.0025888525936170483,0.00015040934085845946,0.510120221829316,0.28634765625,1071,920,0.91
L23.H15,100,-0.0067291259765625,0.69,0.01,-0.0553125,1,0.047408546507358554,0.0019432284915819765,0.00025459229946136477,0.15987083930403814,0.09228515625,1071,1013,0.8
L12.H7,100,-0.0060394287109375,0.65,0.06,-0.03078125,1,-0.0213703528046608,0.019374441467225553,-0.00027693629264831544,-0.163162157447414,-0.23033203125,1071,1191,0.18
L11.H11,100,-0.005621337890625,0.56,0.04,-0.061875,1,0.04339066207408905,0.010933095918735489,0.000374908447265625,0.5269067591788621,0.32857421875,1071,888,0.88
L22.H2,100,-0.00432373046875,0.61,0.01,-0.033203125,1,0.030590326488018037,0.0016486130384146236,0.0002442830801010132,0.15236194037889175,0.11103515625,1071,1015,0.86
L12.H9,100,-0.0040740966796875,0.56,0.03,-0.0225,1,0.035778373181819915,0.004992517360951751,0.00014806807041168213,0.18602959696975407,0.133203125,1071,997,0.8
L23.H14,100,-0.003446044921875,0.55,0.0,-0.048359375,1,0.034598220288753506,0.001527598545217188,6.0355067253112795e-05,0.13125641596213983,0.0739453125,1071,1025,0.82
L16.H6,100,-0.00310791015625,0.52,0.01,-0.025390625,1,0.0259265798330307,0.002548557388508925,-7.097423076629639e-05,0.19859057855162246,0.152109375,1071,986,0.8
L12.H3,100,-0.003076171875,0.53,0.02,-0.0125,1,0.00891148805618286,0.002076535250234883,1.5615224838256837e-05,-0.05280493934052369,-0.0655078125,1071,1101,0.26
L12.H15,100,-0.00300048828125,0.51,0.0,-0.022421875,1,0.023081898987293244,0.001046539782109903,-2.6017427444458008e-05,0.08257539263151681,0.05669921875,1071,1039,0.76
L10.H11,100,-0.0029345703125,0.52,0.02,-0.024375,1,0.02142624616622925,0.005537580064847134,0.00017479121685028077,0.3756964459944272,0.19330078125,1071,965,0.73
L16.H0,100,-0.0028680419921875,0.52,0.0,-0.021796875,1,0.02802005022764206,0.003797589851601515,0.0002166879177093506,0.3373155854784858,0.18615234375,1071,981,0.8
L21.H0,100,-0.0028497314453125,0.54,0.0,-0.0184375,1,0.019636927545070647,0.00029005612916080284,3.322780132293701e-05,0.07648450796638158,0.05537109375,1071,1041,0.57
L23.H13,100,-0.002847900390625,0.62,0.0,-0.02359375,1,0.022137510180473326,0.0008851026851698407,-7.717311382293701e-05,0.07507510436113334,0.04748046875,1071,1042,0.67
L12.H8,100,-0.0028118896484375,0.5,0.02,-0.045234375,1,0.03956816792488098,0.006116410851536785,-5.615949630737305e-06,0.2649602099402565,0.17455078125,1071,970,0.81
L20.H10,100,-0.0026043701171875,0.43,0.0,-0.010390625,1,0.01654108762741089,0.0011700099694280652,-1.4065504074096679e-05,0.09141927765776392,0.05708984375,1071,1050,0.5
L9.H8,100,-0.002471923828125,0.56,0.03,-0.020859375,1,0.003676232993602753,0.00994224224530626,-0.00021413207054138183,0.22473642956642592,0.150078125,1071,971,0.73
L7.H7,100,-0.0024517822265625,0.62,0.01,-0.014296875,1,0.006981979608535766,0.0030701264561503196,2.7984976768493652e-05,0.0949403425468956,0.07171875,1071,1035,0.71
L15.H5,100,-0.0024176025390625,0.48,0.01,-0.046015625,1,0.030693192780017853,0.002060982785260421,8.987665176391602e-05,0.20269417382771607,0.13375,1071,989,0.87
L21.H10,100,-0.0023876953125,0.54,0.0,-0.0125,1,0.013825502097606659,0.0007665567131334683,8.710443973541259e-05,0.08555087867138038,0.0638671875,1071,1033,0.72
L14.H8,100,-0.0020916748046875,0.64,0.0,-0.017109375,1,0.01641052037477493,0.0004519381427962799,-1.5237331390380859e-05,0.06441410651779361,0.04595703125,1071,1044,0.76
L22.H5,100,-0.001986083984375,0.52,0.01,-0.0140625,1,0.010354184210300446,0.004138122203876264,0.0001723700761795044,-0.029504956518238434,-0.04716796875,1071,1093,0.32
L15.H13,100,-0.001820068359375,0.48,0.01,-0.0075,1,0.011063638925552368,0.0009885999824473402,-2.3213028907775878e-05,0.0730942414108689,0.06123046875,1071,1039,0.62
L22.H12,100,-0.001614990234375,0.57,0.01,-0.01171875,1,0.0078041857481002804,0.0005347285952666426,0.00013984084129333495,0.054802278273789876,0.03734375,1071,1043,0.69
L15.H6,100,-0.001507568359375,0.53,0.0,-0.01046875,1,0.008020372092723847,0.0006255367306948756,0.00014293909072875976,0.05726845731701417,0.04404296875,1071,1046,0.69
L16.H1,100,-0.0014111328125,0.4,0.0,-0.005234375,1,0.0018843534588813783,0.0014072359253259493,0.0003428053855895996,0.05296035925953478,0.03591796875,1071,1052,0.49
L10.H5,100,-0.00131591796875,0.58,0.0,-0.00140625,1,0.005824090540409088,0.0011516887407924514,-0.00013498544692993163,-0.01716349318841409,-0.0176953125,1071,1075,0.31
L20.H15,100,-0.001214599609375,0.47,0.0,-0.0090625,1,0.008972789347171783,0.00035154388897353785,4.517018795013428e-05,0.10459179885708067,0.0587890625,1071,1034,0.62
L16.H4,100,-0.0011517333984375,0.38,0.0,-0.008984375,1,0.018570227026939393,0.004245378051855368,0.00011668562889099122,0.2654952814244513,0.13939453125,1071,986,0.71
L10.H13,100,-0.001011962890625,0.55,0.01,-0.00796875,1,0.004068193435668946,0.0004350840503320796,-1.3713836669921876e-05,0.009969314718706122,0.00486328125,1071,1067,0.51
L23.H4,100,-0.000941162109375,0.48,0.0,-0.00359375,1,0.00435036301612854,0.00029346073788474316,5.56713342666626e-05,0.024989304836377645,0.01923828125,1071,1052,0.55
L21.H2,100,-0.0009014892578125,0.35,0.0,-0.00171875,1,0.00462922990322113,0.0004719301184195501,3.0177831649780275e-06,0.017836710809582743,0.01275390625,1071,1065,0.44
L8.H5,100,-0.000894775390625,0.58,0.0,-0.00984375,1,0.005834275782108307,0.00027695239510649116,-7.259666919708252e-05,-0.002262212117473894,-0.01150390625,1071,1075,0.36
L12.H12,100,-0.000880126953125,0.57,0.0,-0.0121875,1,0.004486066401004791,0.00034309204085730016,-4.746496677398682e-05,0.026932533589978176,0.01484375,1071,1061,0.58
L18.H6,100,-0.0008099365234375,0.49,0.0,-0.006015625,1,0.0068328407406806945,0.0003038116668903967,-1.3981461524963378e-05,0.057398159906421685,0.04201171875,1071,1048,0.6
