head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,The opposite gender of goddess is the,-0.000244140625,0.0,False,1,6.617692947387695,6.616667747497559,-0.0010251998901367188,6.960531027289107e-05,-5.960464477539062e-07,-0.003915426781519186,0.0,815,813,True
L0.H0,1,The opposite gender of prince is the,0.00067138671875,0.0078125,False,1,6.714109420776367,6.706831455230713,-0.007277965545654297,9.337934898212552e-06,9.5367431640625e-07,0.0006693440428380187,0.0,101,100,True
L0.H0,2,The opposite gender of bride is the,-0.005859375,-0.0234375,False,1,3.2680201530456543,3.298093795776367,0.03007364273071289,0.0002433855552226305,2.384185791015625e-07,0.017467248908296942,0.001953125,1591,1583,True
L0.H0,3,The opposite gender of wizard is the,1.52587890625e-05,0.0,False,1,6.806929588317871,6.807854652404785,0.0009250640869140625,8.205579069908708e-05,-7.152557373046875e-07,-0.01866251944012442,-0.01953125,2155,2188,False
L0.H0,4,The opposite gender of nephew is the,0.00079345703125,0.015625,False,1,5.539750099182129,5.525100231170654,-0.01464986801147461,6.081763422116637e-05,2.86102294921875e-06,0.002529510961214165,0.0078125,97,96,True
L0.H0,5,The opposite gender of groom is the,0.0,0.0,False,1,6.353367805480957,6.360025882720947,0.006658077239990234,1.799418532755226e-05,1.5497207641601562e-06,0.007527504342790967,0.0078125,552,546,True
L0.H0,6,The opposite gender of stewardess is the,0.00189208984375,0.0234375,False,1,6.090196132659912,6.07204532623291,-0.018150806427001953,0.00015346769941970706,-7.152557373046875e-07,-0.002411575562700965,0.0,390,390,False
L0.H0,7,The opposite gender of king is the,-0.000732421875,-0.0078125,False,1,6.170797348022461,6.17404842376709,0.0032510757446289062,0.00013955075701233,-5.7220458984375e-06,-0.0044742729306487695,-0.0078125,113,114,False
L0.H0,8,The opposite gender of heroine is the,0.0003662109375,0.0078125,False,1,6.216458320617676,6.213958740234375,-0.0024995803833007812,0.00013435527216643095,9.5367431640625e-07,0.0005803830528148578,0.00390625,74,74,False
L0.H0,9,The opposite gender of husband is the,0.00067138671875,0.0078125,False,1,5.8812761306762695,5.881595611572266,0.00031948089599609375,1.597924347152002e-05,0.0001373291015625,0.006792452830188679,0.0078125,5,5,False
L0.H0,10,The opposite gender of wife is the,-0.000244140625,0.0,False,1,5.4673919677734375,5.466902732849121,-0.0004892349243164062,5.698603126802482e-05,2.384185791015625e-06,0.00665335994677312,0.0078125,270,270,False
L0.H0,11,The opposite gender of niece is the,-9.1552734375e-05,0.0,False,1,6.180138111114502,6.178003311157227,-0.0021347999572753906,5.363556556403637e-05,-9.5367431640625e-07,-0.00130718954248366,0.0,162,162,False
L0.H0,12,The opposite gender of widow is the,-0.002685546875,-0.0234375,False,1,5.205077171325684,5.228925704956055,0.023848533630371094,0.00016878219321370125,4.76837158203125e-07,0.0015552099533437014,-0.0078125,262,267,False
L0.H0,13,The opposite gender of queen is the,9.1552734375e-05,0.0,False,1,6.673324108123779,6.672150135040283,-0.0011739730834960938,-1.8225458916276693e-05,-1.9073486328125e-06,-0.001762114537444934,-0.00390625,139,139,False
L0.H0,14,The opposite gender of brother is the,0.00152587890625,0.015625,False,1,5.755229949951172,5.744688987731934,-0.010540962219238281,8.964537119027227e-05,-5.960464477539062e-07,-0.002678093197643278,0.0,416,416,False
L0.H0,15,The opposite gender of widower is the,-0.009521484375,-0.0390625,False,1,4.566003799438477,4.626965522766113,0.06096172332763672,0.00033883540891110897,1.6689300537109375e-05,0.01858736059479554,0.0078125,92,90,True
L0.H0,16,The opposite gender of uncle is the,0.00146484375,0.0078125,False,1,5.98775577545166,5.987873077392578,0.00011730194091796875,8.351536234840751e-05,1.0967254638671875e-05,0.023871302542812663,0.01953125,223,220,True
L0.H1,0,The opposite gender of goddess is the,-6.103515625e-05,0.0,False,1,6.617692947387695,6.615924835205078,-0.0017681121826171875,-1.6155099729076028e-05,-2.384185791015625e-07,-0.0015661707126076742,0.0,815,814,True
L0.H1,1,The opposite gender of prince is the,0.0001220703125,0.0,False,1,6.714109420776367,6.715397357940674,0.0012879371643066406,-4.420412005856633e-05,-3.814697265625e-06,-0.002677376171352075,-0.00390625,101,100,True
L0.H1,2,The opposite gender of bride is the,-0.00048828125,0.0,False,1,3.2680201530456543,3.2665622234344482,-0.0014579296112060547,6.551624392159283e-05,5.960464477539063e-08,0.004366812227074236,0.00390625,1591,1585,True
L0.H1,3,The opposite gender of wizard is the,3.0517578125e-05,0.0,False,1,6.806929588317871,6.807243824005127,0.0003142356872558594,2.1177707822062075e-05,1.1920928955078125e-07,0.003110419906687403,0.001953125,2155,2151,True
