head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L16.H1,17,-0.05573227826286765,0.9411764705882353,0.29411764705882354,-0.6300551470588235,1,0.3640446943395278,0.09225415799985914,0.004703900393317728,5.3820259296702435,1.4526654411764706,439,169,0.9411764705882353
L13.H2,17,-0.03519305060891544,0.7647058823529411,0.4117647058823529,-0.5197610294117647,2,0.2656909157248104,0.08742535158115275,0.0012116502313052908,1.3832576682792668,0.6422334558823529,439,224,1.0
L10.H7,17,-0.02082061767578125,0.5882352941176471,0.29411764705882354,-0.31112132352941174,2,0.03394652815426097,0.04108965920065256,0.0012787755797891056,-0.07541629183974316,-0.21645220588235295,439,503,0.35294117647058826
L14.H7,17,-0.016892377068014705,0.4117647058823529,0.0,-0.1015625,1,0.11227778827442843,0.020971294917056665,0.0012847535750445198,1.7819223944153868,0.7078354779411765,439,276,0.9411764705882353
L14.H12,17,-0.016098920036764705,0.8235294117647058,0.058823529411764705,-0.16498161764705882,1,0.11908132889691521,0.009999848950161216,0.00023350294898538028,0.47631866338512124,0.3096277573529412,439,338,0.8823529411764706
L14.H4,17,-0.013875624712775736,0.8235294117647058,0.17647058823529413,-0.16130514705882354,1,0.11068081855773926,0.015181516050635016,0.0005461748908547795,1.002587243921835,0.51953125,439,288,0.8823529411764706
L9.H8,17,-0.012522080365349264,0.5294117647058824,0.17647058823529413,-0.14935661764705882,1,0.11229301901424632,0.015549534342854339,0.0002625584602355957,0.2112979665302394,0.13706341911764705,439,379,0.7647058823529411
L14.H5,17,-0.011578728170955883,0.7647058823529411,0.058823529411764705,-0.1135110294117647,1,0.10370135307312012,0.015111087794032167,0.0005117479492636288,0.8320982557416208,0.5150505514705882,439,294,0.9411764705882353
L23.H9,17,-0.0064849853515625,0.7647058823529411,0.058823529411764705,-0.09375,1,0.06253292981316061,0.003528208410203019,0.00015638155095717485,0.19328009252353398,0.13752297794117646,439,369,0.9411764705882353
L19.H3,17,-0.0054689295151654415,0.6470588235294118,0.11764705882352941,-0.08272058823529412,1,0.038909042582792396,0.0020448789595427703,9.934341206270106e-05,0.1641098712531716,0.13028492647058823,439,390,0.8823529411764706
L13.H8,17,-0.00515298282398897,0.7058823529411765,0.0,-0.04641544117647059,1,0.03940150317023782,0.002719809225869968,0.0002985070733463063,0.18992883627524387,0.14947150735294118,439,408,0.8823529411764706
L23.H13,17,-0.005098230698529412,1.0,0.11764705882352941,-0.05606617647058824,1,0.038793423596550435,0.0009311427557430066,3.149228937485639e-05,0.08643939263059502,0.06479779411764706,439,412,0.8823529411764706
