head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L12.H0,27,-0.2659573025173611,0.8518518518518519,0.6666666666666666,-1.5075231481481481,3,0.6124195434429027,0.5153360308872329,0.05785689530549226,32.659344746816856,2.2893744574652777,2366,891,1.0
L13.H2,27,-0.04569046585648148,0.6296296296296297,0.037037037037037035,-0.3871527777777778,1,0.32312627633412677,0.07237953951375352,0.004368684909961841,10.07806457751045,1.5409478081597223,2366,554,0.8518518518518519
L22.H2,27,-0.03088604962384259,0.8888888888888888,0.0,-0.16550925925925927,1,0.13627695595776593,0.007011320114273716,0.0014530508606522172,0.6616106005294744,0.34709563078703703,2366,1871,0.8518518518518519
L23.H11,27,-0.022117332175925927,0.7407407407407407,0.0,-0.2048611111111111,1,0.10832689868079291,0.013266394545401758,0.00203609687310678,0.5660761361567432,0.22922544126157407,2366,1721,0.7407407407407407
L21.H0,27,-0.018760398582175927,0.6666666666666666,0.0,-0.07436342592592593,1,0.06586823640046297,0.00742162505560339,0.0008468826611836752,0.33024897500930667,0.16361490885416666,2366,2208,0.4444444444444444
L14.H2,27,-0.015530056423611112,0.6666666666666666,0.0,-0.10300925925925926,1,0.10869046935328731,0.009763008469168132,0.00023441182242499458,0.9870495413762791,0.42048701533564814,2366,1452,0.5555555555555556
L13.H1,27,-0.014139811197916666,0.7037037037037037,0.0,-0.024305555555555556,1,0.04968812730577257,0.006188772270602554,0.00047132924750999166,0.6810333101709567,0.3101829246238426,2366,1896,0.7037037037037037
L12.H7,27,-0.013900191695601851,0.6296296296296297,0.0,0.0014467592592592592,1,-0.005072942486515752,0.02394095214118284,0.0004404253429836697,-0.285219976798192,-0.38035300925925924,2366,2879,0.1111111111111111
L23.H9,27,-0.011375144675925927,0.7037037037037037,0.0,-0.10590277777777778,1,0.04458036246123137,0.00438854486586664,0.0011677984838132506,0.29664850951023986,0.15025047019675927,2366,1948,0.7777777777777778
L16.H13,27,-0.009960033275462963,0.6666666666666666,0.037037037037037035,-0.052662037037037035,1,0.05886245656896521,0.007118366783726271,0.00042888853285047744,1.3038981423376894,0.40797706886574076,2366,2158,0.7037037037037037
L11.H2,27,-0.009632251880787037,0.7777777777777778,0.0,-0.03530092592592592,1,0.05162589638321488,0.0027898370829428096,2.8098071063006365e-05,-0.09348149510503916,-0.10408076533564815,2366,2613,0.0
L9.H12,27,-0.009577998408564815,0.5925925925925926,0.037037037037037035,-0.08825231481481481,1,0.03423906697167291,0.017075648272616997,0.0015628713148611564,0.24996717044682606,0.09357367621527778,2366,2257,0.5925925925925926
L9.H8,27,-0.009121365017361112,0.5185185185185185,0.037037037037037035,-0.10358796296296297,1,0.029833330048455134,0.013589945330750197,-0.0005111319047433359,0.27922257213732676,0.12189737955729167,2366,2062,0.7407407407407407
L11.H12,27,-0.008314344618055556,0.5555555555555556,0.0,-0.061921296296296294,1,0.07197704138579192,0.006729027477882078,-0.0005491861590632686,0.687811409673833,0.3898338035300926,2366,1616,0.7407407407407407
L3.H12,27,-0.007950394241898149,0.7777777777777778,0.0,-0.042534722222222224,1,0.03183354271782769,0.0011032026746694032,-8.6788777951841e-05,0.06091008771621671,0.00669578269675926,2366,2230,0.4074074074074074
L10.H7,27,-0.007796676070601852,0.5185185185185185,0.0,-0.04513888888888889,1,0.01607836617363824,0.013216751653494107,0.0007337905742503979,-0.08916168844582041,-0.14107259114583334,2366,2693,0.2962962962962963
L8.H0,27,-0.006252712673611111,0.5555555555555556,0.0,-0.05092592592592592,1,0.03725744618309869,0.0025260826687035325,-0.00012192240467777958,0.0053545984957919235,-0.03058087384259259,2366,2426,0.4074074074074074
L11.H1,27,-0.005990487557870371,0.5185185185185185,0.037037037037037035,-0.006076388888888889,1,0.00263488734209979,0.0032416989356365607,1.1700171011465567e-06,0.0363276824280777,0.06214735243055555,2366,2462,0.5925925925925926
L5.H10,27,-0.005985966435185185,0.6666666666666666,0.037037037037037035,-0.03935185185185185,1,0.02080780929989285,0.0026889495267015365,0.00012159126776236075,0.09842083840438597,0.052799366138599535,2366,2285,0.5555555555555556
L8.H8,27,-0.00584129050925926,0.5555555555555556,0.037037037037037035,-0.06018518518518518,1,0.020374651308412903,0.0031829702547164977,0.00036631027857462567,0.15297826157556538,0.05726453993055555,2366,2179,0.5925925925925926
L5.H8,27,-0.005782515914351852,0.7037037037037037,0.0,-0.027777777777777776,1,0.014123457449453848,0.0025618872400459455,-0.0001167191399468316,0.06750947449419689,0.023157190393518517,2366,2252,0.48148148148148145
L9.H14,27,-0.005504466869212963,0.8148148148148148,0.0,-0.014467592592592593,1,0.012145444198890968,0.0008167120799448134,0.0002827401514406557,-0.017797031650256447,-0.006528501157407407,2366,2545,0.2962962962962963
L17.H10,27,-0.004724573206018518,0.6296296296296297,0.0,-0.09375,1,0.06613719021832501,0.008186336523741138,-0.00022622170271696868,0.967521473500595,0.35588017216435186,2366,1729,0.6666666666666666
L10.H9,27,-0.004238552517361111,0.6296296296296297,0.037037037037037035,-0.04861111111111111,1,0.02370393717730487,0.002522988377475283,6.295795793886538e-05,0.3743183100120487,0.2313232421875,2366,2020,0.7037037037037037
L23.H10,27,-0.004121003327546296,0.6296296296296297,0.0,-0.009548611111111112,1,0.005853714766325774,0.0008957806472877834,0.00024060849790219908,0.014646305513307424,0.014571578414351851,2366,2358,0.37037037037037035
L11.H14,27,-0.004105179398148148,0.48148148148148145,0.037037037037037035,-0.12094907407407407,1,0.014414354606910987,0.013158882403297833,0.0003107786178588867,0.9429656210488123,0.43037471064814814,2366,1786,0.7777777777777778
L12.H14,27,-0.003919813368055556,0.7037037037037037,0.0,-0.052662037037037035,1,0.02440027395884196,0.0017321092411832608,-7.943091569123444e-05,0.33121446549365885,0.19099482783564814,2366,2129,0.7037037037037037
L6.H8,27,-0.003646285445601852,0.5925925925925926,0.0,0.006076388888888889,1,0.0053106678856743705,0.002774149097536725,0.0007574160893758138,0.08110139531307177,0.07664207175925926,2366,2296,0.5185185185185185
L2.H6,27,-0.003628200954861111,0.5555555555555556,0.0,-0.026331018518518517,1,0.015014701419406466,0.0010879462052899827,-9.495902944494176e-05,-0.020391930176821445,-0.0186767578125,2366,2462,0.25925925925925924
L2.H5,27,-0.003273292824074074,0.5925925925925926,0.0,-0.006944444444444444,1,0.007032107423852991,0.0003678190044377482,-5.43815118295175e-05,0.007759249389180834,0.010100188078703705,2366,2354,0.3333333333333333
L6.H14,27,-0.0031783492476851853,0.7037037037037037,0.0,-0.022858796296296297,1,0.012242679242734556,0.00053132379993999,-0.00015114634125321,0.013465382515264027,-0.003594292534722222,2366,2388,0.4444444444444444
L11.H0,27,-0.0031693070023148147,0.5925925925925926,0.0,-0.015914351851851853,1,0.013934073624787506,0.0017025596828682832,9.903642866346572e-05,0.008784911095015,-0.006551106770833333,2366,2358,0.25925925925925924
L3.H1,27,-0.0031534830729166665,0.5555555555555556,0.0,-0.03211805555555555,1,0.01567556239940502,0.0017920830330156066,3.3142390074553315e-05,0.01685334578915099,-0.012862594039351851,2366,2372,0.37037037037037035
L11.H4,27,-0.0030517578125,0.5185185185185185,0.0,-0.005208333333333333,1,0.0017145121539080585,0.001468203171195152,0.00027850380650273074,-0.0039008345421703196,-0.004426179108796296,2366,2360,0.3333333333333333
L19.H3,27,-0.0028030960648148147,0.7037037037037037,0.0,-0.020543981481481483,1,0.018609108748259367,0.000350346187823797,-6.203077457569264e-05,0.11896391965679204,0.07236508969907407,2366,2103,0.48148148148148145
L7.H1,27,-0.0027443214699074073,0.5925925925925926,0.0,-0.013888888888888888,1,0.011960135565863715,0.0008642905018792522,1.8152925703260633e-05,-0.02989022483745662,-0.020381221064814815,2366,2550,0.25925925925925924
L8.H9,27,-0.0026380750868055555,0.5925925925925926,0.0,-0.004340277777777778,1,0.0015685911531801576,0.00048787167098554265,5.866642351503725e-05,-0.01719430272944328,-0.005343967013888889,2366,2467,0.37037037037037035
L10.H3,27,-0.0025928638599537037,0.6296296296296297,0.0,-0.015335648148148149,1,0.013940996593899198,0.0005893465853727388,0.00024066589496753835,0.03867875495476976,0.0313720703125,2366,2379,0.4074074074074074
L5.H0,27,-0.0025612160011574073,0.5555555555555556,0.0,-0.024016203703703703,1,0.010632541444566514,0.0006416072842343796,0.0005919248969466598,0.007159195892776703,-0.010172526041666666,2366,2419,0.18518518518518517
L11.H8,27,-0.002536349826388889,0.6666666666666666,0.0,-0.011574074074074073,1,0.010666494016294126,0.000665228296754692,3.244037981386538e-05,0.07203475485759032,0.033772786458333336,2366,2199,0.5925925925925926
