head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L23.H2,23,-0.06325365149456522,1.0,0.17391304347826086,-0.44938858695652173,1,0.4369134695633598,0.03353981912621985,0.0007002742394157078,1.119519944215466,0.532608695652174,509,354,1.0
L22.H9,23,-0.03367283033288043,0.8260869565217391,0.08695652173913043,-0.21942934782608695,1,0.2168621705925983,0.016863670200109482,0.002073941023453422,0.7707162870354943,0.44565217391304346,509,401,1.0
L13.H15,23,-0.033372961956521736,0.8260869565217391,0.17391304347826086,-0.22486413043478262,1,0.2915856216264808,0.031703250766124416,0.0018291836199553115,4.564173472662678,1.109375,509,272,1.0
L22.H0,23,-0.031602942425271736,0.9130434782608695,0.13043478260869565,-0.28532608695652173,1,0.3081200122833252,0.030743877504668806,0.0013127923011779785,0.9174849966999375,0.46467391304347827,509,373,1.0
L12.H15,23,-0.029997452445652172,0.8260869565217391,0.17391304347826086,-0.2265625,1,0.28247114886408264,0.026878009408550417,0.001359198404395062,1.0459256181388827,0.5891644021739131,509,377,1.0
L11.H6,23,-0.023578146229619564,0.6521739130434783,0.21739130434782608,-0.12228260869565218,1,0.08586922935817552,0.06717037490528563,0.0024897948555324388,3.408649202942589,1.3617527173913044,509,196,1.0
L18.H4,23,-0.022346828294836956,0.782608695652174,0.08695652173913043,-0.19802989130434784,1,0.20694565773010254,0.014223915686749893,0.0008967829787212869,2.561947214621963,0.97265625,509,225,0.9130434782608695
L14.H5,23,-0.021550717561141304,0.782608695652174,0.08695652173913043,-0.1328125,1,0.1753406524658203,0.019756027801043314,0.0006106703177742336,2.0248924946879208,0.8211616847826086,509,280,0.9130434782608695
L13.H6,23,-0.021242888077445652,0.8260869565217391,0.0,-0.17119565217391305,1,0.2172735255697499,0.0284126706664329,0.0005401657975238303,0.8380712427139866,0.4947350543478261,509,363,0.9565217391304348
L16.H5,23,-0.019491444463315216,0.8260869565217391,0.08695652173913043,-0.1331521739130435,1,0.13551030988278595,0.012025681358468517,0.00039599511934363323,2.272229179206959,0.5715013586956522,509,387,0.8695652173913043
