head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L23.H9,23,-0.0538330078125,1.0,0.043478260869565216,-0.3413722826086957,1,0.27205238134964654,0.016122299003536286,2.9452469037926715e-05,0.7038642170986703,0.4043127972146739,5254,4334,1.0
L12.H15,23,-0.050168244735054345,0.782608695652174,0.13043478260869565,-0.4921875,1,0.4167654410652492,0.06673063353999802,0.0002982590509497601,8.487004003375564,1.654206649116848,5254,1970,1.0
L22.H2,23,-0.045014754585597824,1.0,0.17391304347826086,-0.36277173913043476,1,0.2976310564124066,0.027026530942353216,2.7252280193826426e-05,1.347863384678281,0.6226700492527174,5254,3862,1.0
L20.H6,23,-0.032831606657608696,0.8260869565217391,0.08695652173913043,-0.15998641304347827,1,0.11082983016967773,0.008217279439913515,1.3177809507950492e-05,0.3760135801522269,0.24931003736413043,5254,4693,0.8695652173913043
L16.H2,23,-0.031587020210597824,0.6956521739130435,0.13043478260869565,-0.2418478260869565,1,0.15643364450205927,0.02225300438357922,5.883496740589971e-05,6.037367722955998,0.828353218410326,5254,3732,0.9565217391304348
L19.H2,23,-0.028744904891304348,1.0,0.0,-0.203125,1,0.1849908206773841,0.007500800810268392,3.5599521968675695e-05,1.4108224440597699,0.7540601647418478,5254,3644,1.0
L13.H6,23,-0.02804963485054348,0.782608695652174,0.13043478260869565,-0.29653532608695654,1,0.2192896449047586,0.03304902676735883,5.278898322063944e-05,3.2107300193123205,1.058113429857337,5254,2888,1.0
L17.H7,23,-0.024146038552989132,0.8260869565217391,0.043478260869565216,-0.15489130434782608,1,0.147818254387897,0.012434552979159533,6.69308330701745e-05,1.906764579717342,0.501693062160326,5254,4652,0.8260869565217391
L19.H3,23,-0.022747537364130436,0.43478260869565216,0.043478260869565216,-0.17527173913043478,1,0.10382526853810185,0.051649303708868305,0.00036470527234284776,9.21572264044119,0.29775602921195654,5254,5074,0.5652173913043478
L14.H5,23,-0.019908075747282608,0.6521739130434783,0.08695652173913043,-0.16474184782608695,1,0.13273443346438202,0.013990913720234581,5.3366889124331266e-05,2.910161035832631,1.0412544582201086,5254,3343,0.9565217391304348
L16.H15,23,-0.017708156419836956,0.5652173913043478,0.13043478260869565,-0.13349184782608695,1,0.09023561684981636,0.012545733974548057,5.024930705194888e-05,4.55798425632472,0.7434665845788043,5254,3712,0.9130434782608695
L19.H11,23,-0.013987665591032608,0.8260869565217391,0.043478260869565216,-0.11854619565217392,1,0.08092580670895784,0.00915542249782922,8.99511834849482e-06,0.8865185552860504,0.3193943189538043,5254,4203,0.9130434782608695
L14.H12,23,-0.013762100883152174,0.7391304347826086,0.0,-0.15455163043478262,1,0.12535658090010934,0.006352779488382942,1.1451866315758746e-05,0.7512695914834253,0.4146091627038043,5254,4221,0.9565217391304348
L14.H7,23,-0.01329239555027174,0.782608695652174,0.08695652173913043,-0.09307065217391304,1,0.07033404060032057,0.007332739170954522,1.6168407771898352e-05,1.6791630615023043,0.6468824303668478,5254,3948,0.8695652173913043
L13.H0,23,-0.01301375679347826,0.6956521739130435,0.0,-0.07404891304347826,1,0.07553004181903342,0.007015737603701975,2.597207608430282e-05,0.48655712773562537,0.2663733440896739,5254,4820,0.9130434782608695
