head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L12.H0,159,-0.2944930184562251,0.949685534591195,0.7484276729559748,-2.4865369496855347,12,0.7557207769567862,1.3833707607579682,0.012151303531238868,15883.388367870213,2.2151243581711872,2068,338,0.8805031446540881
L13.H1,159,-0.16782494311062796,0.8616352201257862,0.4276729559748428,-1.0537047955974843,3,0.4143525146463382,0.5717908965157192,0.0035903926165598743,33367.6993964976,0.587486411040684,2068,1110,0.6540880503144654
L13.H6,159,-0.08691968857867163,0.7421383647798742,0.32075471698113206,-0.6026926100628931,3,0.24842777941961708,0.3329130037894191,0.0006370060848739912,377.1570585230721,0.3301107538571148,2068,1632,0.5911949685534591
L16.H14,159,-0.08117315904149469,0.6415094339622641,0.31446540880503143,-0.6257370283018868,2,0.07969072273692245,0.4244755134304968,0.004233657564007261,0.5636088824271058,-0.19357395771914307,2068,2042,0.37735849056603776
L17.H9,159,-0.07984655608171187,0.6666666666666666,0.2578616352201258,-0.4837362421383648,2,0.08290232315003497,0.31322698050616793,2.6412355075092437e-05,1.066099019764146,0.20945576601808177,2068,1998,0.5849056603773585
L16.H12,159,-0.06342677950109325,0.6226415094339622,0.22012578616352202,-0.5432389937106918,3,0.03780887224389322,0.35459656915552373,0.00391020564913,0.8475634328405084,0.022925802746658806,2068,2065,0.41509433962264153
L18.H14,159,-0.061997467616818985,0.6352201257861635,0.2138364779874214,-0.3127456761006289,1,0.09704752650650793,0.1476903169517663,0.000414679635245845,0.4798516515449934,0.14961060338050314,2068,1926,0.5094339622641509
L12.H6,159,-0.06012274784112127,0.6855345911949685,0.20754716981132076,-0.39573506289308175,2,0.17449195617399876,0.21011020218200818,-0.0007867610679482514,1500.0298621187521,0.008616705360652515,2068,1848,0.49056603773584906
L13.H13,159,-0.05971378350407822,0.6918238993710691,0.18867924528301888,-0.34320951257861637,1,0.1671340489912333,0.11211795150522003,-0.0009681095117293064,0.36918026164560197,0.050934413693985846,2068,1971,0.5911949685534591
L16.H11,159,-0.05391726703763758,0.6352201257861635,0.27044025157232704,-0.3856132075471698,2,-0.011013427995285898,0.21176696463734052,-0.0006651098623215777,-0.23947651937791423,-0.7292123470666274,2068,2891,0.20125786163522014
L17.H3,159,-0.052696851814318005,0.5849056603773585,0.2138364779874214,-0.3923938679245283,2,0.12997245413702238,0.19920384566154647,0.0015372165344046346,375.8801228563737,0.06402434343062106,2068,2047,0.4968553459119497
L22.H2,159,-0.05187700379569576,0.8301886792452831,0.0880503144654088,-0.4386792452830189,1,0.35623068479621933,0.04324093763350433,0.003439984606496943,1878.058102836359,1.1171855806554638,2068,954,0.9685534591194969
