head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,"Find the pattern: 2, 5, 11, 23, 47, 95,",0.0009765625,0.0078125,False,1,2.9341931343078613,2.932358503341675,-0.0018346309661865234,-3.9143196772783995e-05,5.960464477539063e-08,0.004694835680751174,0.0078125,276,276,False
L0.H0,1,"Find the pattern: 8, 18, 38, 78, 158, 318,",0.001220703125,0.0078125,False,1,2.8753576278686523,2.873420476913452,-0.0019371509552001953,1.3355984265217558e-05,1.430511474609375e-06,0.0031479538300104933,0.0078125,94,94,False
L0.H0,2,"Find the pattern: 13, 27, 55, 111, 223, 447,",-0.00341796875,-0.015625,False,1,1.3328787088394165,1.3419418334960938,0.009063124656677246,-0.00011476648069219664,3.814697265625e-05,0.009328358208955223,0.0,9,9,False
L0.H0,3,"Find the pattern: 10, 21, 43, 87, 175, 351,",-0.0009765625,0.0,False,1,2.007302761077881,2.010878086090088,0.0035753250122070312,0.00012098017032258213,0.0,0.0,0.0203857421875,10010,10001,True
L0.H0,4,"Find the pattern: 3, 8, 18, 38, 78, 158,",-0.001708984375,-0.015625,False,1,3.07232666015625,3.079137086868286,0.006810426712036133,3.7842670280952007e-05,1.3113021850585938e-06,0.01,0.0,141,141,False
L0.H0,5,"Find the pattern: 18, 37, 75, 151, 303, 607,",0.0029296875,0.015625,False,1,2.1353302001953125,2.126016139984131,-0.00931406021118164,0.00012016460095765069,-0.0010986328125,-0.010146561443066516,0.0,2,2,False
L0.H0,6,"Find the pattern: 16, 33, 67, 135, 271, 543,",0.000244140625,0.0,False,1,2.041450262069702,2.040947914123535,-0.0005023479461669922,-5.409486766438931e-05,9.5367431640625e-07,0.0007961783439490446,0.0,21,21,False
L0.H0,7,"Find the pattern: 11, 23, 47, 95, 191, 383,",0.0,0.0,False,1,0.7295907735824585,0.7294657230377197,-0.00012505054473876953,0.00014556682435795665,2.980232238769531e-07,0.00922509225092251,0.0078125,99,100,False
L0.H0,8,"Find the pattern: 8, 17, 35, 71, 143, 287,",0.0010986328125,0.015625,False,1,2.9970340728759766,2.9891653060913086,-0.007868766784667969,0.00015086797066032887,-3.5762786865234375e-07,-0.008888888888888889,0.0,135,135,False
L0.H0,9,"Find the pattern: 14, 29, 59, 119, 239, 479,",0.00048828125,0.0,False,1,1.1748075485229492,1.1731270551681519,-0.0016804933547973633,-0.0002730209962464869,0.0,0.0,0.0078125,2168,2177,False
L0.H0,10,"Find the pattern: 3, 7, 15, 31, 63, 127,",-0.003662109375,-0.015625,False,1,2.6310486793518066,2.637320041656494,0.0062713623046875,-1.2241769582033157e-05,5.960464477539063e-08,0.007874015748031496,0.0078125,363,363,False
L0.H0,11,"Find the pattern: 19, 39, 79, 159, 319, 639,",-0.00244140625,0.0,False,1,1.815859079360962,1.8240126371383667,0.008153557777404785,2.2727937903255224e-05,5.960464477539063e-08,0.058823529411764705,0.03125,1019,990,True
L0.H0,12,"Find the pattern: 5, 11, 23, 47, 95, 191,",-0.001953125,0.0,True,1,2.741982936859131,2.7441000938415527,0.002117156982421875,-8.479056850774214e-05,-5.960464477539063e-08,-0.0009652509652509653,0.0078125,152,152,False
