head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L7.H7,30,-0.4026811520258586,1.0,0.9,-5.060677083333333,35,1.012438666820526,3.4151871080199876,0.082691357533137,11767237.630636431,3.8664143880208335,1212,219,0.8666666666666667
L12.H0,30,-0.17453290621439616,0.8,0.5,-1.2872395833333334,4,0.1998658080895742,0.8377872911902765,0.0008561015129089355,7950.0793792010645,0.7291097005208333,1212,838,0.7666666666666667
L10.H8,30,-0.12626139322916666,0.8,0.3333333333333333,-0.646875,2,0.3293031513690948,0.2711370889097452,0.0014123260974884034,13912.810834086595,0.9957112630208333,1212,636,0.7333333333333333
L10.H9,30,-0.112554931640625,0.8666666666666667,0.36666666666666664,-0.6635416666666667,2,0.29058841864267987,0.31549682129795353,0.0005739728609720866,1987.6559497872288,0.26717936197916664,1212,1318,0.6333333333333333
L10.H11,30,-0.05515340169270833,0.7666666666666667,0.1,-0.296875,1,0.17352202534675598,0.06085362016844253,0.00034180283546447754,1987.0293539732238,0.09239705403645833,1212,1287,0.5
L13.H6,30,-0.05144220987955729,0.7333333333333333,0.2,-0.34375,2,0.20264580051104228,0.3169801165466197,-0.0007011195023854574,57620.24231983561,0.5721110026041667,1212,519,0.5333333333333333
L10.H7,30,-0.044073486328125,0.7333333333333333,0.26666666666666666,-0.34791666666666665,1,0.07768390874067942,0.0845445042864109,0.0004390120506286621,1986.9203393410166,-0.13109537760416667,1212,1415,0.3333333333333333
L22.H2,30,-0.0299560546875,0.7,0.06666666666666667,-0.3763020833333333,1,0.18389204343159993,0.033689641207456586,0.0009435852368672689,17884.79574562456,1.0504150390625,1212,608,0.8666666666666667
L12.H15,30,-0.02928466796875,0.6666666666666666,0.13333333333333333,-0.08177083333333333,1,0.05888669490814209,0.06990225850216424,0.00017329653104146322,1987.0610427392746,0.2575276692708333,1212,930,0.6
L16.H13,30,-0.029176839192708335,0.6333333333333333,0.16666666666666666,-0.30416666666666664,1,0.08753517270088196,0.07735494629790386,0.0034998555978139243,1987.5744677743169,0.24784749348958332,1212,1271,0.4666666666666667
L12.H13,30,-0.027199300130208333,0.6666666666666666,0.16666666666666666,-0.1,1,-0.00024051864941914875,0.06991970527063435,0.00025601585706075034,5960.842085508122,0.36558430989583335,1212,884,0.5666666666666667
L13.H2,30,-0.02332763671875,0.4666666666666667,0.16666666666666666,-0.103125,1,-0.04237236579259237,0.07249515396542847,0.0017264405886332193,0.5582995866629096,0.4195475260416667,1212,1195,0.8
L13.H1,30,-0.022989908854166668,0.7,0.2,-0.07369791666666667,1,0.04064716100692749,0.06313990745693446,-0.0004242241382598877,3974.459578404625,0.47119140625,1212,1084,0.6333333333333333
L12.H7,30,-0.022353108723958334,0.43333333333333335,0.13333333333333333,-0.19973958333333333,1,0.044099700450897214,0.05286671239882708,0.0003286560376485189,0.10299404837542268,-0.13421223958333334,1212,1270,0.3
L6.H4,30,-0.02127685546875,0.6,0.13333333333333333,-0.05130208333333333,1,0.022767380873362223,0.017311920180994398,-0.00011568665504455567,0.0939987604393314,0.0733306884765625,1212,1141,0.6666666666666666
L16.H12,30,-0.017757161458333334,0.6333333333333333,0.2,-0.18958333333333333,1,0.0031370282173156737,0.09673914123171319,0.0017992118994394938,0.06394332146893099,-0.1810791015625,1212,1529,0.23333333333333334
L5.H3,30,-0.016902669270833334,0.7,0.06666666666666667,-0.023697916666666666,1,0.02886692484219869,0.013205204048426821,0.00013422171274820964,1986.8600397885084,0.04576822916666667,1212,1193,0.4666666666666667
L16.H14,30,-0.012711588541666667,0.6333333333333333,0.1,-0.15572916666666667,1,0.05559695959091186,0.026305369873686382,-2.38498051961263e-05,1986.9902713672768,0.043603515625,1212,1216,0.43333333333333335
L18.H7,30,-0.012569173177083334,0.4,0.06666666666666667,-0.027604166666666666,1,0.007263014713923137,0.010210681038006441,-5.033413569132487e-05,0.04260120683290138,0.007474772135416667,1212,1217,0.36666666666666664
L1.H11,30,-0.012027994791666666,0.6666666666666666,0.0,-0.034375,1,0.03816683888435364,0.006476894779674088,-0.0006365875403086344,0.0351417801385774,-0.0025838216145833335,1212,1174,0.5
L9.H12,30,-0.01085205078125,0.5666666666666667,0.1,-0.0546875,1,0.0336485763390859,0.027731743544184912,0.0007070024808247884,0.14108050043832093,0.0776763916015625,1212,1244,0.43333333333333335
L9.H2,30,-0.010257975260416666,0.6,0.1,-0.029166666666666667,1,0.014118186632792155,0.008435118621370445,-0.00014354387919108074,0.06396370464124011,0.03500162760416667,1212,1163,0.5666666666666667
L3.H5,30,-0.00980224609375,0.6333333333333333,0.03333333333333333,-0.03723958333333333,1,0.026260761419932048,0.004313219534621263,-0.0002665996551513672,0.002107137844803863,-0.0189208984375,1212,1226,0.23333333333333334
L9.H8,30,-0.009375,0.6,0.03333333333333333,-0.022135416666666668,1,0.016494550307591758,0.007950823303932946,0.00023490190505981445,0.14074273495880982,0.1359064737955729,1212,1135,0.6666666666666666
L14.H14,30,-0.008907063802083334,0.5333333333333333,0.06666666666666667,-0.09921875,1,0.03030644456545512,0.00957230527419597,0.0006073991457621257,0.028052524395778395,-0.06968587239583333,1212,1252,0.3333333333333333
L16.H9,30,-0.008367919921875,0.6,0.03333333333333333,-0.04114583333333333,1,0.02770074407259623,0.009752107823927266,0.00033636093139648436,0.059640603739354855,0.013313802083333333,1212,1260,0.43333333333333335
L19.H4,30,-0.00794677734375,0.6333333333333333,0.03333333333333333,-0.03515625,1,0.029125561316808064,0.005162350505512828,1.8280744552612304e-05,0.030357174731896454,0.017207845052083334,1212,1219,0.16666666666666666
L7.H10,30,-0.00789794921875,0.5666666666666667,0.06666666666666667,-0.015364583333333333,1,0.0033228854338328046,0.004604045080486685,-0.00013302763303120932,0.03210438213755976,0.039265950520833336,1212,1226,0.4666666666666667
L11.H3,30,-0.007356770833333333,0.6,0.1,-0.03697916666666667,1,0.003391853968302409,0.007011824768657486,0.00044687986373901365,0.04235241474527419,0.04055023193359375,1212,1217,0.4666666666666667
L2.H12,30,-0.007132975260416666,0.6333333333333333,0.06666666666666667,-0.030989583333333334,1,0.013633535305658976,0.0025172752061431917,-0.00031331578890482584,0.021828250594168836,0.012849934895833333,1212,1232,0.36666666666666664
L17.H9,30,-0.007130940755208333,0.5,0.06666666666666667,-0.022916666666666665,1,0.022001012166341146,0.02308214323517556,-0.001244109869003296,1986.854378539203,0.023234049479166668,1212,1186,0.5333333333333333
L18.H10,30,-0.006813557942708334,0.6666666666666666,0.06666666666666667,0.005208333333333333,1,0.015370174249013265,0.013364241664142658,0.00012279152870178222,-0.09091361867271693,-0.17113444010416667,1212,1191,0.26666666666666666
L17.H3,30,-0.006705729166666666,0.5666666666666667,0.06666666666666667,-0.049479166666666664,1,-0.008832218249638875,0.04043426376301795,-0.0004393597443898519,1986.7878948659668,-0.12613118489583333,1212,1233,0.36666666666666664
L4.H3,30,-0.006693522135416667,0.5666666666666667,0.13333333333333333,-0.041666666666666664,1,0.010957179466883342,0.0053815978132964425,0.001137228806813558,0.04919968922364935,0.02919921875,1212,1250,0.3333333333333333
L16.H7,30,-0.006632486979166667,0.4666666666666667,0.1,-0.0703125,1,0.03347085316975911,0.0097090254460151,-0.0005516250928243001,-0.050391179843823346,-0.15150553385416668,1212,1237,0.23333333333333334
L15.H12,30,-0.0065877278645833336,0.5333333333333333,0.1,-0.07864583333333333,1,0.01738410194714864,0.03691173340581978,2.2033850351969402e-06,0.09308885013649897,-0.18817545572916666,1212,1273,0.4666666666666667
