head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,"Find the pattern: 2, 5, 8, 11,",0.0,-0.015625,False,1,2.456725597381592,2.459550380706787,0.0028247833251953125,-1.8680875655263662e-06,-2.288818359375e-05,-0.007879185817465528,-0.0234375,24,24,False
L0.H0,1,"Find the pattern: 3, 7, 11, 15,",0.00048828125,0.0,False,1,2.671868324279785,2.6693387031555176,-0.002529621124267578,5.142635200172663e-05,-4.57763671875e-05,-0.005607476635514018,-0.0078125,17,17,False
L0.H0,2,"Find the pattern: 4, 9, 14, 19,",0.001708984375,0.0,False,1,2.819556474685669,2.818840265274048,-0.0007162094116210938,6.399577250704169e-05,0.0006103515625,0.007342143906020558,0.0,4,4,False
L0.H0,3,"Find the pattern: 5, 10, 15, 20,",0.0,0.0,False,1,1.9480433464050293,1.9480863809585571,4.303455352783203e-05,0.00023270680685527623,0.0,0.0,0.0,5,5,False
L0.H0,4,"Find the pattern: 6, 12, 18, 24,",0.00048828125,0.0,False,1,1.4196994304656982,1.4175691604614258,-0.002130270004272461,7.412224658764899e-05,-1.0728836059570312e-06,-0.015151515151515152,-0.015625,108,109,False
L0.H0,5,"Find the pattern: 7, 14, 21, 28,",-0.00244140625,-0.015625,False,1,1.0239050388336182,1.0362603664398193,0.012355327606201172,0.00012532738037407398,2.1457672119140625e-06,0.005196304849884526,-0.0078125,38,38,False
L0.H0,6,"Find the pattern: 8, 16, 24, 32,",0.0,0.0,False,1,1.6853491067886353,1.684592604637146,-0.0007565021514892578,5.36764164280612e-05,8.58306884765625e-06,0.007832898172323759,0.0078125,35,34,True
L0.H0,7,"Find the pattern: 9, 18, 27, 36,",0.0,0.0,False,1,0.36690929532051086,0.36773693561553955,0.0008276402950286865,-0.00014163738524075598,0.0,0.0,0.0,38,38,False
L0.H0,8,"Find the pattern: 10, 20, 30, 40,",0.0,0.0,False,1,0.8021726608276367,0.8028658032417297,0.0006931424140930176,-0.00012944529589731246,1.1920928955078125e-07,0.003913894324853229,0.00390625,156,155,True
L0.H0,9,"Find the pattern: 1, 4, 7, 10,",-0.001953125,-0.015625,False,1,2.163538932800293,2.170215368270874,0.006676435470581055,-0.00012586312368512154,4.00543212890625e-05,0.018150388936905792,0.0078125,21,21,False
