head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L12.H0,30,-0.16628456115722656,0.8,0.5666666666666667,-1.0630208333333333,4,0.33342564006646475,0.5067894600331784,0.02364601492881775,8.12190179883651,1.241015625,33,14,0.8666666666666667
L13.H6,30,-0.1038482666015625,1.0,0.43333333333333335,-0.5643229166666667,2,0.2601561933755875,0.22770227786774436,0.029571932554244996,4.194706604377483,1.1815104166666666,33,20,0.9333333333333333
L7.H7,30,-0.03192545572916667,0.7,0.26666666666666666,-0.2046875,1,0.11965490480264028,0.07136134225875139,0.005136110385258992,0.9030034760304149,0.47799479166666664,33,24,0.8
L10.H7,30,-0.028759765625,0.8666666666666667,0.13333333333333333,-0.18828125,1,0.11481080750624338,0.01804463459023585,0.0006084740161895752,0.11518562033308885,-0.00234375,33,35,0.3333333333333333
L14.H14,30,-0.0237548828125,0.7,0.13333333333333333,-0.14765625,1,0.07785668671131134,0.011279333266429603,0.0010181864102681477,0.07850435854414514,-0.019661458333333333,33,34,0.43333333333333335
L12.H7,30,-0.0233642578125,0.7666666666666667,0.16666666666666666,-0.11666666666666667,1,0.0796878844499588,0.01883415605407208,-0.0001727163791656494,-0.04420082883369204,-0.106640625,33,37,0.23333333333333334
L17.H9,30,-0.019236246744791668,0.7,0.16666666666666666,-0.10416666666666667,1,0.03356120089689891,0.02536724795742581,0.0007774333159128825,0.09063826839051085,0.026171875,33,34,0.36666666666666664
L18.H5,30,-0.014516194661458334,0.7333333333333333,0.03333333333333333,-0.05625,1,0.057311997810999556,0.008891706921470661,0.001187072197596232,0.14057383891461528,0.09453125,33,32,0.5
L16.H14,30,-0.013924153645833333,0.7666666666666667,0.1,-0.08046875,1,0.032495447993278505,0.007169729839855184,-0.0004382073879241943,0.04632092439408001,-0.014713541666666666,33,34,0.23333333333333334
L10.H8,30,-0.012797037760416666,0.5666666666666667,0.06666666666666667,0.002864583333333333,1,0.021607260902722678,0.035078132059425116,0.003285147746404012,0.7360876052523407,0.49075520833333336,33,25,0.8
L13.H13,30,-0.010813395182291666,0.4666666666666667,0.06666666666666667,-0.0734375,1,0.04359394212563832,0.019376306895477077,0.0004309336344401042,0.8700170718601861,0.15807291666666667,33,29,0.36666666666666664
L11.H2,30,-0.01004638671875,0.6666666666666666,0.1,-0.04973958333333333,1,0.027820425232251485,0.005370765183276186,0.00012032190958658855,-0.04793212629621748,-0.07109375,33,37,0.06666666666666667
L13.H3,30,-0.008290608723958334,0.6666666666666666,0.1,-0.04505208333333333,1,0.032355849941571556,0.005593706438473115,-0.0009662369887034098,-0.06583573637082415,-0.09778645833333334,33,36,0.16666666666666666
L20.H1,30,-0.008038330078125,0.5333333333333333,0.06666666666666667,-0.06041666666666667,1,0.032198567191759744,0.0037727875576820226,0.00036571025848388674,0.011403496723357337,-0.02734375,33,34,0.1
L17.H3,30,-0.007515462239583334,0.5333333333333333,0.2,-0.05260416666666667,1,0.015134734908739726,0.025578654278069733,-0.0008333285649617513,-0.01485486787147112,-0.037890625,33,33,0.3333333333333333
L11.H14,30,-0.0070760091145833336,0.6666666666666666,0.03333333333333333,-0.04921875,1,0.034219561020533244,0.005094567176032191,0.0010051270325978597,0.20294324917742293,0.12526041666666668,33,29,0.5
L22.H2,30,-0.0062520345052083336,0.6666666666666666,0.06666666666666667,-0.0515625,1,0.03684036334355672,0.004390689325130855,0.001682223876317342,0.2572388937894685,0.182421875,33,29,0.6666666666666666
L12.H13,30,-0.0055908203125,0.5333333333333333,0.1,-0.018489583333333334,1,0.013223832845687867,0.013445173351404568,0.00017471909523010255,0.08893748406571499,0.05716145833333333,33,32,0.4666666666666667
