head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L12.H0,199,-0.1687866191768167,0.7989949748743719,0.33668341708542715,-1.3490499371859297,6,0.4595368306091682,0.7256659915502272,0.0010780380598863764,8705.803290101556,0.43945678634260166,2743,2616,0.5979899497487438
L11.H1,199,-0.12998433568369802,0.8291457286432161,0.23618090452261306,-0.9267627198492462,3,0.46845391639812506,0.30776150786930967,0.001043169642213601,10190.936267794905,0.8657229629593279,2743,1946,0.8241206030150754
L12.H15,199,-0.11288291126040358,0.8391959798994975,0.16080402010050251,-0.6748979271356784,1,0.4711434885335328,0.1752150832223776,0.002029859540450513,4198.787783626589,0.9061273162688442,2743,2226,0.8291457286432161
L13.H6,199,-0.09649286318064934,0.8040201005025126,0.21105527638190955,-0.7049309045226131,2,0.3402210202199131,0.2727447250850929,0.0014909916187650595,26961.692943206937,0.9010598647534548,2743,2009,0.8341708542713567
L7.H7,199,-0.07880852090653463,0.6884422110552764,0.17587939698492464,-0.5486023869346733,2,0.229161668362929,0.24626679570708382,0.000320170991983845,600.6570889784252,0.11138624641763505,2743,2661,0.542713567839196
L22.H2,199,-0.05051126911412531,0.8793969849246231,0.06030150753768844,-0.4800565326633166,1,0.301388406012226,0.04183373699694797,0.001615585094720275,9290.672626713158,1.2090512376334799,2743,1569,0.8793969849246231
L12.H6,199,-0.04959671940635796,0.6633165829145728,0.1306532663316583,-0.29805276381909546,1,0.14627866072570858,0.11453705020927492,0.00014845090894842868,899.2827683742603,0.03511913817132538,2743,2777,0.4824120603015075
L16.H11,199,-0.04465266088744504,0.6030150753768844,0.1457286432160804,-0.3789651381909548,2,0.12127684427415905,0.17254476158835239,-3.46117283231649e-05,1797.5153608659452,-0.2950997664101759,2743,3018,0.32663316582914576
L16.H12,199,-0.04053485812853329,0.7135678391959799,0.09045226130653267,-0.3184673366834171,1,0.16058699756710973,0.06872104353003201,1.0429315231553274e-05,5092.326566047826,0.00318647988477544,2743,2966,0.4472361809045226
L6.H4,199,-0.040216570523516015,0.5778894472361809,0.09547738693467336,-0.2675879396984925,1,0.09782584543204188,0.11116430278800647,0.0009012590700657523,1199.0316093273273,0.10981428443486967,2743,2549,0.5477386934673367
L13.H12,199,-0.039056825877434045,0.6482412060301508,0.10050251256281408,-0.16578988693467336,1,0.07717215984909978,0.07075326216065479,6.531141511159925e-05,599.240627262769,-0.03801424419460584,2743,2681,0.5276381909547738
L16.H13,199,-0.033283789553234924,0.6633165829145728,0.08542713567839195,-0.19758951005025124,1,0.10260334315162208,0.05327629111549991,9.608148929461762e-05,1797.4402357580288,0.10050220585348618,2743,2597,0.5376884422110553
L13.H1,199,-0.030710958356234296,0.6331658291457286,0.10552763819095477,-0.19967022613065327,1,0.13714266048004878,0.09889643142162471,0.0008776298719434882,4793.822601374841,0.514606725031407,2743,1997,0.6984924623115578
L12.H11,199,-0.02644447825062814,0.7035175879396985,0.06532663316582915,-0.13819095477386933,1,0.10779748916925497,0.03761756184906348,0.0002818017748732064,1498.0454515357628,0.2272202381536589,2743,2634,0.6633165829145728
L13.H13,199,-0.025894241716394473,0.592964824120603,0.10050251256281408,-0.1923680904522613,1,0.08905912606260884,0.07870165338820483,0.0006123721300058029,2996.366061332112,0.4324015708424937,2743,2169,0.7738693467336684
L12.H13,199,-0.02573222251393687,0.5778894472361809,0.08040201005025126,-0.1639054648241206,1,0.07987650832039626,0.0633968986546265,2.090775187890134e-05,1497.9280409112228,0.012637957855684674,2743,2695,0.5376884422110553
L17.H3,199,-0.024745078542124686,0.6231155778894473,0.09045226130653267,-0.18738222361809045,1,0.08357951524269641,0.06861729941486022,9.810744817532487e-05,1797.4476548584287,-0.01407673131281407,2743,2661,0.4120603015075377
L14.H14,199,-0.02464095072530622,0.6633165829145728,0.10050251256281408,-0.24835113065326633,1,0.09703372194239841,0.06549413199010001,-8.88699263184514e-05,299.7235095954865,-0.2452187082875314,2743,3023,0.3065326633165829
L15.H8,199,-0.022104234551664572,0.49246231155778897,0.06532663316582915,-0.09100188442211055,1,0.08183006919808124,0.04327979006557509,8.588280510063746e-05,0.20174599767152637,0.046481606948315796,2743,2643,0.49748743718592964
L17.H9,199,-0.02055657928313442,0.5829145728643216,0.07537688442211055,-0.169794283919598,1,0.0996378678547677,0.059718074809545635,0.00024466209076157765,899.2062591300763,0.17707092438510913,2743,2523,0.5577889447236181
L11.H6,199,-0.020505128793380966,0.6934673366834171,0.04020100502512563,-0.10886463567839195,1,0.08204654645380663,0.018706469674551994,0.00015216436817418392,599.4098244821598,0.21918901606420776,2743,2607,0.7135678391959799
L18.H7,199,-0.018742470286000314,0.6180904522613065,0.04020100502512563,-0.1348146984924623,1,0.07508926273290835,0.02426443454873947,4.647694640423185e-05,599.2565865574877,0.03090942325304501,2743,2884,0.44221105527638194
L14.H12,199,-0.01673958169755025,0.6180904522613065,0.04020100502512563,-0.09378925879396985,1,0.06292767343509137,0.02473006877084684,0.00011588640548476022,0.2535610446016704,0.09169412737515703,2743,2616,0.5778894472361809
L11.H10,199,-0.015987837134893216,0.5778894472361809,0.06030150753768844,-0.10686243718592965,1,0.0768769779921177,0.027093184466404144,0.00021358410916735778,599.4250431743209,0.20950190865214746,2743,2504,0.7135678391959799
L15.H12,199,-0.012582069665343318,0.5226130653266332,0.06532663316582915,-0.07553391959798995,2,0.028247563308806876,0.05555985082129845,-3.350889263440616e-05,299.37261777109865,-0.26822413152186714,2743,3137,0.2562814070351759
L19.H0,199,-0.012461139928156407,0.4623115577889447,0.06030150753768844,-0.037138819095477386,1,0.019974676059119068,0.04563795201702579,1.620946817062608e-05,299.3892102654109,-0.31789655062421485,2743,3091,0.25125628140703515
L18.H14,199,-0.012453932258951006,0.507537688442211,0.035175879396984924,-0.08899968592964824,1,0.05221511060418795,0.022644048956378664,0.00024357752584332798,599.325181340462,0.011090360095153502,2743,2735,0.37185929648241206
L11.H3,199,-0.011812871424996074,0.5276381909547738,0.06532663316582915,-0.08110866834170855,1,0.03434803482875153,0.02733162767783974,9.326539446960143e-05,599.2077489365566,0.057635590059673364,2743,2649,0.5125628140703518
L13.H9,199,-0.009530072236180905,0.5577889447236181,0.04522613065326633,-0.06740734924623115,1,0.042216524856174414,0.016746702316467504,1.2848544959446892e-05,0.06615931532141639,-0.0486275370995603,2743,2841,0.3969849246231156
L12.H5,199,-0.007749547910450691,0.5326633165829145,0.035175879396984924,-0.042988379396984924,1,0.035291750601787665,0.012468614729940914,8.313799623268932e-06,299.541447311572,-0.027700529625667398,2743,2740,0.4120603015075377
L13.H11,199,-0.007719260364321608,0.5326633165829145,0.035175879396984924,-0.04420540201005025,1,0.017285577952861786,0.027229772693911643,-5.0067901611328125e-06,599.1897986527335,0.04646646317525126,2743,2749,0.5376884422110553
L16.H14,199,-0.007406800236534234,0.5628140703517588,0.08040201005025126,-0.11797267587939698,1,0.0362014412206022,0.0526943792278117,-0.00012782440712703533,299.6294650493213,-0.1250358083140311,2743,2901,0.3869346733668342
L7.H5,199,-0.006702135555708228,0.5829145728643216,0.08542713567839195,-0.0918263190954774,1,0.009256254151538388,0.041474565014589154,8.325600743892804e-05,299.69311040459826,0.006932550938285176,2743,2517,0.46733668341708545
L4.H4,199,-0.0061605635599874375,0.5879396984924623,0.035175879396984924,-0.04624685929648241,1,0.03862001350027832,0.0064008021025202385,3.414986720636262e-05,0.08182777797515464,0.03601166231548367,2743,2781,0.5376884422110553
L12.H1,199,-0.005895259991363065,0.5728643216080402,0.03015075376884422,-0.03525439698492462,1,0.018190329697862943,0.005815320553811765,4.2025767379070645e-05,0.05510768368085613,0.020054036049387564,2743,2752,0.49246231155778897
