head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H13,25,-0.04396484375,0.84,0.36,-0.46375,2,0.17981402397155763,0.11735060311853886,0.023019635677337648,8.644591650340331,1.483125,69,13,0.8
L13.H6,25,-0.0210693359375,0.72,0.08,-0.1778125,1,0.10637446403503419,0.012058248622342943,0.003254516124725342,0.3477993616622589,0.2421875,69,57,0.8
L22.H2,25,-0.0129443359375,0.88,0.0,-0.1175,1,0.08691411972045898,0.004743248294107616,0.0021173238754272463,0.274810606464469,0.20234375,69,57,0.76
L18.H0,25,-0.011357421875,0.56,0.12,-0.1509375,1,0.043209896087646485,0.014883425837615505,0.006107578277587891,0.4202016301178974,0.21234375,69,67,0.52
L23.H13,25,-0.0099951171875,0.84,0.0,-0.08,1,0.049532022476196286,0.002131093102507293,0.001100327968597412,0.13544289688530597,0.10546875,69,61,0.68
L14.H5,25,-0.009835205078125,0.72,0.12,-0.113125,1,0.051664295196533205,0.013916284190490841,0.0037177443504333497,1.0554812485896228,0.49328125,69,36,0.72
L21.H10,25,-0.009547119140625,0.84,0.0,-0.0746875,1,0.05681027412414551,0.0036727666528895498,0.001838710308074951,0.322587896990528,0.238125,69,53,0.72
L15.H9,25,-0.009532470703125,0.56,0.04,-0.054375,1,0.04214768409729004,0.0032728964378475212,0.00044588565826416017,0.16514140015496934,0.0946875,69,63,0.56
L11.H1,25,-0.009510498046875,0.76,0.0,-0.0659375,1,0.04133737564086914,0.0037563120387494563,0.0012874913215637207,0.1871900263153538,0.153125,69,57,0.68
L23.H6,25,-0.0089208984375,0.76,0.04,-0.0653125,1,0.05320969581604004,0.003608541712164879,0.000992410182952881,0.14421495054496586,0.108125,69,61,0.64
L12.H15,25,-0.00698486328125,0.76,0.08,-0.055625,1,0.0347164249420166,0.0027853909938130527,0.001801900863647461,0.10589503036275424,0.0853125,69,66,0.64
L14.H0,25,-0.005885009765625,0.6,0.0,-0.0315625,1,0.03108017921447754,0.0024799595166405198,0.00047120332717895505,0.2809603011031702,0.12734375,69,64,0.44
L22.H0,25,-0.004932861328125,0.76,0.0,-0.0446875,1,0.035427579879760744,0.0023550404096022246,0.0007610154151916504,0.09591620847135215,0.07484375,69,64,0.68
L23.H9,25,-0.004630126953125,0.8,0.04,-0.0378125,1,0.021917734146118164,0.0009121507441159338,0.00044034719467163087,0.0667331797147164,0.05390625,69,64,0.64
L15.H11,25,-0.00430908203125,0.52,0.0,-0.034375,1,0.015023765563964843,0.003009411000966793,0.002461240291595459,0.11287506337951835,0.0771875,69,68,0.36
L17.H8,25,-0.004251708984375,0.4,0.04,-0.02375,1,0.02426316261291504,0.002625294420286082,0.0006612467765808105,0.23336745755881122,0.0853125,69,66,0.36
L15.H1,25,-0.0040283203125,0.44,0.04,-0.0290625,1,0.019382152557373047,0.0035999753791838883,0.00046148300170898435,0.0993508853747932,0.05578125,69,65,0.32
L11.H6,25,-0.003768310546875,0.84,0.04,-0.0346875,1,0.018737716674804686,0.0008419320167740807,0.0007582831382751464,0.06396636818083318,0.05359375,69,65,0.56
L12.H8,25,-0.0037451171875,0.6,0.0,-0.021875,1,0.016525754928588866,0.0014547971822321416,0.00031884193420410155,0.052548258657067304,0.04140625,69,65,0.44
L23.H10,25,-0.0034228515625,0.68,0.0,-0.02625,1,0.012615842819213867,0.0005298212694469839,0.00025239944458007815,0.05119446041544065,0.04375,69,65,0.44
L15.H7,25,-0.003341064453125,0.68,0.12,-0.0496875,1,0.020519781112670898,0.01095918078906834,0.004237494468688965,0.5312808338470443,0.34828125,69,54,0.68
L16.H6,25,-0.003282470703125,0.64,0.04,-0.03875,1,0.025807361602783203,0.0027372356341220437,0.0008987593650817871,0.19599684965557185,0.15390625,69,56,0.68
L20.H10,25,-0.0031689453125,0.68,0.0,-0.0275,1,0.017879705429077148,0.0008235492074163631,0.0005367588996887207,0.10777961600357062,0.08359375,69,61,0.6
L23.H14,25,-0.00302978515625,0.72,0.0,-0.0240625,1,0.01611382484436035,0.0005692355392966419,0.00020448923110961915,0.03493701635229208,0.02671875,69,67,0.52
L19.H2,25,-0.002471923828125,0.64,0.0,-0.0225,1,0.01519906997680664,0.0012176462798379362,0.0005551934242248535,0.13554455900091286,0.11421875,69,59,0.64
L18.H8,25,-0.002252197265625,0.68,0.0,-0.0225,1,0.006757574081420898,0.0019677000470983332,0.0008872389793395996,0.20548686179659031,0.13515625,69,61,0.36
L15.H3,25,-0.00209228515625,0.44,0.08,-0.0296875,1,0.006567773818969727,0.002772191870608367,0.00014619112014770507,0.12410462734226746,0.05671875,69,63,0.32
L14.H7,25,-0.002080078125,0.68,0.04,-0.025,1,0.01463994026184082,0.0020337394799571484,0.0006757307052612304,0.16490111385889225,0.1309375,69,59,0.56
L23.H2,25,-0.00194091796875,0.68,0.0,-0.0134375,1,0.009803009033203126,0.0006808292760979384,8.117437362670899e-05,0.029788358073512978,0.02453125,69,67,0.44
L1.H2,25,-0.001893310546875,0.44,0.04,-0.0084375,1,0.009190683364868163,0.0008882812381489203,-3.392934799194336e-05,-0.005933227545476186,-0.01078125,69,69,0.2
L20.H8,25,-0.001805419921875,0.52,0.0,-0.0125,1,0.011517696380615235,0.001089115570357535,7.050037384033203e-05,0.018084232256698685,0.01171875,69,67,0.36
L11.H11,25,-0.001766357421875,0.48,0.04,-0.009375,1,0.007962255477905274,0.0011891950096469372,-0.00010606050491333008,0.020351067060773866,0.01453125,69,67,0.36
L17.H10,25,-0.001729736328125,0.64,0.0,-0.0125,1,0.00881265640258789,0.00021903040935285388,0.00032662391662597657,0.026443307997440425,0.02359375,69,68,0.4
L5.H14,25,-0.00157470703125,0.52,0.0,-0.003125,1,0.0025898170471191405,0.0007835229230113328,-4.645586013793945e-05,-0.006683308267172041,-0.00546875,69,70,0.12
L21.H14,25,-0.0014599609375,0.64,0.0,-0.010625,1,0.008572797775268554,0.0008339639566838741,0.0002392721176147461,0.03437591387188049,0.0290625,69,67,0.56
L12.H9,25,-0.001348876953125,0.52,0.04,-0.009375,1,0.0056103324890136716,0.0007677655562292785,0.00024739742279052736,0.053842282298277165,0.04859375,69,64,0.48
L19.H8,25,-0.001263427734375,0.72,0.0,-0.011875,1,0.0033004283905029297,0.0008178673998918384,1.7158985137939453e-05,0.011209315112672969,0.009375,69,68,0.2
L12.H1,25,-0.001248779296875,0.44,0.04,-0.003125,1,0.00014657020568847656,0.0005740915791830048,-2.2904872894287108e-05,-0.0003543223502836737,-0.00109375,69,68,0.12
L13.H13,25,-0.001212158203125,0.6,0.04,-0.018125,1,0.007410211563110352,0.0009536705212667585,0.000517580509185791,0.062746805105843,0.05125,69,65,0.44
L21.H2,25,-0.0011767578125,0.64,0.0,-0.0096875,1,0.004662885665893555,0.00012957375918631441,0.00011803150177001953,0.019611489707266335,0.0175,69,67,0.32
L10.H13,25,-0.000975341796875,0.6,0.0,-0.005625,1,0.004332742691040039,0.0004893593495944515,4.942417144775391e-05,0.006281748622292381,0.00375,69,68,0.28
L21.H9,25,-0.0008984375,0.6,0.04,-0.0065625,1,-2.0294189453125e-05,0.0012244256180565572,0.00013837575912475586,0.053065945086477904,0.0484375,69,65,0.36
L23.H4,25,-0.000810546875,0.56,0.0,-0.0034375,1,0.0045122337341308594,0.0005264142152009299,8.449077606201172e-05,0.012401355504362298,0.0103125,69,68,0.44
L10.H14,25,-0.00075927734375,0.52,0.04,-0.0025,1,0.0018217182159423828,0.0004577911418164149,0.00012837886810302735,0.00969509988660832,0.01078125,69,68,0.24
L18.H4,25,-0.00074951171875,0.68,0.0,-0.008125,1,0.004925470352172851,0.0002563084877328947,0.00017544269561767578,0.042227678612847264,0.0384375,69,65,0.44
