head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H13,32,-0.1712646484375,0.875,0.21875,-1.181884765625,2,0.7221127236261964,0.4366424114559777,0.08755047805607319,6785.25953075757,4.76654052734375,341,18,0.96875
L14.H7,32,-0.044017791748046875,0.71875,0.125,-0.267822265625,1,0.1590275252237916,0.09028653048153501,0.021529633551836014,63.99005630466173,2.05267333984375,341,110,1.0
L21.H9,32,-0.021148681640625,0.625,0.03125,-0.152099609375,1,0.08972705993801355,0.009264510284992866,0.000995095819234848,0.8377352342425467,0.42974853515625,341,258,0.90625
L21.H10,32,-0.013385772705078125,0.71875,0.0,-0.156494140625,1,0.09183660056442022,0.006588482799998019,0.0008623991161584854,1.3544245950760716,0.58172607421875,341,248,0.9375
L23.H9,32,-0.01265716552734375,0.625,0.0,-0.112060546875,1,0.06934872176498175,0.00450195902158157,0.00038002990186214447,0.35444402779947815,0.19915771484375,341,289,0.90625
L11.H1,32,-0.01084136962890625,0.625,0.03125,-0.10498046875,1,0.06468394678086042,0.011381589996744879,0.002537734806537628,0.8020097158042905,0.42486572265625,341,241,0.90625
L15.H10,32,-0.009220123291015625,0.625,0.0,-0.04052734375,1,0.030696566216647625,0.004004723636171548,-0.0011047925800085068,-0.3496916403997639,-0.500732421875,341,481,0.0
L23.H10,32,-0.009136199951171875,0.71875,0.0,-0.080322265625,1,0.04721470642834902,0.0023269425296348345,0.00048736855387687683,0.20806193154870672,0.11700439453125,341,299,0.8125
L20.H10,32,-0.007106781005859375,0.78125,0.0,-0.06005859375,1,0.03847991209477186,0.0017208324425155297,0.0002793017774820328,0.3042814865925772,0.19805908203125,341,283,0.78125
L22.H2,32,-0.00504302978515625,0.6875,0.0,-0.04833984375,1,0.028073317371308804,0.000874151126254219,0.00015681050717830658,0.149768930895664,0.09381103515625,341,313,0.75
L15.H7,32,-0.0046234130859375,0.46875,0.0,-0.049560546875,1,0.03665261808782816,0.012947398550750222,0.002058347687125206,5.425981984439783,0.68377685546875,341,286,0.84375
L15.H14,32,-0.004619598388671875,0.46875,0.0,-0.021484375,1,0.017501099966466427,0.0007388346368770726,0.00019778497517108917,0.07873222325141302,0.04473876953125,341,331,0.5
L23.H13,32,-0.004611968994140625,0.6875,0.0,-0.04443359375,1,0.027145122177898884,0.0007985582315086504,0.00010897591710090637,0.11423402456488332,0.07025146484375,341,319,0.6875
L15.H12,32,-0.004520416259765625,0.6875,0.0,-0.024658203125,1,0.012318599037826061,0.0017901745932249469,-0.00024095922708511353,-0.1275719366070838,-0.154052734375,341,393,0.03125
L12.H5,32,-0.004322052001953125,0.53125,0.0,-0.034912109375,1,0.01870399061590433,0.0035974882521259133,-0.00022156722843647003,-0.06421087280064261,-0.08990478515625,341,368,0.125
L11.H6,32,-0.00409698486328125,0.5625,0.0,-0.027099609375,1,0.017713270150125027,0.001655115285757347,0.000658765435218811,0.11300594818959742,0.0859375,341,316,0.6875
L14.H4,32,-0.00374603271484375,0.78125,0.0,-0.013916015625,1,0.010314756073057652,0.00042256813640051405,0.0002625957131385803,0.04433808533717971,0.0347900390625,341,328,0.59375
L12.H7,32,-0.003665924072265625,0.53125,0.03125,0.021484375,1,-0.020745371468365192,0.015399812764371745,-0.001083986833691597,-0.2447561369026619,-0.2625732421875,341,409,0.03125
L23.H6,32,-0.002925872802734375,0.65625,0.0,-0.0263671875,1,0.01471156720072031,0.0007878963454004406,0.0003052353858947754,0.05626997222558214,0.0325927734375,341,332,0.5
L12.H1,32,-0.00284576416015625,0.625,0.0,-0.008056640625,1,0.010881332680583,0.001501562361681863,0.00027805566787719727,0.020311429294093103,0.01275634765625,341,334,0.4375
L18.H2,32,-0.002819061279296875,0.65625,0.0,-0.012939453125,1,0.009165668860077858,0.0006474964338849531,0.0002725217491388321,0.10575719844631358,0.0908203125,341,313,0.8125
L7.H8,32,-0.002681732177734375,0.71875,0.0,-0.01171875,1,0.00781959854066372,0.0003030359903277713,1.730024814605713e-05,0.00984564219582426,0.0045166015625,341,340,0.3125
