head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H13,26,-0.1208636944110577,0.9230769230769231,0.15384615384615385,-0.7920673076923077,1,0.665073023392604,0.2344428373214144,0.005905442512952364,10.750899059506066,1.6748046875,697,282,0.9615384615384616
L14.H5,26,-0.11820631760817307,0.9615384615384616,0.15384615384615385,-0.7457932692307693,1,0.677017303613516,0.17415448937278527,0.0037595446293170634,10.804212059867941,1.5466496394230769,697,213,0.9615384615384616
L13.H13,26,-0.07679161658653846,0.8461538461538461,0.15384615384615385,-0.5012019230769231,1,0.4498558044433594,0.08127808108782539,0.002092265165769137,2.454643771461288,0.7562349759615384,697,424,0.9230769230769231
L11.H1,26,-0.03617506760817308,0.6923076923076923,0.07692307692307693,-0.20192307692307693,1,0.19137751597624558,0.02802005883019704,0.0006997952094444862,0.8243083531903531,0.3683894230769231,697,546,0.7307692307692307
L15.H7,26,-0.03597552959735577,0.6538461538461539,0.038461538461538464,-0.20252403846153846,1,0.2005592813858619,0.0406406574900477,0.0011866551179152268,1.038570357214349,0.43460787259615385,697,588,0.8076923076923077
L23.H6,26,-0.033517690805288464,0.6538461538461539,0.11538461538461539,-0.21634615384615385,1,0.16485888224381667,0.032088030487872087,0.000515140019930326,0.507793947034403,0.2725360576923077,697,581,0.8076923076923077
L22.H0,26,-0.031416672926682696,0.7307692307692307,0.038461538461538464,-0.17698317307692307,1,0.17679594113276556,0.021570670364711147,0.0009004565385671762,0.4889662768540274,0.2588641826923077,697,603,0.8076923076923077
L14.H7,26,-0.030195969801682692,0.6538461538461539,0.07692307692307693,-0.17277644230769232,1,0.1568390543644245,0.03095041041692289,0.0008075145574716422,1.4466085534904742,0.5120192307692307,697,517,0.8846153846153846
L18.H4,26,-0.028735821063701924,0.8076923076923077,0.07692307692307693,-0.16917067307692307,1,0.15730404395323533,0.019620659617850415,0.0008187958827385536,0.7520288531445244,0.4221003605769231,697,495,0.8846153846153846
L11.H6,26,-0.012016883263221154,0.6538461538461539,0.0,-0.053786057692307696,1,0.06811289145396306,0.009159770805406598,0.000433811774620643,0.26595186377473057,0.1844200721153846,697,616,0.8076923076923077
L18.H8,26,-0.0103759765625,0.5384615384615384,0.0,-0.07662259615384616,1,0.08863999751897958,0.01296439695915279,0.0005025703173417312,0.9030077567252449,0.25240384615384615,697,563,0.6538461538461539
L11.H11,26,-0.009659987229567308,0.46153846153846156,0.07692307692307693,-0.056490384615384616,1,0.027050618941967305,0.017998756885600205,0.0006410043973189134,0.3445626854500635,0.19591346153846154,697,580,0.6538461538461539
L23.H14,26,-0.009446364182692308,0.6538461538461539,0.0,-0.054086538461538464,1,0.04917199336565458,0.004111572025487056,0.0003486367372366098,0.12014715282546519,0.07286658653846154,697,637,0.6923076923076923
L22.H7,26,-0.008404071514423076,0.5769230769230769,0.0,-0.008713942307692308,1,0.004837141587184026,0.006675997075665061,-7.227063179016113e-05,-0.0438833334324649,-0.050180288461538464,697,696,0.2692307692307692
L22.H5,26,-0.008002647986778846,0.6923076923076923,0.038461538461538464,-0.0673076923076923,1,0.03702572675851675,0.01343260280107363,0.00019459082530095027,0.07894819577251863,0.010892427884615384,697,696,0.4230769230769231
L12.H8,26,-0.007999126727764424,0.5384615384615384,0.038461538461538464,-0.10546875,1,0.058704692583817705,0.03315257114949278,0.0009269897754375751,0.667046722595919,0.24177433894230768,697,571,0.6153846153846154
L23.H13,26,-0.00762939453125,0.5769230769230769,0.0,-0.048677884615384616,1,0.06243589520454407,0.006047033722727344,0.0004107837493603046,0.22526235088818217,0.1593299278846154,697,625,0.8846153846153846
L18.H2,26,-0.007399338942307692,0.6923076923076923,0.0,-0.04957932692307692,1,0.050449577661661,0.0033662827918305993,6.262614176823542e-05,0.19954701511715842,0.12823016826923078,697,599,0.8076923076923077
L10.H13,26,-0.007392296424278846,0.6538461538461539,0.0,-0.050180288461538464,1,0.03418592306283804,0.00328911453163108,2.636359288142278e-06,0.08246218425642336,0.038461538461538464,697,666,0.6153846153846154
L15.H12,26,-0.007195105919471154,0.5769230769230769,0.038461538461538464,-0.004807692307692308,1,-0.003177826221172626,0.00938981969599039,-0.000164263523541964,-0.12103749449091761,-0.15106670673076922,697,765,0.23076923076923078
L23.H2,26,-0.006965050330528846,0.6538461538461539,0.0,-0.026141826923076924,1,0.030417350622323844,0.0034754764570747144,0.00019802267734821027,0.1626009763439982,0.13288762019230768,697,622,0.8461538461538461
