head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L18.H8,36,-0.049542744954427086,0.9166666666666666,0.2222222222222222,-0.2957899305555556,1,0.2311225069893731,0.038477968528038926,0.022370881504482694,1.1643254528527676,0.6015625,16,8,0.7777777777777778
L14.H5,36,-0.04036288791232639,0.8888888888888888,0.2777777777777778,-0.2378472222222222,1,0.15451415379842123,0.06019555490153531,0.029744744300842285,1.614608300596486,0.7847222222222222,16,6,0.8055555555555556
L11.H1,36,-0.0317840576171875,0.8055555555555556,0.1111111111111111,-0.1773003472222222,1,0.1159838769170973,0.02480112691409886,0.007703953319125705,0.4081486986102405,0.2608506944444444,16,11,0.6111111111111112
L15.H13,36,-0.022696601019965276,0.7222222222222222,0.19444444444444445,-0.1853298611111111,1,0.10730077823003133,0.032339477174294494,0.01614158683353,0.8073066407146513,0.4926215277777778,16,8,0.6944444444444444
L12.H8,36,-0.018390231662326388,0.6666666666666666,0.1388888888888889,-0.10091145833333333,1,0.07788632313410442,0.037503042995619275,0.015114002757602267,0.6131162947076857,0.3546006944444444,16,12,0.5555555555555556
L15.H7,36,-0.015413920084635416,0.6944444444444444,0.08333333333333333,-0.09809027777777778,1,0.057521164417266846,0.01601352541992027,0.006879859500461155,0.3390243759895115,0.23719618055555555,16,12,0.5555555555555556
L23.H13,36,-0.008451673719618056,0.8888888888888888,0.027777777777777776,-0.05490451388888889,1,0.03950304455227322,0.001375082383876563,0.0020559231440226236,0.09037017084030001,0.0703125,16,14,0.4166666666666667
L13.H13,36,-0.007069905598958333,0.7777777777777778,0.05555555555555555,-0.040581597222222224,1,0.0236588716506958,0.004475063062272966,0.0032687849468655055,0.16180784990280062,0.1349826388888889,16,13,0.5
L10.H14,36,-0.006034003363715278,0.6111111111111112,0.0,-0.032552083333333336,1,0.025192810429467097,0.0018839582335203886,0.0001195669174194336,0.0356093628062983,0.021918402777777776,16,15,0.4166666666666667
L12.H11,36,-0.005645751953125,0.8611111111111112,0.0,-0.029079861111111112,1,0.023085044489966497,0.0004121451297073185,0.0007589923010932074,0.032141859947378504,0.0234375,16,15,0.19444444444444445
L17.H6,36,-0.005635579427083333,0.6388888888888888,0.0,-0.03298611111111111,1,0.03244588772455851,0.006797405733474686,0.0020927853054470485,0.1053322920728955,0.07465277777777778,16,14,0.5
L14.H2,36,-0.005186292860243056,0.6666666666666666,0.0,-0.021050347222222224,1,0.0174862543741862,0.0037273248886372633,0.0010845396253797743,0.06238110689344868,0.04969618055555555,16,15,0.4166666666666667
L11.H11,36,-0.005094740125868056,0.5833333333333334,0.027777777777777776,-0.026041666666666668,1,0.016338911321428087,0.007321973134013306,0.0017042822308010524,0.1171811511896682,0.0900607638888889,16,14,0.4166666666666667
L19.H4,36,-0.004991319444444444,0.5833333333333334,0.05555555555555555,-0.023871527777777776,1,0.014239682091606988,0.0030544505223386092,0.0003403027852376302,-0.004936079391266058,-0.016710069444444444,16,16,0.2222222222222222
L14.H7,36,-0.004814995659722222,0.5833333333333334,0.0,-0.02734375,1,0.021983438067966037,0.006442395213525742,0.004002014795939128,0.24240363860685038,0.19227430555555555,16,12,0.5833333333333334
L17.H0,36,-0.004509819878472222,0.6388888888888888,0.08333333333333333,-0.025824652777777776,1,0.02659395005967882,0.0071781086056338,0.0027924643622504342,0.11743644706916087,0.08550347222222222,16,14,0.5
L14.H4,36,-0.004452175564236111,0.5833333333333334,0.027777777777777776,-0.027777777777777776,1,0.02658975124359131,0.005355972308380943,0.0026473734113905164,0.15497591469002017,0.12413194444444445,16,13,0.5
