head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,27,-0.08980419017650464,0.9259259259259259,0.2962962962962963,-0.31568287037037035,1,0.14064477991174767,0.06326741545840546,0.0396770989453351,1.9447589134584404,0.8846932870370371,30,10,0.7407407407407407
L15.H13,27,-0.0654590747974537,0.8888888888888888,0.18518518518518517,-0.23466435185185186,1,0.11526515086491902,0.03636556180814902,0.020836238507871276,1.1141791608874496,0.5878182870370371,30,13,0.5555555555555556
L12.H8,27,-0.06153700086805555,0.8888888888888888,0.14814814814814814,-0.2717013888888889,1,0.08210922612084283,0.06105257274100074,0.026964108149210613,0.816552757718151,0.45211226851851855,30,17,0.48148148148148145
L14.H4,27,-0.047578034577546294,0.8888888888888888,0.14814814814814814,-0.2103587962962963,1,0.14151974739851775,0.022535292776646437,0.013400369220309787,0.7318279566044882,0.3841145833333333,30,17,0.5555555555555556
L11.H1,27,-0.0408935546875,0.8148148148148148,0.18518518518518517,-0.14265046296296297,1,0.04539347577978064,0.021833868007417077,0.020559619974206994,0.3975023126557623,0.2907986111111111,30,22,0.5555555555555556
L16.H2,27,-0.03919361255787037,0.8888888888888888,0.14814814814814814,-0.1712962962962963,1,0.12903862087814896,0.016932730644906836,0.0174591099774396,0.5310487914251569,0.3368055555555556,30,22,0.5185185185185185
L15.H7,27,-0.03468605324074074,0.7037037037037037,0.18518518518518517,-0.13686342592592593,1,0.08597139517466228,0.024093767227087583,0.016317146795767325,0.6176416704629918,0.37818287037037035,30,22,0.48148148148148145
L13.H13,27,-0.02800609447337963,0.7777777777777778,0.1111111111111111,-0.10040509259259259,1,0.05195085649137144,0.013739556979594959,0.013439761267768012,0.40933562994497297,0.3042534722222222,30,20,0.5925925925925926
L13.H0,27,-0.02512839988425926,0.8518518518518519,0.07407407407407407,-0.08564814814814815,1,0.03712437770984791,0.0123321950280418,0.011337801262184425,0.29348159667750634,0.20674189814814814,30,22,0.4074074074074074
L11.H11,27,-0.020161946614583332,0.7037037037037037,0.07407407407407407,-0.0775462962962963,1,0.04645952030464455,0.00914723242857252,0.01007513646726255,0.21556765135828362,0.15697337962962962,30,24,0.3333333333333333
L15.H6,27,-0.018091272424768517,0.5925925925925926,0.14814814814814814,-0.07118055555555555,1,0.024342625229446975,0.01098306430503726,0.0070703912664342805,0.3748633239293111,0.2868923611111111,30,20,0.5185185185185185
L22.H2,27,-0.01593017578125,0.8148148148148148,0.07407407407407407,-0.06018518518518518,1,0.0445640727325722,0.002922443471443667,0.005901354330557364,0.16965771133583105,0.1339699074074074,30,26,0.37037037037037035
L16.H6,27,-0.015706380208333332,0.7407407407407407,0.14814814814814814,-0.05063657407407408,1,0.022394109655309608,0.004261419029380368,0.00784113672044542,0.19461616350742453,0.16782407407407407,30,23,0.48148148148148145
L19.H15,27,-0.013142903645833334,0.6296296296296297,0.0,-0.05555555555555555,1,0.0476907006016484,0.0028508247719232545,0.003194314462167245,0.06457918485891725,0.023726851851851853,30,30,0.25925925925925924
L19.H2,27,-0.010954680266203705,0.7037037037037037,0.1111111111111111,-0.03298611111111111,1,0.011718224596094203,0.002520780480052862,0.005625300937228733,0.16783587948086456,0.14872685185185186,30,25,0.4444444444444444
L16.H15,27,-0.010769314236111112,0.5925925925925926,0.07407407407407407,-0.04542824074074074,1,0.03385726831577442,0.005429254370230612,0.0050438156834355105,0.17409330243771762,0.1355613425925926,30,25,0.4074074074074074
L23.H13,27,-0.00850875289351852,0.8148148148148148,0.07407407407407407,-0.03877314814814815,1,0.02961228953467475,0.0012915499683003873,0.003417121039496528,0.07949856165226808,0.06090856481481482,30,28,0.2222222222222222
L5.H6,27,-0.008228443287037037,0.7037037037037037,0.0,-0.043402777777777776,1,0.046017713016933866,0.0019739012544353804,0.0005504466869212963,0.05355193978025822,0.020399305555555556,30,29,0.14814814814814814
L12.H15,27,-0.007984302662037037,0.7407407407407407,0.037037037037037035,-0.025752314814814815,1,0.01760347021950616,0.0007908668496249313,0.0038090458622685184,0.03313572630615523,0.023003472222222224,30,30,0.037037037037037035
L12.H12,27,-0.007703993055555556,0.48148148148148145,0.037037037037037035,-0.03616898148148148,1,0.016248420432761864,0.0017168266883042331,0.0030407993881790725,0.03669513418676838,0.012008101851851851,30,30,0.14814814814814814
L18.H4,27,-0.006655092592592593,0.7407407407407407,0.07407407407407407,-0.018518518518518517,1,-0.0018963504720617224,0.002488195041897362,0.003917323218451606,0.10923874551775706,0.10271990740740741,30,26,0.4074074074074074
L17.H0,27,-0.005850332754629629,0.6666666666666666,0.07407407407407407,-0.02199074074074074,1,0.009763960485105161,0.0014203805539754857,0.002027290838736075,0.04894827582716062,0.04137731481481482,30,28,0.2222222222222222
