head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L13.H6,100,-0.10758331298828125,0.84,0.12,-0.86546875,1,0.47697153240442275,0.23162066169199533,0.02079879343509674,296.6196633332843,3.89197265625,591,55,0.99
L22.H2,100,-0.0680865478515625,0.88,0.03,-0.612734375,1,0.38834543362259866,0.04549677521223203,0.001493951678276062,6.079148620189955,1.11453125,591,302,0.97
L15.H7,100,-0.049102783203125,0.63,0.02,-0.393671875,1,0.24094366915524007,0.0817875449708663,0.0053562760353088375,69.46099577501151,2.57642578125,591,106,0.99
L18.H0,100,-0.0255303955078125,0.53,0.07,-0.19578125,1,0.1119707341492176,0.021970561469643143,0.0004673105478286743,1.8947118981302449,0.487412109375,591,499,0.94
L15.H11,100,-0.023748779296875,0.61,0.04,-0.2096875,1,0.1190422984957695,0.02635022975358879,0.002078518271446228,3.2195976039677934,0.6784375,591,444,0.79
L15.H9,100,-0.0227581787109375,0.63,0.02,-0.176953125,1,0.1134336219727993,0.026094869794033002,0.0012586402893066406,4.392665659149725,0.505986328125,591,479,0.62
L11.H6,100,-0.0216796875,0.71,0.01,-0.228203125,1,0.12811250180006029,0.021270209700160195,0.0010075134038925171,3.9893251956237754,1.2087890625,591,287,0.97
L13.H13,100,-0.02085693359375,0.64,0.03,-0.0884375,1,0.06203177139163017,0.027836250705295242,0.000342402458190918,1.5210872893113454,0.6805859375,591,395,0.87
L11.H1,100,-0.01924072265625,0.65,0.0,-0.2078125,1,0.1110819398611784,0.027446634331863607,0.000634453296661377,2.794764013719714,0.947099609375,591,322,0.97
L17.H10,100,-0.0170849609375,0.79,0.0,-0.148671875,1,0.10697356820106506,0.007680505196913145,0.00019265770912170411,0.7933774679076757,0.342021484375,591,491,0.93
L18.H9,100,-0.016904296875,0.68,0.0,-0.116328125,1,0.07367082834243774,0.011866624658141518,0.0016070306301116943,1.2474177150290047,0.293935546875,591,485,0.73
L14.H14,100,-0.016329345703125,0.62,0.03,-0.0121875,1,0.041566075831651686,0.022842485416913406,-0.00030024051666259765,-0.6311274760490884,-1.1240283203125,591,1274,0.0
L17.H8,100,-0.0125054931640625,0.45,0.02,-0.0734375,1,0.051064283400774,0.016677436315876547,0.0002391117811203003,0.8591657238073741,0.145029296875,591,552,0.47
L12.H15,100,-0.0122998046875,0.69,0.0,-0.146015625,1,0.08933791473507881,0.01603639594366541,0.000666249394416809,2.425519439109275,0.960625,591,343,0.98
L23.H13,100,-0.0119952392578125,0.77,0.0,-0.106484375,1,0.0669517258554697,0.0023993298699497246,7.186412811279297e-05,0.25915855130148907,0.136044921875,591,542,0.82
L13.H3,100,-0.01132568359375,0.68,0.0,-0.077578125,1,0.060401884019374845,0.009358961224497761,-0.00021483778953552247,-0.4586254151845718,-0.7295361328125,591,976,0.01
L23.H9,100,-0.0106353759765625,0.79,0.01,-0.1103125,1,0.06372585520148277,0.0028337952341826165,0.00011113464832305908,0.354460050532018,0.21224609375,591,519,0.94
L12.H0,100,-0.00870361328125,0.5,0.03,-0.03328125,1,0.00017922312021255492,0.06763614709023386,0.000996706485748291,6.193168109444645,1.29734375,591,250,0.95
