head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,175,-0.02079768589564732,0.8342857142857143,0.1657142857142857,-0.2528125,1,0.19010833603995186,0.03376278377803309,0.002139404160635812,1.6971809278815249,0.7632366071428571,354,201,0.9657142857142857
L12.H8,175,-0.01820534842354911,0.8685714285714285,0.10285714285714286,-0.20508928571428572,1,0.1606117970602853,0.016489033085027974,0.0007355567387172154,0.4891787010646433,0.3252008928571429,354,284,0.9142857142857143
L16.H15,175,-0.011693507603236607,0.68,0.05714285714285714,-0.09611607142857143,1,0.06655749593462262,0.008617748160696855,0.0006376555987766811,0.4727255495043764,0.25808035714285715,354,295,0.7714285714285715
L23.H2,175,-0.010842415945870536,0.7885714285714286,0.13142857142857142,-0.15410714285714286,1,0.09111524105072022,0.007026983507509742,0.00041114228112357004,0.2693799571116122,0.19145089285714287,354,311,0.92
L11.H1,175,-0.01028472900390625,0.7885714285714286,0.08,-0.10736607142857142,1,0.0818348775591169,0.006630243143465902,0.0005671920095171247,0.2955732159931011,0.22216517857142856,354,305,0.9314285714285714
L13.H6,175,-0.010152457101004464,0.6228571428571429,0.017142857142857144,-0.071875,1,0.05391944817134312,0.006173829413975389,0.00012254817145211357,0.10255505918373385,0.065,354,335,0.6628571428571428
L23.H9,175,-0.009760175432477678,0.7942857142857143,0.06285714285714286,-0.09950892857142857,1,0.06738180569240025,0.004037178800042187,0.0002845982142857143,0.18552338359316894,0.13799107142857142,354,317,0.8685714285714285
L18.H2,175,-0.009093497140066964,0.7714285714285715,0.14285714285714285,-0.13691964285714286,1,0.09339088371821812,0.014797631754939046,0.0009767637934003557,0.5816084929214691,0.39176339285714284,354,273,0.9485714285714286
L18.H4,175,-0.00824092320033482,0.8342857142857143,0.10857142857142857,-0.11321428571428571,1,0.09566704545702254,0.01297798767552844,0.0011783647537231445,0.7639387397251903,0.4912723214285714,354,247,0.96
L13.H13,175,-0.008125784737723215,0.7142857142857143,0.10285714285714286,-0.09464285714285714,1,0.07849549021039691,0.01176595789979079,0.0012894749641418457,0.5640469298711205,0.3502232142857143,354,285,0.88
