head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,The force is 50 newtons. Unit:,-0.002197265625,0.0,True,3,5.045989513397217,5.005699634552002,-0.040289878845214844,0.0018700241344049573,-0.000152587890625,-0.04024144869215292,-0.015625,37,37,False
L0.H0,1,The distance is 150 kilometers. Unit:,-0.0050048828125,-0.078125,False,1,3.865776538848877,3.9358839988708496,0.07010746002197266,0.0007570942398160696,7.534027099609375e-05,0.04408482142857143,-0.01171875,36,34,True
L0.H0,2,The energy released is 100 joules. Unit:,-0.00299072265625,-0.0390625,False,1,5.890061378479004,5.9312968254089355,0.04123544692993164,0.0007153669139370322,2.5272369384765625e-05,0.05402650356778797,0.0390625,211,205,True
L0.H0,3,The memory capacity is 16 gigabytes. Unit:,0.0037841796875,0.0546875,False,1,5.4307098388671875,5.375331878662109,-0.055377960205078125,0.0010384286288172007,-3.647804260253906e-05,-0.07507360157016683,-0.046875,170,176,False
L0.H0,4,The pressure is 1013 pascals. Unit:,0.00341796875,0.0078125,False,1,4.240022659301758,4.269660472869873,0.029637813568115234,0.0009077712893486023,2.9206275939941406e-06,0.04503676470588235,0.03515625,485,478,True
L0.H0,5,The velocity is 60 miles per hour. Unit:,0.0003662109375,-0.03125,False,1,4.3152642250061035,4.350845813751221,0.03558158874511719,0.0005618982831947505,3.5762786865234375e-07,0.009917355371900827,-0.0234375,846,848,False
L0.H0,6,The capacitance is 10 microfarads. Unit:,0.0015869140625,0.015625,False,1,4.035447120666504,4.0260162353515625,-0.009430885314941406,0.0002833336475305259,0.000213623046875,0.007419183889772125,0.015625,5,5,False
L0.H0,7,The wavelength is 500 nanometers. Unit:,-0.000244140625,0.0078125,False,1,4.377279281616211,4.386078357696533,0.008799076080322266,0.0009685069089755416,0.0,0.0,0.0078125,797,805,False
L0.H0,8,The resistance is 100 ohms. Unit:,0.003662109375,0.046875,False,1,5.10360050201416,5.078129768371582,-0.025470733642578125,0.0004008935356978327,-1.9073486328125e-06,-0.012195121951219513,0.00390625,367,363,True
L0.H0,9,The volume is 500 milliliters. Unit:,0.00225830078125,0.0234375,False,1,5.029600143432617,5.0299577713012695,0.00035762786865234375,0.0006899266736581922,2.9087066650390625e-05,0.030980192991366177,0.03515625,93,93,False
L0.H0,10,The radioactivity is 50 becquerels. Unit:,-0.00250244140625,-0.03125,False,1,6.59404182434082,6.59707498550415,0.003033161163330078,0.0012181629426777363,-1.1920928955078125e-07,-0.0010141987829614604,0.005859375,798,796,True
L0.H0,11,The duration is 120 seconds. Unit:,-0.00140380859375,-0.015625,False,1,6.284679412841797,6.2846503257751465,-2.9087066650390625e-05,0.0004474444140214473,8.940696716308594e-07,0.0234375,0.0234375,1995,1963,True
L0.H0,12,The illuminance is 500 lux. Unit:,-0.0068359375,-0.046875,False,1,5.422050952911377,5.465886116027832,0.04383516311645508,0.0006059282459318638,1.0132789611816406e-06,0.05,0.037109375,2262,2220,True
