head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,43,-0.061908810637718026,1.0,0.32558139534883723,-0.7770712209302325,2,0.5542276903640392,0.13224735128325085,0.004167092400927877,7.389030530041065,1.452625363372093,406,127,1.0
L12.H8,43,-0.029100285019985465,0.813953488372093,0.11627906976744186,-0.31940406976744184,1,0.27495819468830907,0.04426703520314118,0.0007982891659403956,1.0868327611326694,0.4700672238372093,406,271,0.8837209302325582
L18.H4,43,-0.024351607921511628,0.9534883720930233,0.18604651162790697,-0.295421511627907,1,0.24336029762445494,0.03403310510221609,0.0011901897053385889,1.602307545386086,0.7261537063953488,406,200,0.9534883720930233
L12.H9,43,-0.018854185592296513,0.6744186046511628,0.18604651162790697,-0.22093023255813954,1,0.14780860723451125,0.0397087428935392,0.0004490877306738565,0.9279321050460498,0.4903252180232558,406,247,0.8837209302325582
L11.H1,43,-0.014516431231831396,0.8837209302325582,0.13953488372093023,-0.13935319767441862,1,0.11234572321869606,0.013343591876544578,0.0003841061924779138,0.46197892224214837,0.30309774709302323,406,310,0.9069767441860465
L22.H2,43,-0.014498688453851744,0.9069767441860465,0.13953488372093023,-0.1647892441860465,1,0.13944471159646676,0.00780779629848291,0.0006496642911156943,0.4387329732957305,0.26580668604651164,406,336,1.0
L13.H6,43,-0.014003310092659883,0.8372093023255814,0.11627906976744186,-0.12536337209302326,1,0.09689789040144099,0.0055495243178420636,0.0002551882766013922,0.23790163826542543,0.16587936046511628,406,356,0.8837209302325582
L13.H13,43,-0.013803171557049418,0.7209302325581395,0.18604651162790697,-0.1673328488372093,1,0.10649894559106161,0.02052287460672994,0.0003981160563091899,0.6903638837732446,0.40338844476744184,406,292,0.8837209302325582
L11.H11,43,-0.013712328533793604,0.5813953488372093,0.13953488372093023,-0.11010174418604651,1,0.09812799165415209,0.021645647701049268,0.0003003921619681425,0.4943938913864514,0.30019077034883723,406,309,0.8604651162790697
L15.H14,43,-0.013212691905886628,0.8604651162790697,0.06976744186046512,-0.15025436046511628,1,0.1336407883222713,0.01102232533442073,0.000519157842148182,0.4706631319892839,0.2859284156976744,406,322,0.8604651162790697
L16.H0,43,-0.011601647665334303,0.813953488372093,0.06976744186046512,-0.10537790697674419,1,0.08631783307984818,0.007327090293645512,0.0003169636393702307,0.26815520564208434,0.16592478197674418,406,358,0.8372093023255814
L12.H15,43,-0.011337635128997093,0.8604651162790697,0.046511627906976744,-0.08902616279069768,1,0.0701027748196624,0.0030872074137225226,0.0002300392749697663,0.17684193859787484,0.1308139534883721,406,368,0.9069767441860465
L14.H12,43,-0.009802529978197675,0.7906976744186046,0.11627906976744186,-0.09066133720930232,1,0.06653861112372819,0.0033178905358126516,0.00017444338909415312,0.2651876342060747,0.19740188953488372,406,352,0.9069767441860465
L15.H13,43,-0.009486708530159883,0.7209302325581395,0.06976744186046512,-0.10501453488372094,1,0.0783940082372621,0.010768710374344834,0.0002977057944896609,0.4378953527852724,0.2539516715116279,406,322,0.9302325581395349
L16.H6,43,-0.008398011673328489,0.813953488372093,0.09302325581395349,-0.10374273255813954,1,0.07566242994264115,0.006973453272177383,0.00027471919392430504,0.3791337647917504,0.26353561046511625,406,309,0.9534883720930233
L16.H3,43,-0.0068742619004360465,0.5813953488372093,0.09302325581395349,-0.05232558139534884,1,0.031487475994021394,0.004329464513386145,0.0004259500392647677,0.94180611675038,0.23564680232558138,406,371,0.7441860465116279
L18.H0,43,-0.0067159963208575585,0.5116279069767442,0.16279069767441862,-0.07430959302325581,1,0.03885905687199082,0.008361514925084966,0.0006394372429958609,0.4307164733625783,0.22810683139534885,406,390,0.627906976744186
L15.H6,43,-0.006581860919331395,0.7906976744186046,0.09302325581395349,-0.07430959302325581,1,0.06670240468757097,0.004709905235443351,0.00021207193995631017,0.25127355177447497,0.17555414244186046,406,344,0.8837209302325582
L15.H9,43,-0.00649669558502907,0.6046511627906976,0.06976744186046512,-0.06558866279069768,1,0.0399387936259425,0.004533364445642504,0.00023949562117110852,0.18008574840790698,0.12000363372093023,406,367,0.5813953488372093
L23.H9,43,-0.005763563998909884,0.7906976744186046,0.046511627906976744,-0.08321220930232558,1,0.053756148316139396,0.004058664223330832,0.00015815745952517488,0.20926835815214614,0.14507630813953487,406,345,0.9302325581395349
L11.H6,43,-0.005762144576671512,0.6976744186046512,0.023255813953488372,-0.043059593023255814,1,0.040244346441224564,0.0029511687313314786,0.00024214040401370027,0.20990477407870142,0.17160247093023256,406,362,0.9069767441860465
L18.H8,43,-0.0054704533066860465,0.7209302325581395,0.06976744186046512,-0.054142441860465115,1,0.03722045587938885,0.005349169617930297,9.470069131185842e-05,0.203054423131504,0.14948219476744187,406,331,0.813953488372093
L15.H11,43,-0.005347673283066861,0.627906976744186,0.046511627906976744,-0.038699127906976744,1,0.03928473383881325,0.0032995761010720026,8.892042692317519e-05,0.18668017754338978,0.11123728197674419,406,378,0.627906976744186
L8.H7,43,-0.0048828125,0.5116279069767442,0.09302325581395349,-0.04215116279069767,1,0.033473181170086526,0.004671967129472123,8.188985114873842e-05,0.1352565128913602,0.10169876453488372,406,364,0.8604651162790697
L20.H12,43,-0.0042398142260174415,0.5348837209302325,0.06976744186046512,-0.03197674418604651,1,0.020396332408106604,0.0028721870905936285,5.932048309681027e-05,0.12971456405853904,0.07140261627906977,406,393,0.5116279069767442
L19.H2,43,-0.003948122956031977,0.7209302325581395,0.046511627906976744,-0.05232558139534884,1,0.037495507750400274,0.003083984917138032,0.00027793091396952784,0.28331445061773974,0.21734193313953487,406,324,0.8604651162790697
L13.H8,43,-0.0037628883539244187,0.6976744186046512,0.046511627906976744,-0.04269622093023256,1,0.034240295720654866,0.0016805173146949952,8.397878602493641e-05,0.08496098752084102,0.061091933139534885,406,379,0.813953488372093
L13.H5,43,-0.0036543025526889535,0.6976744186046512,0.023255813953488372,-0.04124273255813953,1,0.03711408792540084,0.00340054438958421,0.0001297662424486737,0.14281052304878836,0.10819404069767442,406,357,0.8604651162790697
L19.H6,43,-0.0035364905069040697,0.627906976744186,0.0,-0.031795058139534885,1,0.024558377820391986,0.0019453767361187072,0.00046639109766760537,0.14049869968967585,0.10269803779069768,406,379,0.7906976744186046
L23.H13,43,-0.0034264852834302324,0.813953488372093,0.06976744186046512,-0.03306686046511628,1,0.021473252496054005,0.000889490432813926,0.00016248780627583348,0.05294266639920819,0.0384265988372093,406,395,0.7441860465116279
L15.H3,43,-0.0033384811046511626,0.627906976744186,0.06976744186046512,-0.024164244186046513,1,0.01798635859822118,0.0016603368245807022,0.0002726538236751113,0.13143341798003358,0.07830668604651163,406,402,0.4186046511627907
L11.H8,43,-0.0030964696130087207,0.6976744186046512,0.0,-0.019622093023255814,1,0.012948812440384266,0.0013987248994242183,7.418837658194609e-05,0.057980666237736164,0.05291606104651163,406,389,0.7441860465116279
L17.H15,43,-0.002749420875726744,0.5348837209302325,0.0,-0.021257267441860465,1,0.020457855490751044,0.000928703152630776,1.6226324924202853e-05,0.05764925998222665,0.04514898255813953,406,388,0.5813953488372093
L9.H3,43,-0.0027238712754360465,0.5348837209302325,0.023255813953488372,-0.02943313953488372,1,0.018977558890054393,0.002761580114290768,9.872608406599177e-05,0.06161261711915291,0.0403343023255814,406,392,0.6511627906976745
L19.H3,43,-0.0025265715843023257,0.46511627906976744,0.023255813953488372,-0.02252906976744186,1,0.012198642242786497,0.0011301132979624103,1.6402366549469705e-05,0.044772904161269986,0.03143168604651163,406,397,0.3953488372093023
L17.H7,43,-0.0024818597837936046,0.6046511627906976,0.046511627906976744,-0.02688953488372093,1,0.022668450377708257,0.001505250190750176,0.00010011362475018169,0.08088713457825727,0.062454578488372096,406,391,0.627906976744186
L14.H2,43,-0.0023228844930959303,0.5348837209302325,0.023255813953488372,-0.024527616279069766,1,0.021608701972074287,0.0013502854277714167,6.590887557628543e-05,0.07519187412314891,0.058230377906976744,406,388,0.6511627906976745
L20.H13,43,-0.0022838503815406975,0.7209302325581395,0.023255813953488372,-0.026526162790697673,1,0.024674493213032566,0.0014611692912335139,0.00016179750132006267,0.08996749176326053,0.07262899709302326,406,377,0.813953488372093
