head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence,donor_token_prob_delta,donor_token_prob_increase_rate,donor_token_logit_delta,donor_token_rank_pre,donor_token_rank_post,donor_token_rank_increased
L0.H0,0,The home stadium of Manchester United is the,-0.0029296875,-0.015625,False,1,2.6331381797790527,2.6532833576202393,0.020145177841186523,4.1266874177381396e-05,-4.57763671875e-05,-0.004803843074459567,-0.015625,6,6,False
L0.H0,1,The home stadium of Liverpool is the,0.00146484375,0.0078125,False,1,1.2965927124023438,1.2846426963806152,-0.011950016021728516,0.00028940243646502495,-8.106231689453125e-06,-0.02823920265780731,-0.0234375,82,83,False
L0.H0,2,The home stadium of Arsenal is the,0.00048828125,0.0,False,1,1.6491717100143433,1.649430274963379,0.00025856494903564453,-0.00018956352141685784,-4.00543212890625e-05,-0.015475313190862197,-0.015625,17,17,False
L0.H0,3,The home stadium of Chelsea is the,0.00048828125,0.0,False,1,1.4975275993347168,1.49543035030365,-0.0020972490310668945,-0.00016536813927814364,6.556510925292969e-07,0.00819672131147541,0.0078125,230,230,False
L0.H0,4,The home stadium of Barcelona is the,0.00048828125,0.0078125,False,1,1.8162626028060913,1.8119633197784424,-0.004299283027648926,-1.2522854376584291e-05,1.9073486328125e-06,0.0006747638326585695,0.0078125,15,15,False
L0.H0,5,The home stadium of Real Madrid is the,-0.0009765625,-0.0078125,False,1,3.241572380065918,3.2487545013427734,0.007182121276855469,9.73765563685447e-05,-2.09808349609375e-05,-0.010091743119266056,-0.015625,32,32,False
L0.H0,6,The home stadium of Bayern Munich is the,-0.00244140625,-0.015625,False,1,1.8307430744171143,1.8511910438537598,0.020447969436645508,-0.0002549225464463234,2.288818359375e-05,0.00395778364116095,-0.0078125,4,4,False
L0.H0,7,The home stadium of Borussia Dortmund is the,-0.000244140625,0.0,False,1,4.7107391357421875,4.705202102661133,-0.0055370330810546875,4.7865789383649826e-05,-8.940696716308594e-07,-0.02617801047120419,-0.0234375,1030,1039,False
L0.H0,8,The home stadium of AC Milan is the,0.00634765625,0.0234375,False,1,2.209110975265503,2.1899075508117676,-0.01920342445373535,5.214352859184146e-05,-0.003173828125,-0.010878661087866108,0.0,2,2,False
L0.H0,9,The home stadium of Juventus is the,0.00244140625,0.0,False,1,2.5320944786071777,2.527989387512207,-0.004105091094970703,6.465121987275779e-05,-1.1920928955078125e-07,-0.015503875968992248,-0.01953125,1494,1518,False
L0.H0,10,The home stadium of New York Yankees is the,-0.0029296875,-0.0078125,False,1,2.9012889862060547,2.9145612716674805,0.013272285461425781,0.0002649578091222793,7.152557373046875e-07,0.003121748178980229,0.0,193,192,True
L0.H0,11,The home stadium of Boston Red Sox is the,0.0009765625,0.0,False,1,1.3972853422164917,1.3949878215789795,-0.002297520637512207,0.00039162259781733155,-5.960464477539063e-08,-0.012987012987012988,-0.00390625,1441,1447,False
L0.H0,12,The home stadium of Los Angeles Dodgers is the,0.0048828125,0.03125,False,1,4.578867435455322,4.554732322692871,-0.024135112762451172,-4.433706635609269e-06,-1.33514404296875e-05,-0.0046449900464499,0.0078125,44,44,False
L0.H0,13,The home stadium of Chicago Cubs is the,0.01171875,0.046875,False,1,3.416222333908081,3.353692054748535,-0.0625302791595459,0.0006079173181205988,3.5762786865234375e-07,0.002407704654895666,0.0234375,283,275,True
L0.H0,14,The home stadium of San Francisco Giants is the,0.00537109375,0.015625,False,1,4.077166557312012,4.063671112060547,-0.013495445251464844,0.0002526124007999897,5.960464477539063e-08,0.010869565217391304,0.0078125,2899,2865,True
L0.H0,15,The home stadium of Los Angeles Lakers is the,0.0009765625,0.0078125,False,1,3.006319522857666,2.9992733001708984,-0.007046222686767578,-0.00011065124999731779,2.86102294921875e-05,0.009096422073984234,0.015625,21,21,False
L0.H0,16,The home stadium of Golden State Warriors is the,-0.00146484375,0.0,False,1,3.0483779907226562,3.0497608184814453,0.0013828277587890625,-1.3132354069966823e-05,2.0265579223632812e-06,0.012481644640234948,0.015625,256,250,True
L0.H0,17,The home stadium of Chicago Bulls is the,0.0,-0.0078125,False,1,1.8015961647033691,1.805831789970398,0.004235625267028809,0.00046735728392377496,-0.000179290771484375,-0.03057905009759271,-0.0390625,8,9,False
L0.H0,18,The home stadium of Boston Celtics is the,-0.00048828125,0.0,False,1,0.9357583522796631,0.9372137188911438,0.0014553666114807129,0.0001810576650314033,3.0994415283203125e-06,0.0072992700729927005,0.0078125,42,41,True
L0.H0,19,The home stadium of Miami Heat is the,0.00390625,0.0234375,False,1,2.6050198078155518,2.5744857788085938,-0.030534029006958008,0.00028008822118863463,-5.364418029785156e-07,-0.03571428571428571,-0.021484375,1181,1196,False
L0.H0,20,The home stadium of Dallas Cowboys is the,0.00146484375,0.0,False,1,3.8660507202148438,3.878732442855835,0.012681722640991211,6.106868386268616e-05,-5.960464477539063e-08,-0.0015432098765432098,-0.0078125,795,805,False
L0.H0,21,The home stadium of New England Patriots is the,0.001953125,0.015625,False,1,1.2728605270385742,1.2582472562789917,-0.01461327075958252,-5.4863630793988705e-05,-1.5497207641601562e-06,-0.009406657018813314,0.00390625,142,142,False
L0.H0,22,The home stadium of Green Bay Packers is the,-0.0048828125,-0.0234375,False,1,1.68935227394104,1.7230651378631592,0.03371286392211914,-8.888915181159973e-05,5.841255187988281e-06,0.02897693672383205,0.01171875,145,144,True
L0.H0,23,The home stadium of Kansas City Chiefs is the,-0.001953125,-0.0078125,False,1,1.7468425035476685,1.7581233978271484,0.01128089427947998,5.7381068472750485e-05,-1.1920928955078125e-07,-0.006734006734006734,-0.01171875,737,741,False
