head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L15.H7,25,-0.2310894775390625,0.92,0.2,-1.2365625,1,1.1420679807662963,0.3747562700510025,0.055547933578491214,102.85224101985041,3.16640625,464,50,1.0
L17.H6,25,-0.12078369140625,0.8,0.12,-0.8525,2,0.723299241065979,0.24235004372894764,0.009301428794860839,76.39167333348968,1.89390625,464,100,0.92
L13.H1,25,-0.0495458984375,0.76,0.04,-0.26,1,0.26074211597442626,0.0539476621337235,0.0059676384925842286,3.288143125404085,1.109609375,464,199,0.92
L15.H3,25,-0.0464013671875,0.76,0.04,-0.2390625,1,0.2325925922393799,0.028896767254918812,0.0059467172622680664,1.2642514021405775,0.524375,464,334,0.84
L15.H6,25,-0.03566650390625,0.76,0.0,-0.1446875,1,0.14166298627853394,0.043403931106440724,0.0008983469009399414,0.5725621654157353,0.236015625,464,346,0.72
L16.H1,25,-0.0281689453125,0.72,0.0,-0.1190625,1,0.1292985725402832,0.013795162145979702,0.0009785795211791992,0.4010246536670858,0.26234375,464,388,0.8
L18.H10,25,-0.0267626953125,0.8,0.04,-0.1440625,1,0.14780209541320802,0.011840798270422965,-0.0010898733139038086,0.1832904485611843,0.022734375,464,482,0.48
L22.H7,25,-0.01814453125,0.64,0.04,-0.01,1,-0.0009029603004455566,0.020586906634271145,-0.0003824496269226074,-0.10551531350081036,-0.121015625,464,561,0.32
L14.H7,25,-0.0170849609375,0.64,0.0,-0.075625,1,0.08492144584655761,0.009031706735258922,0.000229949951171875,0.37295532250680874,0.245078125,464,389,0.8
L19.H12,25,-0.015751953125,0.64,0.0,-0.0578125,1,0.08002056121826172,0.012416121698915959,0.0003736782073974609,0.07033210589896262,-0.00046875,464,462,0.48
L18.H14,25,-0.0139501953125,0.56,0.0,-0.0775,1,0.09683611392974853,0.02524359939387068,0.00019300222396850586,0.08690811513512005,-0.076640625,464,541,0.24
L18.H9,25,-0.01390380859375,0.76,0.0,-0.1,1,0.0795331859588623,0.010380292707122863,0.0008550143241882324,0.30886931363658127,0.182578125,464,401,0.72
L18.H8,25,-0.0135302734375,0.6,0.0,-0.0603125,1,0.06141124725341797,0.0070194414048455655,0.0003486156463623047,0.284165379533269,0.16578125,464,355,0.6
L19.H0,25,-0.012294921875,0.56,0.0,-0.0496875,1,0.08450723171234131,0.018040164727717637,-4.4357776641845706e-05,0.0189841416436761,-0.06078125,464,505,0.2
L20.H9,25,-0.0111572265625,0.6,0.0,-0.05375,1,0.053779208660125734,0.010826646893401631,7.159233093261718e-05,0.022983010324541784,-0.030625,464,485,0.28
L19.H9,25,-0.010849609375,0.6,0.0,-0.0625,1,0.07334132432937622,0.010156081833411008,-0.001137068271636963,0.11910236542763815,0.011015625,464,459,0.48
L16.H11,25,-0.0106884765625,0.52,0.0,-0.0528125,1,0.06556183815002442,0.008862782381474971,-0.0016745257377624512,-0.15619231932881497,-0.2312890625,464,557,0.04
L16.H6,25,-0.00954833984375,0.6,0.0,-0.0396875,1,0.04981492280960083,0.006130769858136773,0.0010935163497924805,0.337074827931412,0.24515625,464,376,0.76
L22.H11,25,-0.0093408203125,0.76,0.0,-0.056875,1,0.05435969829559326,0.003986058795126155,0.0015595126152038574,0.11497073461810019,0.0175390625,464,460,0.4
L17.H4,25,-0.0080908203125,0.52,0.04,-0.059375,1,0.06028123378753662,0.014655013517476619,-0.00014812707901000976,-0.07834191460875661,-0.1489453125,464,546,0.2
L15.H11,25,-0.00767578125,0.68,0.0,-0.0459375,1,0.04187572240829468,0.002565636464569252,0.0008786702156066894,0.1749081923825841,0.09515625,464,432,0.6
L21.H11,25,-0.00753173828125,0.48,0.04,-0.0425,1,0.040556392669677734,0.004865783843415556,-0.0014764928817749023,0.021767179677922462,-0.027890625,464,492,0.28
L11.H3,25,-0.00739990234375,0.52,0.0,-0.013125,1,0.01562772512435913,0.008509568574372678,0.0023116660118103027,0.14131465578459113,0.111875,464,419,0.44
L22.H1,25,-0.00716796875,0.6,0.0,-0.0453125,1,0.05121715545654297,0.0025288303771139908,0.000288240909576416,0.05850424003679175,0.0165625,464,462,0.24
L23.H13,25,-0.006806640625,0.52,0.0,-0.036875,1,0.02925307273864746,0.002307494945125654,0.0002310037612915039,0.057843562860704904,0.0303125,464,463,0.48
L15.H9,25,-0.00673828125,0.64,0.0,-0.035,1,0.04099410057067871,0.0035051542927976697,-0.0003757071495056152,0.15564481107624964,0.103125,464,435,0.64
L14.H14,25,-0.00630126953125,0.68,0.04,-0.015625,1,0.025960140228271485,0.004204773455858231,0.00024412631988525392,-0.08147283616343844,-0.09890625,464,488,0.28
L17.H0,25,-0.00599853515625,0.6,0.04,-0.04875,1,0.03557662010192871,0.0049525384977459905,0.0003133845329284668,0.3475856278374703,0.2390625,464,399,0.76
L22.H10,25,-0.0053466796875,0.6,0.04,0.045625,1,-0.043806889057159425,0.014610585870686919,0.0006343340873718262,-0.15740495077048844,-0.159921875,464,567,0.2
L14.H5,25,-0.00527099609375,0.52,0.0,-0.0203125,1,0.027492151260375977,0.004239805054385215,2.825021743774414e-05,0.08200079021834782,0.0603125,464,448,0.52
L15.H10,25,-0.00496337890625,0.68,0.04,-0.0265625,1,0.019103193283081056,0.0027151009486988185,-0.0005401802062988281,-0.09403848268023857,-0.110703125,464,501,0.16
L13.H13,25,-0.0047998046875,0.52,0.0,-0.0203125,1,0.02645906925201416,0.003942093336954713,0.0009937715530395509,0.14117902288032444,0.104921875,464,434,0.64
L21.H14,25,-0.0046435546875,0.72,0.0,-0.0171875,1,0.020159587860107422,0.0017498990148305893,0.0002963733673095703,0.03893915383367349,0.024453125,464,449,0.44
L18.H0,25,-0.00338623046875,0.56,0.04,-0.0225,1,0.01432612419128418,0.001714542832924053,8.446216583251953e-05,0.04640556509375493,0.032734375,464,458,0.68
L18.H5,25,-0.0029736328125,0.52,0.0,-0.0015625,1,0.0045351839065551755,0.003493206641287543,0.0009964227676391602,-0.048499742338258135,-0.058828125,464,491,0.12
L17.H8,25,-0.0028759765625,0.72,0.0,-0.0165625,1,0.01779597520828247,0.00038302084969473073,-3.631830215454102e-05,0.03904005693667129,0.021171875,464,464,0.36
L14.H8,25,-0.00259033203125,0.68,0.0,-0.0096875,1,0.010109772682189941,0.0005105586181161925,0.0003712916374206543,0.006878030241116861,0.0015625,464,469,0.24
L18.H13,25,-0.0024560546875,0.6,0.0,-0.015,1,0.023801565170288086,0.0010699166398262605,-0.00016480684280395508,0.0040152012903109805,-0.012578125,464,462,0.2
L21.H3,25,-0.0022509765625,0.52,0.0,-0.03875,1,0.025462851524353028,0.017627719803713263,-0.0010350179672241212,0.07879474484733721,0.02484375,464,478,0.56
L20.H1,25,-0.0022265625,0.52,0.0,-0.00375,1,0.006695885658264161,0.0025125904550077393,-0.0003792142868041992,-0.025867077146932434,-0.03296875,464,470,0.24
L16.H2,25,-0.002216796875,0.36,0.0,-0.0096875,1,0.010026075839996339,0.0011285209262132411,-1.504659652709961e-05,0.03307934949185129,0.02390625,464,460,0.52
L21.H12,25,-0.00211669921875,0.48,0.0,-0.0103125,1,0.007284755706787109,0.0009340061288094148,0.00018963336944580078,0.0052566446720702965,0.0003125,464,463,0.2
L11.H1,25,-0.0020947265625,0.6,0.04,-0.0159375,1,0.0082159423828125,0.004274051673710346,0.00018903732299804687,0.064945850503755,0.0421875,464,468,0.48
L21.H1,25,-0.00208984375,0.64,0.0,-0.0115625,1,0.013190572261810302,0.0005041403113864362,-0.0001396489143371582,0.03103145583637254,0.021953125,464,452,0.48
L15.H0,25,-0.0019873046875,0.44,0.0,-0.003125,1,0.0035181093215942384,0.0005745472482522018,0.0003039073944091797,0.035100375512949394,0.03,464,462,0.36
L23.H14,25,-0.00189453125,0.64,0.0,-0.01,1,0.011876914501190185,0.0002801578302751295,0.00014719247817993164,0.021837014284566726,0.013359375,464,457,0.44
L11.H13,25,-0.0018701171875,0.56,0.0,-0.0078125,1,0.0030018424987792967,0.0003982253250433132,2.9544830322265625e-05,0.007485103836702849,0.003203125,464,463,0.36
L14.H12,25,-0.001796875,0.6,0.0,-0.0134375,1,0.013476319313049316,0.00045842742518289016,0.00024268865585327148,0.03182993709758865,0.0203125,464,458,0.44
L13.H3,25,-0.0016943359375,0.52,0.0,-0.00625,1,0.00818307399749756,0.00038353035517502577,-0.00028451204299926756,-0.005188740438180203,-0.00984375,464,469,0.24
L16.H3,25,-0.0016552734375,0.52,0.0,-0.0071875,1,0.008142805099487305,0.00017757856694515793,-6.588935852050782e-05,0.015454981664439975,0.010078125,464,460,0.28
L20.H0,25,-0.0016357421875,0.52,0.0,-0.009375,1,0.015074055194854736,0.0027181703300448133,-0.00030503034591674807,0.011246198881357798,0.0061328125,464,490,0.24
L15.H12,25,-0.0014990234375,0.56,0.0,-0.0046875,1,0.006085290908813477,0.0008933753479504957,-0.0001224684715270996,-0.0034111563969587994,-0.0090625,464,472,0.28
L22.H8,25,-0.0014990234375,0.4,0.0,-0.00875,1,0.007923212051391602,0.0006853993644472212,-0.0004320263862609863,0.003949920838678968,-0.0034375,464,470,0.36
L21.H2,25,-0.001474609375,0.52,0.0,-0.0059375,1,0.005920376777648926,0.0001410360645604669,0.0006834650039672851,0.009893683022235202,0.0065625,464,461,0.4
L17.H12,25,-0.00145263671875,0.48,0.0,-0.011875,1,-0.003307309150695801,0.004695864836685359,-9.879827499389648e-05,0.0035246811962279232,-0.010703125,464,477,0.4
L6.H2,25,-0.0014208984375,0.68,0.0,-0.006875,1,0.008768439292907715,0.00010463603452080861,2.360343933105469e-06,0.008732400711086379,0.00375,464,463,0.36
L9.H5,25,-0.0014208984375,0.72,0.0,-0.0053125,1,0.007661581039428711,0.0001666148952790536,-7.753372192382813e-06,0.001962273882505182,-0.0009375,464,465,0.28
L14.H13,25,-0.0013671875,0.64,0.0,-0.005,1,0.006190297603607178,7.051586137095e-05,-1.6345977783203126e-05,0.004099325899673498,0.00171875,464,463,0.36
L13.H8,25,-0.001357421875,0.72,0.0,-0.0065625,1,0.006808769702911377,0.00010015116742579267,7.321357727050781e-05,0.0011772249938505263,-0.003046875,464,466,0.28
