head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L18.H8,44,-0.09291111339222301,1.0,0.5,-0.8767755681818182,2,0.48253577947616577,0.11939867331900379,0.030623468485745518,4.01188398321292,1.2447620738636365,46,13,0.9772727272727273
L16.H15,44,-0.013877175071022728,0.5454545454545454,0.0,-0.10653409090909091,1,0.08970562436363914,0.01200136900297366,0.002138408747586337,0.8306389301879029,0.25621448863636365,46,26,0.38636363636363635
L17.H6,44,-0.010803916237571022,0.6590909090909091,0.09090909090909091,-0.111328125,1,0.06193712624636563,0.02733301802072674,0.005910521203821356,0.6977120603362036,0.41166548295454547,46,26,0.8636363636363636
L15.H6,44,-0.009538130326704546,0.9318181818181818,0.022727272727272728,-0.07865767045454546,1,0.05723970586603338,0.0024010919104594823,0.0023812380704012785,0.23109906989188317,0.1835049715909091,46,40,0.7272727272727273
L14.H7,44,-0.008467240767045454,0.8409090909090909,0.045454545454545456,-0.07475142045454546,1,0.055567768487063324,0.0036901312639449975,0.0021368563175201416,0.3412213123569274,0.24058948863636365,46,36,0.6590909090909091
L13.H1,44,-0.00696563720703125,0.7954545454545454,0.09090909090909091,-0.07244318181818182,1,0.03917204249988903,0.004145629177483815,0.003712375055659901,0.24119706725518186,0.19841974431818182,46,40,0.7045454545454546
L12.H7,44,-0.005986300381747159,0.6363636363636364,0.045454545454545456,-0.028409090909090908,1,0.0046641935001720085,0.0050217292036078024,-0.0007478621872988614,-0.07153771456052004,-0.08354048295454546,46,49,0.11363636363636363
L21.H10,44,-0.005495938387784091,0.9090909090909091,0.0,-0.044389204545454544,1,0.038883008740165016,0.0007077292664854957,0.0011115561832081187,0.10324740448115159,0.08265269886363637,46,43,0.5
L16.H1,44,-0.005176197398792614,0.9090909090909091,0.0,-0.03835227272727273,1,0.033929440108212555,0.0015212939112891697,0.001006581566550515,0.10909435415213496,0.08957741477272728,46,44,0.5
L16.H6,44,-0.004990317604758523,0.7954545454545454,0.022727272727272728,-0.05007102272727273,1,0.031626766378229317,0.0044798068173060365,0.0023620209910652852,0.30407791973224385,0.2354403409090909,46,34,0.6363636363636364
