head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H2,79,-0.15887653978565072,0.8227848101265823,0.3670886075949367,-1.089003164556962,2,0.6155759473390217,0.38528813494817366,0.00638766002051438,94425.28810923529,2.7256199317642404,979,159,0.9493670886075949
L15.H7,79,-0.08553265921677215,0.7721518987341772,0.17721518987341772,-0.5275909810126582,1,0.3619586765011655,0.139653791614537,0.0005816726744929447,8300.994933100168,0.3689150267009494,979,621,0.6962025316455697
L16.H6,79,-0.03769229937203323,0.7215189873417721,0.0379746835443038,-0.20292721518987342,1,0.21827287726764438,0.03628478478640318,0.0006786962098713163,756.975105227508,0.8852569966376582,979,493,0.8860759493670886
L17.H6,79,-0.03415032881724683,0.6962025316455697,0.0379746835443038,-0.21657436708860758,1,0.1675976809067062,0.04277249866848976,0.00012117020691497416,755.0726578725911,0.19582241396360758,979,798,0.6708860759493671
L14.H5,79,-0.031904003288172465,0.7088607594936709,0.05063291139240506,-0.17948971518987342,1,0.16603553144237662,0.0442283481559893,0.0003096159500411794,0.4688763031954876,0.1580022498022152,979,903,0.6455696202531646
L14.H6,79,-0.031193214126780063,0.6455696202531646,0.0759493670886076,-0.20579509493670886,1,0.10415251496471936,0.03704925938111529,0.0005980594248711309,756.5979385899162,0.5296151849287974,979,702,0.810126582278481
L17.H0,79,-0.02819360660601266,0.6329113924050633,0.05063291139240506,-0.17691851265822786,1,0.14363487460945226,0.02782552047556007,0.000510388537298275,3773.2925046107207,0.4206852007515823,979,720,0.7468354430379747
L14.H7,79,-0.026360234127768986,0.6835443037974683,0.06329113924050633,-0.17701740506329114,1,0.15313370092005668,0.04720523400538707,0.0004395963270452958,755.9469249474378,0.5624660057357594,979,669,0.8481012658227848
L18.H5,79,-0.020804489715189875,0.5949367088607594,0.06329113924050633,-0.13439477848101267,1,0.0685080976425847,0.016036033872043408,0.0002804934223995933,0.105304249631971,-0.09201957606062104,979,1090,0.3670886075949367
L14.H4,79,-0.01725749728045886,0.620253164556962,0.0379746835443038,-0.10621044303797468,1,0.11217645678339125,0.020071226057207472,0.00037428925309000136,754.8942210901082,0.18321363231803797,979,814,0.7088607594936709
L13.H13,79,-0.015633884864517406,0.569620253164557,0.05063291139240506,-0.09998022151898735,1,0.09002743793439262,0.021773425372954035,0.00014797645279123815,754.8249731787549,0.1902983460245253,979,832,0.7848101265822784
L16.H2,79,-0.015105042276503165,0.6329113924050633,0.012658227848101266,-0.05290743670886076,1,0.060619948031027104,0.010049654150056016,0.00024942355819895296,0.42588034493781274,0.20279741890822786,979,860,0.5949367088607594
L16.H1,79,-0.011847001087816455,0.5569620253164557,0.012658227848101266,-0.08613528481012658,1,0.07994305257555805,0.015322918977877242,0.0001297404494466661,754.8003634169132,0.1443736402294304,979,860,0.6835443037974683
L11.H1,79,-0.01121269902096519,0.5316455696202531,0.0379746835443038,-0.06309335443037975,1,0.0405524561676798,0.009018394702609298,6.029575685911541e-05,0.17954918903517592,0.08202043364319621,979,904,0.5443037974683544
L14.H14,79,-0.009794983682753165,0.620253164556962,0.0379746835443038,-0.042919303797468354,1,0.026909935323497915,0.006182037056659501,-7.518031929112689e-05,-0.06271574702232653,-0.11172987539556962,979,1024,0.27848101265822783
L12.H3,79,-0.009530755537974684,0.6708860759493671,0.0379746835443038,-0.053896360759493674,1,0.02867736016647725,0.003659625808101242,3.3850911297375644e-05,0.018287767354040023,-0.023500080350079115,979,989,0.4177215189873418
L15.H10,79,-0.009210127818433545,0.5949367088607594,0.06329113924050633,-0.045490506329113924,1,0.010779006571709356,0.011080995680988307,-0.00015440545504606223,754.3657997467517,-0.1712538320806962,979,1006,0.20253164556962025
L15.H6,79,-0.009197766267800634,0.5822784810126582,0.0379746835443038,-0.07011471518987342,1,0.07384887224511255,0.02608533380877321,0.0003911943375309811,754.795313858845,0.13699997527689872,979,869,0.6329113924050633
L20.H9,79,-0.009071060373813292,0.5822784810126582,0.06329113924050633,-0.043018196202531646,1,0.012453049421310425,0.007000007737196593,-6.527010398575022e-05,754.476890516522,-0.049161886867088604,979,928,0.25316455696202533
L12.H5,79,-0.008962896805775316,0.6075949367088608,0.05063291139240506,-0.041930379746835444,1,0.02924691197238391,0.006058577079726736,-5.5010560192639316e-05,754.515112930833,-0.004298729232594937,979,930,0.45569620253164556
L22.H2,79,-0.00759617286392405,0.7088607594936709,0.012658227848101266,-0.03115110759493671,1,0.024151431608803665,0.002030880408066095,2.9613700094102305e-05,754.6064256015571,0.07453087915348101,979,871,0.6329113924050633
L18.H10,79,-0.007345078866693038,0.6075949367088608,0.02531645569620253,-0.03659018987341772,1,0.019852216107935847,0.007460812314507799,1.933001264741149e-06,0.004380469410155787,-0.028051448773734177,979,1000,0.2911392405063291
L12.H7,79,-0.0068436634691455694,0.620253164556962,0.02531645569620253,-0.008999208860759493,1,0.013239158859735803,0.0031261529402860405,-3.4779687471027615e-05,-0.006843305976000523,-0.021312858484968354,979,993,0.3291139240506329
L7.H8,79,-0.00680271583267405,0.5569620253164557,0.0379746835443038,-0.024821993670886076,1,0.026625390671476533,0.003087516728187381,3.936547267286083e-05,0.07438118147379807,0.04251909859572785,979,962,0.5189873417721519
L22.H7,79,-0.006686826295490506,0.5949367088607594,0.02531645569620253,-0.044007120253164556,1,0.01096422687361512,0.014386979257393203,-3.927870641780805e-05,-0.1360240880064321,-0.19863428043413767,979,1142,0.13924050632911392
L19.H15,79,-0.006673692147943038,0.5443037974683544,0.012658227848101266,-0.025118670886075948,1,0.014604488882837417,0.006378049974241721,-4.374452784091612e-05,-0.04264008486623304,-0.07407659216772151,979,1008,0.27848101265822783
L16.H12,79,-0.0065253535403481016,0.5822784810126582,0.012658227848101266,-0.0546875,1,0.013683620887466623,0.009673532612822196,-6.808963003037851e-05,754.4365451208711,-0.11056325405458861,979,1046,0.35443037974683544
L11.H2,79,-0.006140600276898734,0.6075949367088608,0.012658227848101266,-0.028975474683544302,1,0.02142925843407836,0.0026063191773711787,9.565413752688638e-06,0.007782927984344176,-0.015625,979,968,0.4050632911392405
L13.H5,79,-0.005886415892009494,0.5822784810126582,0.012658227848101266,-0.037678006329113924,1,0.03614357076113737,0.003868877135447073,3.897464728053612e-05,754.5739494401885,0.042268777195411396,979,909,0.569620253164557
L12.H8,79,-0.005613689181170886,0.46835443037974683,0.012658227848101266,-0.004549050632911392,1,0.043783086387416986,0.03059918720782086,0.0001988637296459343,0.26028394816964384,0.14655390872231014,979,871,0.6329113924050633
L19.H12,79,-0.005347143245648734,0.5569620253164557,0.0,-0.03817246835443038,1,0.01939698412448545,0.005218512820900725,3.127734872359264e-05,0.019743606926132452,-0.02058198180379747,979,967,0.35443037974683544
L18.H14,79,-0.005057419402689873,0.5063291139240507,0.012658227848101266,-0.01641613924050633,1,0.006389424770693236,0.0061984374222884995,-3.340576268449614e-05,-0.049403826832424634,-0.08241136768196203,979,1011,0.27848101265822783
L12.H6,79,-0.005045830448971519,0.5443037974683544,0.02531645569620253,-0.011867088607594937,1,0.020626570605024507,0.004351151931391369,3.5821637020835395e-05,0.169683012185105,0.12215066257911393,979,914,0.6962025316455697
L11.H3,79,-0.004946938043908227,0.5822784810126582,0.012658227848101266,-0.030063291139240507,1,0.0369032357312456,0.013484025008599215,-8.32729701754413e-06,754.6121577549576,0.06577581091772151,979,885,0.569620253164557
L14.H1,79,-0.004840319669699367,0.620253164556962,0.012658227848101266,-0.033524525316455694,1,0.014209228980390332,0.0023559784359015712,-1.3002111941953249e-05,-0.011154063554533519,-0.04398394234572785,979,981,0.2911392405063291
L19.H4,79,-0.004810188390031646,0.5569620253164557,0.012658227848101266,-0.02076740506329114,1,0.01621156930923462,0.005071401317188327,-3.114455862890316e-05,0.03477101846088454,0.012633504746835443,979,957,0.3670886075949367
L18.H1,79,-0.004797826839398734,0.5822784810126582,0.02531645569620253,-0.02076740506329114,1,0.02018385597422153,0.014507911704433493,1.152934907357904e-05,0.049811258933041974,0.007205238825158227,979,960,0.43037974683544306
L12.H9,79,-0.004698934434335443,0.569620253164557,0.012658227848101266,-0.028283227848101267,1,0.03721143248714978,0.007295570495432314,7.960238034212137e-05,754.6580125358172,0.10690887064873418,979,888,0.6329113924050633
L8.H5,79,-0.004620129549050633,0.6582278481012658,0.02531645569620253,-0.015822784810126583,1,0.012299663658383527,0.0013605492479459654,-1.5496453152427192e-05,0.0046436629666809105,-0.011017232001582278,979,980,0.379746835443038
