head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,45,-0.05526699490017361,0.9333333333333333,0.15555555555555556,-0.5256944444444445,1,0.353996917936537,0.09590263575988098,0.004297943909962972,3.5235832592303677,0.9347222222222222,342,196,0.9111111111111111
L12.H8,45,-0.026847330729166667,0.9333333333333333,0.08888888888888889,-0.24947916666666667,1,0.21537622345818414,0.01989705700220333,0.00034656922022501625,0.46798776933176006,0.2581597222222222,342,287,0.9111111111111111
L11.H1,45,-0.02382541232638889,0.7333333333333333,0.08888888888888889,-0.23836805555555557,1,0.19835128254360623,0.03902750919676489,0.0012495623694525825,1.2311461599656255,0.59375,342,228,0.8666666666666667
L13.H0,45,-0.021182590060763888,0.8888888888888888,0.06666666666666667,-0.18784722222222222,1,0.12426882319980198,0.015507897439723214,0.0011036237080891927,0.8986441153511543,0.3229166666666667,342,263,0.7555555555555555
L11.H11,45,-0.0189697265625,0.7333333333333333,0.044444444444444446,-0.1685763888888889,1,0.14329033427768284,0.015324759251800261,0.00034689240985446505,0.4192627334543413,0.25225694444444446,342,294,0.8
L13.H15,45,-0.01883884006076389,0.7555555555555555,0.0,-0.14618055555555556,1,0.14590949482387966,0.015424861065629457,0.000358071592119005,0.49887542744921426,0.30911458333333336,342,276,0.8222222222222222
L13.H2,45,-0.01880832248263889,0.7777777777777778,0.08888888888888889,-0.18975694444444444,1,0.13258059289720323,0.033140645703921716,0.000615790155198839,0.4272987763794539,0.24097222222222223,342,280,0.7555555555555555
L12.H15,45,-0.01869845920138889,0.6888888888888889,0.044444444444444446,-0.18020833333333333,1,0.15738122198316787,0.029393027536571026,0.0006716450055440267,0.5529427560787495,0.32526041666666666,342,264,0.8888888888888888
L15.H5,45,-0.01463623046875,0.9111111111111111,0.0,-0.13420138888888888,1,0.11854648060268826,0.005861065650565757,0.0002219729953342014,0.1973714056635605,0.11675347222222222,342,311,0.8666666666666667
L10.H9,45,-0.014520263671875,0.8,0.044444444444444446,-0.140625,1,0.11746039390563964,0.010935013425639933,0.00017233954535590278,0.3040320394119126,0.19027777777777777,342,293,0.8
L16.H0,45,-0.013590494791666666,0.7111111111111111,0.0,-0.1203125,1,0.0833785057067871,0.013276263957636224,0.00015832980473836264,0.2980268216664151,0.17543402777777778,342,303,0.6222222222222222
L14.H4,45,-0.013318549262152778,0.6888888888888889,0.0,-0.13125,1,0.0963533772362603,0.01220417762783149,0.0004578934775458442,0.3867756297642002,0.2361111111111111,342,291,0.7777777777777778
L16.H6,45,-0.01318359375,0.8444444444444444,0.0,-0.1251736111111111,1,0.10719255871242947,0.00958752537974053,0.0004895183775160048,0.5124386515983371,0.29288194444444443,342,269,0.8222222222222222
L19.H2,45,-0.012543402777777778,0.8888888888888888,0.022222222222222223,-0.09739583333333333,1,0.07382432089911567,0.0039553539361804725,0.0005522118674384223,0.31636292785432274,0.23315972222222223,342,290,0.9333333333333333
L23.H9,45,-0.011927625868055555,0.8444444444444444,0.022222222222222223,-0.09236111111111112,1,0.06969940927293565,0.0026504352184322975,8.47511821322971e-05,0.15500951277754088,0.10833333333333334,342,307,0.8888888888888888
L23.H10,45,-0.011516655815972223,0.9555555555555556,0.0,-0.08454861111111112,1,0.06733690367804633,0.0019423492084671226,0.0003483361668056912,0.10535308886723477,0.07118055555555555,342,321,0.7333333333333333
L15.H14,45,-0.010500081380208333,0.7555555555555555,0.0,-0.0842013888888889,1,0.07452043427361382,0.00773118454639593,0.0002687692642211914,0.47281859512637603,0.178125,342,308,0.5777777777777777
L10.H4,45,-0.009361436631944444,0.7555555555555555,0.0,-0.08263888888888889,1,0.07899741596645779,0.004310020870373895,4.895263248019748e-05,0.16424411135045577,0.10876736111111111,342,313,0.8
L21.H10,45,-0.008591715494791667,0.8,0.0,-0.06111111111111111,1,0.056032096015082467,0.0026521181668310114,0.00028685728708902997,0.20744981113215322,0.146875,342,310,0.7555555555555555
L23.H2,45,-0.007618543836805556,0.7333333333333333,0.0,-0.058854166666666666,1,0.050451607174343535,0.0029634173131651348,0.00011209779315524631,0.10275601439218683,0.07586805555555555,342,322,0.7333333333333333
L18.H2,45,-0.006635199652777778,0.8222222222222222,0.0,-0.06493055555555556,1,0.04767424795362685,0.0034614385791226394,0.00010817845662434896,0.24237429539524338,0.1568576388888889,342,302,0.7333333333333333
L18.H5,45,-0.006159125434027778,0.6666666666666666,0.0,-0.04114583333333333,1,0.01905351744757758,0.009857976157218219,-0.0003104448318481445,-0.11247120456320264,-0.1460503472222222,342,379,0.15555555555555556
L15.H13,45,-0.006088595920138889,0.7333333333333333,0.022222222222222223,-0.06753472222222222,1,0.04652707841661241,0.01209131713840179,0.00021976762347751194,0.4688405894401677,0.18077256944444445,342,313,0.6222222222222222
L23.H6,45,-0.006084526909722222,0.6666666666666666,0.0,-0.051041666666666666,1,0.04049135843912761,0.0039001825084495874,0.00017795695198906793,0.09389844623562243,0.06640625,342,326,0.7555555555555555
L13.H13,45,-0.006062825520833333,0.5777777777777777,0.0,-0.058854166666666666,1,0.024626244439019097,0.012051406603616973,0.0003174040052625868,0.3357963532670795,0.21948784722222223,342,308,0.6888888888888889
L14.H8,45,-0.006031629774305556,0.9777777777777777,0.0,-0.05503472222222222,1,0.04472871356540256,0.0007624665858909591,1.8992688920762804e-05,0.05214601946614087,0.02890625,342,333,0.7555555555555555
L21.H14,45,-0.005695258246527778,0.6888888888888889,0.0,-0.04131944444444444,1,0.043136914571126304,0.00264940995322023,0.0002281294928656684,0.19103334736117203,0.13697916666666668,342,309,0.8
L14.H7,45,-0.005691189236111111,0.8,0.0,-0.050868055555555555,1,0.039556895362006295,0.0046097362929786966,0.0007603645324707031,0.25573611212713454,0.15711805555555555,342,307,0.6222222222222222
L23.H15,45,-0.005412462022569444,0.8,0.0,-0.0453125,1,0.036030515034993486,0.0017010344554566675,4.861619737413194e-05,0.06090078458302639,0.04118923611111111,342,331,0.6666666666666666
