head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,41,-0.0711822509765625,0.8048780487804879,0.24390243902439024,-0.6432926829268293,2,0.4770790556582009,0.16104808810916615,0.002588144162806069,11.30352148690437,0.6762576219512195,240,111,0.8048780487804879
L11.H1,41,-0.045588795731707314,0.8292682926829268,0.14634146341463414,-0.40072408536585363,1,0.2991495059757698,0.05643989359278504,0.0025523057798059975,1.3919952016913644,0.4616044207317073,240,193,0.7560975609756098
L22.H2,41,-0.040473751905487805,0.8292682926829268,0.21951219512195122,-0.36623475609756095,1,0.27812168365571555,0.04332110475430765,0.006787933954378453,1.6136052704781316,0.6573932926829268,240,183,0.975609756097561
L13.H0,41,-0.03486596084222561,0.8292682926829268,0.17073170731707318,-0.234375,1,0.15819963740139473,0.028875969970036615,-8.306270692406631e-05,0.35424113344784325,0.09565548780487805,240,239,0.5853658536585366
L13.H2,41,-0.03331254168254573,0.6585365853658537,0.21951219512195122,-0.3624237804878049,1,0.26377336135724694,0.06164762218732659,-0.0003946336304269186,0.6000804283300918,0.17687690548780488,240,215,0.5853658536585366
L16.H6,41,-0.026516053734756097,0.8048780487804879,0.04878048780487805,-0.19264481707317074,1,0.16331925479377188,0.019963329742384347,-4.70135270095453e-05,0.4981260585937871,0.22932545731707318,240,199,0.7073170731707317
L12.H8,41,-0.02227634336890244,0.7317073170731707,0.12195121951219512,-0.23113567073170732,1,0.20129306868809024,0.031235849064570373,0.0005125941299810642,0.5259566392347484,0.20083841463414634,240,212,0.5609756097560976
L11.H6,41,-0.022258479420731708,0.6829268292682927,0.12195121951219512,-0.20769817073170732,1,0.17509738555768642,0.04517591261395776,0.006515360460048769,1.3719536809298105,0.4888528963414634,240,185,0.8048780487804879
L23.H13,41,-0.018847953982469513,0.8048780487804879,0.0975609756097561,-0.1286204268292683,1,0.0931243038758999,0.007758815099894092,0.0007312152443862543,0.37108886315487905,0.2307545731707317,240,207,0.8536585365853658
L11.H11,41,-0.01840284394054878,0.7560975609756098,0.14634146341463414,-0.18197408536585366,1,0.1532268277028712,0.0228128680482325,0.0002932795664159263,0.32575096230164124,0.13157393292682926,240,211,0.6097560975609756
L13.H15,41,-0.018320967511432928,0.7317073170731707,0.0975609756097561,-0.1480564024390244,1,0.11817149418156321,0.022164271701490733,0.0005054793706754359,0.5947513620779941,0.2684832317073171,240,166,0.6341463414634146
L10.H9,41,-0.01619069169207317,0.7317073170731707,0.14634146341463414,-0.16310975609756098,1,0.10976724799086408,0.014320749971197873,0.0006622817458176031,0.33411324314182406,0.16149009146341464,240,217,0.7560975609756098
L22.H0,41,-0.014914908060213415,0.7073170731707317,0.17073170731707318,-0.14557926829268292,1,0.1129750231417214,0.027763961587192083,0.001894748792415712,0.607488899744121,0.3474657012195122,240,191,0.8536585365853658
L13.H6,41,-0.014045529249237805,0.5853658536585366,0.0975609756097561,-0.14405487804878048,1,0.0988283535329307,0.0313142746141771,0.005369987429642096,0.8759680226544652,0.3591844512195122,240,207,0.7560975609756098
L12.H15,41,-0.014020221989329269,0.6097560975609756,0.04878048780487805,-0.1368140243902439,1,0.10132772602686067,0.014626939058383337,0.0015116668329006287,0.38342514441947595,0.18445121951219512,240,210,0.7804878048780488
L16.H0,41,-0.014014267339939025,0.6829268292682927,0.17073170731707318,-0.08384146341463415,1,0.07904486394510037,0.016759026988704757,0.0008086940137351431,0.28727880173537645,0.18645198170731708,240,205,0.6341463414634146
L15.H5,41,-0.012600038109756097,0.7317073170731707,0.07317073170731707,-0.10651676829268293,1,0.10068125259585498,0.006216655734489195,-4.58054426239758e-05,0.195969652554192,0.10080030487804878,240,223,0.6585365853658537
L10.H11,41,-0.010901474371189025,0.6829268292682927,0.12195121951219512,-0.09679878048780488,1,0.054996941147781,0.012472835021581865,0.0003016402081745427,0.3050076103211318,0.16649199695121952,240,218,0.7317073170731707
L12.H7,41,-0.008884336890243903,0.5853658536585366,0.24390243902439024,0.020198170731707318,1,-0.09647566080093384,0.06639031840988048,-0.0016519674440709556,-0.2671276502143109,-0.3493235518292683,240,294,0.1951219512195122
L23.H6,41,-0.008683367473323171,0.6341463414634146,0.04878048780487805,-0.09279725609756098,1,0.05440630418498341,0.01623376594038635,0.0004886461467277713,0.32201120073951134,0.18816692073170732,240,199,0.7317073170731707
L16.H15,41,-0.008592559070121951,0.5609756097560976,0.0,-0.05907012195121951,1,0.0456357016796019,0.005803796265376505,0.0001403282328349788,0.15558338069257643,0.07869664634146341,240,223,0.5121951219512195
L14.H7,41,-0.008172756288109756,0.5121951219512195,0.07317073170731707,-0.047065548780487805,1,0.03802172875985867,0.009929427885231788,0.0001023702505158215,0.07604962046851477,0.04020579268292683,240,238,0.4146341463414634
