head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,40,-0.10068359375,0.8,0.2,-0.6423828125,1,0.42447676621377467,0.16917486332240514,0.010600857436656952,2.6894647785421926,0.748046875,155,83,0.825
L13.H2,40,-0.05366973876953125,0.775,0.15,-0.3794921875,1,0.22579728960990905,0.05878747447859496,0.003059171140193939,0.8719017304414708,0.2578125,155,119,0.65
L13.H15,40,-0.0375457763671875,0.75,0.125,-0.201953125,1,0.1500235192477703,0.037353149557020515,0.0023908600211143493,0.8036034396592363,0.33740234375,155,99,0.675
L11.H1,40,-0.0311187744140625,0.625,0.05,-0.1646484375,1,0.17958121746778488,0.04660727278096601,0.002803000807762146,0.9365944203435446,0.370703125,155,118,0.7
L12.H8,40,-0.02789306640625,0.75,0.075,-0.1845703125,1,0.12697608321905135,0.018627056176774202,-0.0002666682004928589,0.3577193267763452,0.1087890625,155,133,0.575
L13.H0,40,-0.0272216796875,0.65,0.025,-0.144140625,1,0.0995663121342659,0.019131632172502577,0.00017777383327484132,0.2625819713477687,0.09453125,155,147,0.5
L13.H13,40,-0.0261444091796875,0.675,0.025,-0.1271484375,1,0.10485671907663345,0.018788757230504417,0.0013399764895439148,0.2239721266087511,0.09990234375,155,142,0.5
L16.H6,40,-0.0246307373046875,0.8,0.05,-0.1326171875,1,0.10890108086168766,0.011853070060897152,0.0010512694716453552,0.32818271766195906,0.1578125,155,138,0.575
L22.H2,40,-0.022882080078125,0.775,0.075,-0.230078125,1,0.1743536449968815,0.028170798858627676,0.005529700219631195,1.13965039600525,0.478125,155,124,0.8
L15.H13,40,-0.022149658203125,0.625,0.025,-0.1208984375,1,0.07458507753908634,0.024432454602947472,0.0007674306631088257,0.1889859738985381,0.03466796875,155,154,0.25
L11.H11,40,-0.01768798828125,0.675,0.025,-0.083984375,1,0.0991581067442894,0.013430783239891752,0.0004655897617340088,0.3716285452092163,0.20615234375,155,122,0.65
L15.H5,40,-0.0169921875,0.725,0.025,-0.14921875,1,0.11411495506763458,0.014850723838026169,2.3828446865081786e-05,0.26680657641685956,0.0921875,155,140,0.475
L14.H7,40,-0.0150909423828125,0.525,0.075,-0.07890625,1,0.04888150319457054,0.013141235399234574,0.001622900366783142,0.19249685989964965,0.10693359375,155,145,0.425
L16.H0,40,-0.0150054931640625,0.625,0.05,-0.103515625,1,0.05187298357486725,0.024332296702777968,0.002363400161266327,0.22358033888489542,0.10205078125,155,140,0.475
L16.H12,40,-0.0141998291015625,0.625,0.05,-0.053515625,1,0.027140049636363982,0.008346529953996651,0.0003264725208282471,-0.017450310470798477,-0.0548828125,155,166,0.35
