head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L22.H2,40,-0.05632171630859375,0.8,0.05,-0.4587890625,1,0.3141351088881493,0.05453515114495531,0.006144991517066956,2.3715328544906873,0.8252685546875,674,463,0.975
L14.H5,40,-0.050155258178710936,0.7,0.175,-0.43984375,2,0.3375441201031208,0.14846917703252985,0.005624057352542877,6.5512714671349,1.1078857421875,674,319,0.875
L13.H2,40,-0.0343536376953125,0.6,0.225,-0.233203125,1,0.14481749534606933,0.06795505650807172,-5.349069833755493e-05,1.0166469028456773,0.33876953125,674,607,0.675
L11.H6,40,-0.02926025390625,0.675,0.0,-0.209765625,1,0.16964538395404816,0.03482087633456103,0.004545471072196961,1.363483996647886,0.5724853515625,674,550,0.825
L11.H1,40,-0.02911224365234375,0.725,0.125,-0.2650390625,1,0.17764366120100022,0.03901730694924481,0.0018720924854278564,2.2208195019670227,0.60693359375,674,480,0.9
L13.H15,40,-0.02816619873046875,0.625,0.125,-0.180859375,1,0.12775016203522682,0.03727394106099382,0.0012717455625534057,0.9412397123131756,0.5117431640625,674,502,0.95
L23.H6,40,-0.0197723388671875,0.65,0.075,-0.1451171875,1,0.1011458918452263,0.01638305790256709,0.0004979714751243592,0.357807036367796,0.187451171875,674,590,0.75
L11.H11,40,-0.0195770263671875,0.7,0.05,-0.101171875,1,0.11706735342741012,0.024220900621730834,0.0003676682710647583,0.4109783853596062,0.2182373046875,674,593,0.675
L13.H6,40,-0.019097900390625,0.775,0.05,-0.1802734375,1,0.10801028609275817,0.02677671242854558,0.0034325584769248963,0.9319934489854556,0.380859375,674,593,0.725
L13.H0,40,-0.01846466064453125,0.7,0.0,-0.1439453125,1,0.1207793265581131,0.023623221411253326,0.0003160819411277771,0.48832277547030156,0.1786865234375,674,657,0.6
L16.H0,40,-0.01805572509765625,0.65,0.075,-0.1181640625,1,0.0992536947131157,0.020106459222733974,0.000606866180896759,0.3572360729418488,0.1655029296875,674,636,0.575
L10.H9,40,-0.01715545654296875,0.7,0.075,-0.10859375,1,0.07683671340346336,0.011228103826579173,0.0005894884467124939,0.43748733714569427,0.23095703125,674,597,0.725
L12.H15,40,-0.01597442626953125,0.75,0.075,-0.1435546875,1,0.07123731523752212,0.012274721273570322,0.0012252911925315856,0.5731893748468739,0.2501708984375,674,651,0.775
L22.H0,40,-0.0158233642578125,0.475,0.1,-0.142578125,1,0.1002832069993019,0.022955756878945976,0.0010510504245758057,0.7900152331401107,0.3912353515625,674,570,0.9
L23.H13,40,-0.0158172607421875,0.775,0.075,-0.103125,1,0.06936143338680267,0.006638166477205232,0.0006852716207504273,0.35922994392986196,0.211279296875,674,613,0.85
L16.H6,40,-0.01494598388671875,0.65,0.1,-0.1509765625,1,0.15089910179376603,0.0323065499032964,0.000594271719455719,0.694159583836753,0.3356689453125,674,512,0.825
L14.H4,40,-0.01463775634765625,0.575,0.05,-0.0927734375,1,0.07943641543388366,0.020538874171325005,4.3085217475891115e-05,0.4367915773317588,0.176904296875,674,613,0.775
L12.H8,40,-0.013543701171875,0.65,0.075,-0.089453125,1,0.09771925508975983,0.016760824066295754,0.0007036164402961731,0.37904521545670244,0.2431640625,674,611,0.75
L15.H5,40,-0.0132293701171875,0.7,0.075,-0.0955078125,1,0.0831719160079956,0.007060723373433575,0.00011179596185684204,0.3064502091454391,0.1776123046875,674,597,0.725
L14.H7,40,-0.0122772216796875,0.625,0.05,-0.07421875,1,0.04347284883260727,0.009073034156608628,0.0002337530255317688,0.1594801368573502,0.085546875,674,637,0.575
L15.H13,40,-0.0121246337890625,0.5,0.025,-0.0708984375,1,0.057925722748041156,0.016268325040800845,0.0009702041745185852,0.3090019015736695,0.1415283203125,674,674,0.475
L10.H11,40,-0.00906829833984375,0.625,0.075,-0.0728515625,1,0.03528832346200943,0.011011860519647598,6.537139415740967e-05,0.5488290689328343,0.1698974609375,674,631,0.625
L21.H10,40,-0.00814208984375,0.525,0.0,-0.06015625,1,0.061805786192417146,0.006038512440500199,0.0005148008465766906,0.2804544419264509,0.1821044921875,674,585,0.725
L23.H14,40,-0.00810699462890625,0.625,0.0,-0.0765625,1,0.0456196054816246,0.004029986381647177,0.0008426859974861145,0.21784632713003296,0.1419921875,674,659,0.85
L10.H4,40,-0.00800323486328125,0.625,0.05,-0.0453125,1,0.04666609764099121,0.004558579578588251,0.0005427002906799316,0.23163162911900392,0.1659912109375,674,627,0.775
L13.H13,40,-0.0059295654296875,0.65,0.025,-0.0359375,1,0.04053831547498703,0.011712582218751776,0.0005955517292022706,0.3221464172956682,0.1973388671875,674,593,0.65
L15.H14,40,-0.00576019287109375,0.575,0.05,-0.0458984375,1,0.021068696677684785,0.0046619981065305184,1.760721206665039e-05,0.4015851486764882,0.1221923828125,674,667,0.4
L17.H6,40,-0.0056640625,0.6,0.075,-0.0255859375,1,0.017007467895746232,0.01093417874435545,0.0003142863512039185,0.033026406300641936,0.0299072265625,674,683,0.525
L19.H8,40,-0.00565948486328125,0.6,0.05,-0.038671875,1,0.023208664357662202,0.0031298249574319924,4.5692920684814454e-05,0.05278320422115731,0.0236328125,674,669,0.575
L16.H15,40,-0.005234527587890625,0.4,0.025,-0.045703125,1,0.031980911642313,0.007306203592270322,0.00023895502090454102,0.2596313786185155,0.1338134765625,674,573,0.4
L18.H2,40,-0.00461273193359375,0.525,0.05,-0.0447265625,1,0.02723940387368202,0.004933247721237421,0.0001156926155090332,0.3007148359918076,0.155029296875,674,618,0.575
L16.H4,40,-0.0046112060546875,0.425,0.0,-0.0359375,1,0.026357582956552505,0.004199458916809817,0.00010078549385070801,0.06497482447445538,0.0279296875,674,686,0.4
L13.H12,40,-0.004388427734375,0.525,0.0,-0.043359375,1,0.03115764111280441,0.005694668307842221,0.0002854794263839722,0.11869165176497021,0.0581298828125,674,664,0.575
L19.H2,40,-0.0043487548828125,0.575,0.025,-0.0361328125,1,0.021016461402177812,0.0031558465298076044,6.923973560333252e-05,0.16528352329064397,0.106494140625,674,633,0.575
