head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean,donor_token_prob_delta_mean,donor_token_prob_increase_rate_mean,donor_token_logit_delta_mean,donor_token_rank_pre_mean,donor_token_rank_post_mean,donor_token_rank_increased_ratio
L14.H5,42,-0.1031218029203869,0.7380952380952381,0.14285714285714285,-0.6199776785714286,1,0.603440828266598,0.1751802347910901,0.003510347434452602,5.747781671027268,0.9308500744047619,227,101,0.9285714285714286
L13.H2,42,-0.051076253255208336,0.7380952380952381,0.11904761904761904,-0.30282738095238093,1,0.2750042095070794,0.048802297950411834,0.0014126371769678024,0.7394927428656186,0.30561755952380953,227,187,0.6666666666666666
L22.H2,42,-0.04686192103794643,0.8095238095238095,0.11904761904761904,-0.3411458333333333,1,0.27143952676228117,0.03910886945335993,0.004000670853115264,1.3921168113485851,0.5777064732142857,227,165,0.9761904761904762
L11.H1,42,-0.03037661597842262,0.7380952380952381,0.047619047619047616,-0.18452380952380953,1,0.17443635775929406,0.038202585730080806,0.0014812548955281575,0.8620133985762318,0.4177362351190476,227,203,0.8333333333333334
L12.H8,42,-0.02797735305059524,0.7142857142857143,0.07142857142857142,-0.13950892857142858,1,0.18441574914114817,0.027433156163343006,0.0003439102854047503,0.4647909567613458,0.28231956845238093,227,191,0.7380952380952381
L11.H11,42,-0.023457845052083332,0.7380952380952381,0.07142857142857142,-0.12183779761904762,1,0.1398064678623563,0.019621150678999368,0.00014797278812953403,0.38249236430249034,0.21665736607142858,227,189,0.6666666666666666
L16.H6,42,-0.02217901320684524,0.6428571428571429,0.07142857142857142,-0.10584077380952381,1,0.16171586087771825,0.02831695356317574,0.0006132693517775763,0.8415266094921643,0.4379185267857143,227,163,0.7619047619047619
L13.H15,42,-0.021433512369791668,0.6666666666666666,0.09523809523809523,-0.11662946428571429,1,0.1164445039771852,0.02511024924682542,0.00036529841877165295,0.5704266080570224,0.3108723958333333,227,190,0.7380952380952381
L23.H13,42,-0.01931036086309524,0.6428571428571429,0.023809523809523808,-0.11867559523809523,1,0.11104646325111389,0.009208938616904475,0.0010405608585902623,0.3975239714921055,0.2511625744047619,227,201,0.8333333333333334
L15.H13,42,-0.018487839471726192,0.5476190476190477,0.047619047619047616,-0.0779389880952381,1,0.06554690854890007,0.02268342960022502,0.0010424965903872536,0.23846548264491935,0.11997767857142858,227,221,0.5238095238095238
