head,prompt_index,prompt,base_token_prob_delta,base_token_logit_delta,base_token_changed,base_token_rank_post,baseline_entropy,modified_entropy,entropy_delta,kl_divergence
L0.H0,0,"In Greek mythology, Rhea is the god of the",-0.00537109375,-0.0390625,False,1,4.217076301574707,4.222470760345459,0.005394458770751953,0.00053903937805444
L0.H0,1,"In Greek mythology, Zeus is the god of the",0.00390625,-0.015625,False,1,1.0285515785217285,1.0151951313018799,-0.013356447219848633,0.00013858824968338013
L0.H0,2,"In Greek mythology, Iris is the god of the",-0.0009765625,-0.0625,False,1,0.20996730029582977,0.21866580843925476,0.008698508143424988,-0.0002563410089351237
L0.H0,3,"In Greek mythology, Helios is the god of the",-0.00390625,-0.046875,False,1,0.9235879778862,0.9346529245376587,0.01106494665145874,-0.00011476255895104259
L0.H0,4,"In Greek mythology, Zephyrus is the god of the",0.0089111328125,0.03125,False,1,3.9631547927856445,3.9624252319335938,-0.0007295608520507812,0.0014616195112466812
L0.H0,5,"In Greek mythology, Asclepius is the god of the",-0.00634765625,-0.0390625,False,1,4.173164367675781,4.187621116638184,0.014456748962402344,0.0005779489874839783
L0.H0,6,"In Greek mythology, Hades is the god of the",-0.00048828125,0.015625,False,1,1.2693835496902466,1.2607249021530151,-0.008658647537231445,8.114602678688243e-05
L0.H0,7,"In Greek mythology, Hypnos is the god of the",-0.001708984375,0.0,False,1,2.9228100776672363,2.9235146045684814,0.0007045269012451172,0.0003814101801253855
L0.H0,8,"In Greek mythology, Uranus is the god of the",0.0,-0.03125,False,1,1.1523516178131104,1.1586312055587769,0.006279587745666504,-0.00021619873587042093
L0.H0,9,"In Greek mythology, Aphrodite is the god of the",-0.0029296875,-0.0234375,False,1,1.7929787635803223,1.8096427917480469,0.01666402816772461,0.00015338242519646883
L0.H0,10,"In Greek mythology, Harmonia is the god of the",-0.0078125,-0.046875,False,1,3.7956271171569824,3.8392574787139893,0.043630361557006836,0.0007027992978692055
L0.H0,11,"In Greek mythology, Triton is the god of the",0.00146484375,-0.03125,False,1,0.6570227742195129,0.6544172763824463,-0.0026054978370666504,-8.433120092377067e-05
L0.H0,12,"In Greek mythology, Dionysus is the god of the",0.0032958984375,-0.0078125,False,1,3.847024440765381,3.8647172451019287,0.01769280433654785,0.0005774195306003094
L0.H0,13,"In Greek mythology, Pan is the god of the",-0.001220703125,-0.015625,False,1,4.574787139892578,4.571727275848389,-0.003059864044189453,0.0005291835404932499
L0.H0,14,"In Greek mythology, Poseidon is the god of the",0.00244140625,-0.015625,False,1,0.8497400283813477,0.8421903848648071,-0.007549643516540527,-1.814332790672779e-06
L0.H0,15,"In Greek mythology, Epimetheus is the god of the",0.005859375,0.0234375,False,1,5.313243389129639,5.295438289642334,-0.017805099487304688,0.0008706192602403462
L0.H0,16,"In Greek mythology, Eros is the god of the",0.004150390625,0.0390625,False,1,5.276527404785156,5.254416465759277,-0.022110939025878906,0.000951664405874908
L0.H0,17,"In Greek mythology, Hephaestus is the god of the",-0.008056640625,-0.03125,True,2,2.969637632369995,2.960791826248169,-0.008845806121826172,0.0007344274199567735
L0.H0,18,"In Greek mythology, Boreas is the god of the",0.0006103515625,-0.015625,False,1,2.999314308166504,3.0113534927368164,0.0120391845703125,0.00038162642158567905
L0.H0,19,"In Greek mythology, Persephone is the god of the",0.003173828125,0.0234375,False,1,3.406487226486206,3.37736439704895,-0.02912282943725586,0.0004204192664474249
L0.H0,20,"In Greek mythology, Athena is the god of the",0.00146484375,-0.015625,False,1,3.1532227993011475,3.151350736618042,-0.0018720626831054688,0.0004519568174146116
L0.H0,21,"In Greek mythology, Cronus is the god of the",0.00537109375,0.0078125,False,1,4.026749134063721,4.031729698181152,0.004980564117431641,0.0008162457961589098
L0.H0,22,"In Greek mythology, Nyx is the god of the",-0.01416015625,-0.0625,False,1,1.8867392539978027,1.9254781007766724,0.03873884677886963,0.0006830174825154245
L0.H0,23,"In Greek mythology, Selene is the god of the",-0.0126953125,-0.046875,False,1,1.7456753253936768,1.7508167028427124,0.0051413774490356445,0.0005573331145569682
L0.H0,24,"In Greek mythology, Thanatos is the god of the",-0.002685546875,0.0,False,1,1.6907784938812256,1.6854554414749146,-0.005323052406311035,0.000195485568838194
L0.H0,25,"In Greek mythology, Eurus is the god of the",0.011962890625,0.046875,False,1,3.8808417320251465,3.846341609954834,-0.0345001220703125,0.0009974325075745583
L0.H0,26,"In Greek mythology, Prometheus is the god of the",0.004150390625,0.0,False,1,3.6894609928131104,3.673295259475708,-0.016165733337402344,0.0006686458946205676
L0.H0,27,"In Greek mythology, Hera is the god of the",-0.0057373046875,-0.0625,False,1,4.084482669830322,4.102653980255127,0.018171310424804688,0.0004948114510625601
L0.H0,28,"In Greek mythology, Nemesis is the god of the",0.02197265625,0.0703125,False,1,3.3072385787963867,3.183748483657837,-0.1234900951385498,0.0017182515002787113
