head,prompt_count,base_token_prob_delta_mean,base_token_prob_decrease_ratio,base_token_changed_ratio,base_token_logit_delta_mean,base_token_rank_post_mean,entropy_delta_mean,kl_divergence_mean
L14.H5,40,-0.03638916015625,0.675,0.2,-0.4306640625,2,0.14830318577587603,0.11064372500404715
L11.H1,40,-0.03115501403808594,0.725,0.125,-0.4052734375,1,0.21139519587159156,0.042981393588706854
L9.H7,40,-0.02474517822265625,0.725,0.1,-0.2265625,1,0.1533666927367449,0.03281181521015242
L15.H7,40,-0.01977081298828125,0.65,0.125,-0.1173828125,1,0.049024518206715585,0.02602454287116416
L23.H9,40,-0.015584564208984375,0.75,0.05,-0.4798828125,1,0.1740891244262457,0.021448591840453446
L14.H8,40,-0.01412506103515625,0.625,0.1,-0.115625,1,0.07753026969730854,0.025157638814562233
L12.H3,40,-0.013558197021484374,0.8,0.075,-0.0888671875,1,0.05335392914712429,0.004150521683914121
L21.H10,40,-0.012973785400390625,0.75,0.1,-0.0859375,1,0.04506054930388927,0.01611945706536062
L12.H8,40,-0.011695098876953126,0.675,0.1,-0.14140625,1,0.08610941097140312,0.020642629303620198
L13.H13,40,-0.010611724853515626,0.65,0.15,-0.047265625,1,0.01662927083671093,0.02103049242286943
L16.H6,40,-0.010018157958984374,0.6,0.125,-0.04609375,1,0.09111552126705647,0.0321277255541645
L16.H15,40,-0.009172821044921875,0.4,0.05,-0.045703125,1,0.032472096011042596,0.023120554316119524
L13.H4,40,-0.008762359619140625,0.75,0.125,-0.0482421875,1,0.027031945809721947,0.006046271009836346
L15.H14,40,-0.008661651611328125,0.7,0.05,-0.0509765625,1,0.024902955442667008,0.0034600760154717136
L16.H8,40,-0.00799102783203125,0.675,0.125,-0.0900390625,1,0.04738771766424179,0.005619994390144711
L23.H13,40,-0.007100677490234375,0.625,0.125,-0.10625,1,0.0395958136767149,0.008619181923859288
L19.H13,40,-0.007036590576171875,0.6,0.1,-0.0806640625,1,0.032351029291749,0.004286512359612971
L12.H10,40,-0.006925201416015625,0.775,0.025,-0.019921875,1,0.03463729172945022,0.0024160137632861733
L18.H10,40,-0.00691680908203125,0.625,0.125,-0.016015625,1,0.03134081736207008,0.01804227910761256
L9.H11,40,-0.00625457763671875,0.6,0.075,-0.10703125,1,0.04210021272301674,0.007663041954947403
L18.H8,40,-0.00619964599609375,0.55,0.1,-0.0419921875,1,0.013109611347317696,0.0054399522166022505
L20.H9,40,-0.00617523193359375,0.65,0.1,-0.0349609375,1,0.024233035370707513,0.008509457793115871
L18.H4,40,-0.006157684326171875,0.675,0.075,-0.0294921875,1,0.01571036912500858,0.004434761612355942
